time,element,point,stress_rr,stress_zz,stress_hoop,stress_rz,elastic_rr,elastic_zz,elastic_hoop,elastic_rz,plastic_rr,plastic_zz,plastic_hoop,plastic_rz,creep_rr,creep_zz,creep_hoop,creep_rz,equiv_plastic,equiv_creep,radius,axial,volume
0.20000000298023224,1,1,-1.6111880540847778e-07,20000000.000000212,-1.778826117515564e-07,3.127506266785109e-08,-3.0000000000000858e-05,0.00010000000000000158,-3.0000000000000966e-05,2.0328790734103208e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00021132486540518502,0.00021132486540518508,3.319483223388902e-10
0.20000000298023224,1,2,-6.146728992462158e-08,20000000.000000082,-1.257285475730896e-07,-1.026864557594444e-07,-3.0000000000000245e-05,0.00010000000000000071,-3.000000000000066e-05,-6.674619624363887e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007886751345948151,0.00021132486540518508,1.238848004456005e-09
0.20000000298023224,1,3,2.444721758365631e-07,20000000.000000514,2.384185791015625e-07,1.230152464935476e-07,-2.999999999999991e-05,0.00010000000000000186,-2.9999999999999953e-05,7.995991022080595e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00021132486540518502,0.000788675134594815,3.319483223388902e-10
0.20000000298023224,1,4,8.288770914077759e-08,19999999.99999999,5.681067705154419e-08,-1.162389829155132e-07,-2.999999999999966e-05,9.999999999999975e-05,-2.9999999999999828e-05,-7.555533889508359e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000788675134594815,0.0007886751345948149,1.238848004456005e-09
0.4000000059604645,1,1,-3.3984906622208655e-07,40000000.00000038,-3.733457560883835e-07,7.187490555882455e-08,-6.0000000000001716e-05,0.000200000000000003,-6.000000000000193e-05,4.671868861323596e-19,0.0,0.0,0.0,0.0,-8.000000000000475e-08,1.6000000000000972e-07,-8.000000000000495e-08,3.753007520142287e-22,0.0,1.600000000000097e-07,0.00021132486540518502,0.00021132486540518508,3.319483223388902e-10
0.4000000059604645,1,2,-1.3818134902976453e-07,40000000.00000014,-2.637898433022201e-07,-2.2394837412435123e-07,-6.000000000000052e-05,0.00020000000000000136,-6.000000000000133e-05,-1.4556644318082833e-18,0.0,0.0,0.0,0.0,-8.000000000000199e-08,1.6000000000000477e-07,-8.000000000000275e-08,-1.2322374691133587e-21,0.0,1.6000000000000477e-07,0.0007886751345948151,0.00021132486540518508,1.238848004456005e-09
0.4000000059604645,1,3,5.316760507412255e-07,40000000.000001095,5.16782165504992e-07,2.833334631180669e-07,-5.999999999999976e-05,0.0002000000000000039,-5.999999999999985e-05,1.841667510267435e-18,0.0,0.0,0.0,0.0,-8.000000000000351e-08,1.600000000000071e-07,-8.000000000000356e-08,1.4761829579226166e-21,0.0,1.600000000000071e-07,0.00021132486540518502,0.000788675134594815,3.319483223388902e-10
0.4000000059604645,1,4,1.9107756088487804e-07,39999999.99999995,1.3059252523817122e-07,-2.442521448083202e-07,-5.999999999999918e-05,0.0001999999999999993,-5.9999999999999575e-05,-1.5876389412540813e-18,0.0,0.0,0.0,0.0,-7.999999999999918e-08,1.5999999999999868e-07,-7.99999999999995e-08,-1.3948677949861526e-21,0.0,1.5999999999999868e-07,0.000788675134594815,0.0007886751345948149,1.238848004456005e-09
0.6000000238418579,1,1,0.001529242843389511,59999999.99694112,0.0015291757881641388,9.222256326587754e-08,-8.999999999005924e-05,0.00029999999998011804,-8.999999999005969e-05,5.99446661228204e-19,-2.4999999988529742e-05,4.999999997705958e-05,-2.4999999988529827e-05,1.152782040382714e-19,-2.239999999504495e-06,4.479999999008999e-06,-2.2399999995045032e-06,1.0335337583205787e-20,4.999999997705958e-05,4.479999999008999e-06,0.00021132486540518502,0.00021132486540518508,3.319483223388902e-10
0.6000000238418579,1,2,0.0015295222401618958,59999999.99694084,0.0015292614698410034,-3.4822833395634787e-07,-8.999999999005757e-05,0.00029999999998011603,-8.999999999005927e-05,-2.263484170716261e-18,-2.4999999988528458e-05,4.9999999977057254e-05,-2.4999999988528783e-05,-4.352854172789907e-19,-2.239999999504433e-06,4.479999999008895e-06,-2.2399999995044613e-06,-3.8840897530646765e-20,4.999999997705724e-05,4.479999999008894e-06,0.0007886751345948151,0.00021132486540518508,1.238848004456005e-09
0.6000000238418579,1,3,0.001530710607767105,59999999.99694219,0.0015306472778320312,3.839843778628504e-07,-8.99999999900557e-05,0.00029999999998011896,-8.999999999005614e-05,2.4958984561085276e-18,-2.4999999988528746e-05,4.999999997705757e-05,-2.4999999988528824e-05,4.79980472145031e-19,-2.239999999504452e-06,4.479999999008911e-06,-2.2399999995044588e-06,4.294649576076775e-20,4.999999997705757e-05,4.479999999008911e-06,0.00021132486540518502,0.000788675134594815,3.319483223388902e-10
0.6000000238418579,1,4,0.0015300586819648743,59999999.99694054,0.0015298053622245789,-3.684726154233852e-07,-8.999999999005522e-05,0.0002999999999801129,-8.999999999005688e-05,-2.395072000252004e-18,-2.499999998852638e-05,4.999999997705309e-05,-2.49999999885267e-05,-4.605907691030792e-19,-2.2399999995043406e-06,4.479999999008709e-06,-2.2399999995043686e-06,-4.118991025462409e-20,4.999999997705309e-05,4.479999999008709e-06,0.000788675134594815,0.0007886751345948149,1.238848004456005e-09
