stage,time_s,element,integration_point,x_m,y_m,z_m,temperature_k,s11_pa,s22_pa,s33_pa,s12_pa,s13_pa,s23_pa,e11,e22,e33,e12_engineering,e13_engineering,e23_engineering,ee11,ee22,ee33,ee12_engineering,ee13_engineering,ee23_engineering,pe11,pe22,pe33,pe12_engineering,pe13_engineering,pe23_engineering,peeq,ce11,ce22,ce33,ce12_engineering,ce13_engineering,ce23_engineering,ceeq,ivol_m3
1,0.001,1,1,0.2113248654051851,0.211324865405185,0.211324865405185,600,227116165.0550006,75298129.05694422,0.05610832571983337,-2.267366417934579e-23,3.857846354333796e-09,5.143795139111728e-09,0.0012,-2.032879073410321e-20,-0.0005951714116638939,-3.584343169287644e-34,6.098637220230962e-20,8.131516293641283e-20,0.001022633631605424,3.581639761805761e-05,-0.0004536214408873758,-2.947576343314953e-34,5.015200260633935e-20,6.686933680845246e-20,0.0001772902970916081,-3.580103619379737e-05,-0.0001414892608978107,-6.364937207466165e-35,1.082972280402512e-20,1.443963040536683e-20,0.0001874971547958155,7.607130296758108e-08,-1.53614242602598e-08,-6.070987870732129e-08,-2.731052260737098e-38,4.646791945157795e-24,6.195722593543726e-24,8.045083742322335e-08,0.1250000000000001
1,0.001,1,2,0.7886751345948151,0.2113248654051851,0.2113248654051851,600,227116165.0550006,75298129.05694422,0.05610832571983337,-6.075390006310466e-24,-4.286495949259772e-10,2.571897569555864e-09,0.0012,-2.032879073410321e-20,-0.0005951714116638939,-9.604218576066803e-35,-6.776263578034403e-21,4.065758146820642e-20,0.001022633631605424,3.581639761805761e-05,-0.0004536214408873758,-7.898007008203607e-35,-5.572444734037705e-21,3.343466840422623e-20,0.0001772902970916081,-3.580103619379737e-05,-0.0001414892608978107,-1.705479784615444e-35,-1.203302533780569e-21,7.219815202683415e-21,0.0001874971547958155,7.607130296758108e-08,-1.53614242602598e-08,-6.070987870732129e-08,-7.317832477517319e-39,-5.163102161286438e-25,3.097861296771863e-24,8.045083742322335e-08,0.125
1,0.001,1,3,0.211324865405185,0.7886751345948151,0.2113248654051851,600,227116165.0550006,75298129.05694419,0.05610829591751099,-2.267366417934715e-23,-1.714598379703909e-09,5.143795139111728e-09,0.0012,1.355252715606881e-20,-0.0005951714116638938,-3.584343169287857e-34,-2.710505431213761e-20,8.131516293641283e-20,0.001022633631605424,3.581639761805762e-05,-0.0004536214408873758,-2.947576343315129e-34,-2.228977893615082e-20,6.686933680845247e-20,0.000177290297091608,-3.580103619379735e-05,-0.0001414892608978106,-6.364937207466541e-35,-4.813210135122274e-21,1.443963040536682e-20,0.0001874971547958154,7.607130296758108e-08,-1.53614242602598e-08,-6.070987870732129e-08,-2.731052260737262e-38,-2.065240864514576e-24,6.195722593543726e-24,8.045083742322335e-08,0.1250000000000001
1,0.001,1,4,0.7886751345948151,0.7886751345948151,0.211324865405185,600,227116165.0550006,75298129.05694419,0.05610829591751099,-6.075390006311817e-24,5.143795139111728e-09,2.571897569555864e-09,0.0012,2.032879073410321e-20,-0.0005951714116638938,-9.604218576068937e-35,8.131516293641283e-20,4.065758146820642e-20,0.001022633631605424,3.581639761805763e-05,-0.0004536214408873758,-7.898007008205363e-35,6.686933680845247e-20,3.343466840422623e-20,0.000177290297091608,-3.580103619379735e-05,-0.0001414892608978106,-1.705479784615822e-35,1.443963040536682e-20,7.219815202683411e-21,0.0001874971547958154,7.607130296758108e-08,-1.53614242602598e-08,-6.070987870732129e-08,-7.317832477518946e-39,6.195722593543726e-24,3.097861296771863e-24,8.045083742322335e-08,0.125
1,0.001,1,5,0.211324865405185,0.211324865405185,0.7886751345948151,600,227116165.0550006,75298129.05694419,0.05610832571983337,-8.461926671107408e-23,9.430291088371499e-09,1.028759027822346e-08,0.0012,-2.032879073410321e-20,-0.000595171411663894,-1.337695081954411e-33,1.490777987167569e-19,1.626303258728257e-19,0.001022633631605424,3.581639761805764e-05,-0.0004536214408873758,-1.100050467243963e-33,1.225937841488295e-19,1.337386736169049e-19,0.0001772902970916081,-3.580103619379741e-05,-0.0001414892608978108,-2.37542690452496e-34,2.647265574317252e-20,2.887926081073367e-20,0.0001874971547958156,7.607130296758108e-08,-1.536142426025981e-08,-6.070987870732129e-08,-1.019242579519683e-37,1.135882475483016e-23,1.239144518708745e-23,8.045083742322335e-08,0.125
1,0.001,1,6,0.7886751345948151,0.211324865405185,0.788675134594815,600,227116165.0550006,75298129.05694422,0.05610832571983337,-2.267366417934715e-23,6.001094328963683e-09,9.430291088371499e-09,0.0012,0,-0.0005951714116638939,-3.584343169287858e-34,9.486769009248164e-20,1.490777987167569e-19,0.001022633631605424,3.581639761805763e-05,-0.0004536214408873758,-2.94757634331513e-34,7.801422627652787e-20,1.225937841488295e-19,0.0001772902970916081,-3.580103619379737e-05,-0.0001414892608978107,-6.364937207466545e-35,1.684623547292797e-20,2.647265574317252e-20,0.0001874971547958155,7.607130296758108e-08,-1.53614242602598e-08,-6.070987870732129e-08,-2.731052260737262e-38,7.228343025801013e-24,1.135882475483016e-23,8.045083742322335e-08,0.125
1,0.001,1,7,0.211324865405185,0.7886751345948151,0.7886751345948151,600,227116165.0550005,75298129.05694418,0.0561082512140274,-8.461926671107915e-23,0,1.371678703763127e-08,0.0012,-1.355252715606881e-20,-0.0005951714116638939,-1.337695081954491e-33,0,2.168404344971009e-19,0.001022633631605424,3.581639761805758e-05,-0.0004536214408873757,-1.100050467244029e-33,0,1.783182314892066e-19,0.0001772902970916081,-3.580103619379734e-05,-0.0001414892608978108,-2.375426904525102e-34,0,3.850568108097822e-20,0.0001874971547958156,7.607130296758108e-08,-1.536142426025978e-08,-6.070987870732129e-08,-1.019242579519744e-37,0,1.65219269161166e-23,8.045083742322335e-08,0.125
1,0.001,1,8,0.7886751345948151,0.7886751345948151,0.7886751345948151,600,227116165.0550006,75298129.05694422,0.05610832571983337,-2.267366417935219e-23,3.429196759407818e-09,9.430291088371499e-09,0.0012,-2.710505431213761e-20,-0.0005951714116638939,-3.584343169288655e-34,5.421010862427522e-20,1.490777987167569e-19,0.001022633631605424,3.58163976180576e-05,-0.0004536214408873758,-2.947576343315785e-34,4.457955787230164e-20,1.225937841488295e-19,0.0001772902970916081,-3.580103619379737e-05,-0.0001414892608978107,-6.364937207467961e-35,9.626420270244555e-21,2.647265574317252e-20,0.0001874971547958155,7.607130296758108e-08,-1.53614242602598e-08,-6.070987870732129e-08,-2.731052260737869e-38,4.130481729029151e-24,1.135882475483016e-23,8.045083742322335e-08,0.125
2,0.002,1,1,0.2113248654051851,0.211324865405185,0.211324865405185,600,230534078.0718998,89091306.38366681,1.153945907950401,-1.038183370353403e-22,1.337900639313467e-10,4.625500736416976e-09,0.00165,-6.098637220230962e-20,-0.001010749228780975,-2.172911026294671e-33,1.355252715606881e-20,1.084202172485504e-19,0.00101903342905308,9.96554130795655e-05,-0.0004794380709136206,-1.349638381459423e-33,1.739270831107505e-21,6.013150957342068e-20,0.0006308150913078526,-9.962943879863746e-05,-0.0005311856525092153,-8.23119056001259e-34,1.180844679891892e-20,4.827688577474368e-20,0.0006784975496245242,1.51479639067246e-07,-2.597428092810393e-08,-1.255053581391421e-07,-1.535888339883715e-37,4.809526042382406e-24,1.182190038608031e-23,1.62090305144711e-07,0.1250000000000001
2,0.002,1,2,0.7886751345948151,0.2113248654051851,0.2113248654051851,600,230534078.0718998,89091306.3836668,1.153945907950401,-2.781803956816256e-23,-2.609015386955672e-09,2.979817465884766e-09,0.00165,0,-0.001010749228780975,-5.822297547203604e-34,-5.421010862427522e-20,6.776263578034403e-20,0.00101903342905308,9.965541307956551e-05,-0.0004794380709136208,-3.616345143861133e-34,-3.391720003042373e-20,3.873762705650195e-20,0.0006308150913078524,-9.96294387986374e-05,-0.0005311856525092151,-2.205540863302135e-34,-2.028921883598786e-20,2.90182863937996e-20,0.0006784975496245239,1.51479639067246e-07,-2.597428092810393e-08,-1.255053581391421e-07,-4.11540040336235e-38,-3.689757863625246e-24,6.722330042475724e-24,1.62090305144711e-07,0.125
2,0.002,1,3,0.211324865405185,0.7886751345948151,0.2113248654051851,600,230534078.0718998,89091306.3836668,1.153945907950401,-1.038183370353453e-22,-2.431256375707362e-09,4.625500736416977e-09,0.00165,1.355252715606881e-20,-0.001010749228780975,-2.172911026294777e-33,-5.421010862427522e-20,1.084202172485504e-19,0.00101903342905308,9.96554130795655e-05,-0.0004794380709136208,-1.34963838145949e-33,-3.16063328841957e-20,6.013150957342071e-20,0.0006308150913078523,-9.962943879863739e-05,-0.0005311856525092149,-8.231190560012992e-34,-2.259875326681824e-20,4.827688577474366e-20,0.0006784975496245238,1.51479639067246e-07,-2.597428092810393e-08,-1.255053581391421e-07,-1.535888339883793e-37,-5.022473261274193e-24,1.182190038608032e-23,1.62090305144711e-07,0.1250000000000001
2,0.002,1,4,0.7886751345948151,0.7886751345948151,0.211324865405185,600,230534078.0718998,89091306.3836668,1.153945907950401,-2.781803956816763e-23,-4.396894731696305e-11,2.979817465884766e-09,0.00165,4.743384504624082e-20,-0.001010749228780975,-5.822297547204672e-34,1.355252715606881e-20,6.776263578034403e-20,0.00101903342905308,9.965541307956554e-05,-0.0004794380709136208,-3.616345143861792e-34,-5.715963151205241e-22,3.873762705650195e-20,0.0006308150913078523,-9.962943879863739e-05,-0.0005311856525092149,-2.205540863302544e-34,1.41179812297493e-20,2.901828639379959e-20,0.0006784975496245238,1.51479639067246e-07,-2.597428092810393e-08,-1.255053581391421e-07,-4.115400403363129e-38,6.142241440031354e-24,6.722330042475724e-24,1.62090305144711e-07,0.125
2,0.002,1,5,0.211324865405185,0.211324865405185,0.7886751345948151,600,230534078.0718998,89091306.38366681,1.15394589304924,-3.874553085732045e-22,3.056811286494655e-11,9.251001472833951e-09,0.00165,-6.098637220230962e-20,-0.001010749228780975,-8.109414350458446e-33,2.710505431213761e-20,2.168404344971009e-19,0.00101903342905308,9.965541307956551e-05,-0.0004794380709136206,-5.036919011451657e-33,3.973854672443018e-22,1.202630191468414e-19,0.0006308150913078526,-9.962943879863747e-05,-0.0005311856525092153,-3.071922137674869e-33,2.669627283894502e-20,9.655377154948736e-20,0.0006784975496245242,1.51479639067246e-07,-2.597428092810394e-08,-1.255053581391421e-07,-5.732013319198714e-37,1.139600594829674e-23,2.364380077216063e-23,1.62090305144711e-07,0.125
2,0.002,1,6,0.7886751345948151,0.211324865405185,0.788675134594815,600,230534078.0718998,89091306.3836668,1.153945907950401,-1.038183370353454e-22,-2.163676247844668e-09,1.137070877336166e-08,0.00165,2.032879073410321e-20,-0.001010749228780975,-2.172911026294778e-33,-2.710505431213761e-20,2.574980159653073e-19,0.00101903342905308,9.965541307956553e-05,-0.0004794380709136208,-1.34963838145949e-33,-2.81277912219807e-20,1.478192140537016e-19,0.0006308150913078524,-9.96294387986374e-05,-0.0005311856525092151,-8.231190560012996e-34,1.018140331019602e-21,1.096536124482171e-19,0.0006784975496245239,1.51479639067246e-07,-2.597428092810393e-08,-1.255053581391421e-07,-1.535888339883793e-37,4.596578823490619e-24,2.518946338870136e-23,1.62090305144711e-07,0.125
