element,integration_point,current_x,current_y,current_z,ivol,vonmises_stress,effective_plastic_strain,effective_creep_strain
1,1,0.028151613882692505,0.035225493246986324,0.035225473170569149,0.0077100031286249631,104958.7652188884,0,0
1,2,0.12489032503288022,0.035179272974628736,0.035179308507832949,0.012337649820950694,107187.8203182846,0,0
1,3,0.2216227223803742,0.035149318826326797,0.035149603001836026,0.0077115273930089398,112702.5131832242,0,0
1,4,0.028153131107745751,0.50000006232663119,0.035225264620167521,0.012336683370522399,90744.22566026883,0,0
1,5,0.12489702115205818,0.50000046531243714,0.035178568654155071,0.019741386300084048,98632.7307363263,0,0
1,6,0.22163454311437752,0.50000116078727241,0.035148619031930173,0.012339191128195941,107344.7665860068,0,0
1,7,0.028150822290162483,0.96477488782004628,0.035224971290132606,0.0077098019132047068,108178.4171121868,0,0
1,8,0.12488674306493819,0.96482279522780146,0.035177452676340495,0.012337396714890713,110630.8141091047,0,0
1,9,0.22161624147842165,0.96485502148956015,0.035146967593384267,0.0077114026941814302,116351.4054797591,0,0
1,10,0.02815300371298575,0.035225180184761978,0.50000008308511235,0.01233663169702361,91245.17551603095,0,0
1,11,0.12489644430099683,0.035178131197762787,0.50000062028953274,0.019741321961458176,99193.71030242702,0,0
1,12,0.22163349873525748,0.035147731173158558,0.5000015473997711,0.012339159839386946,107943.9890689422,0,0
1,13,0.028154551700360471,0.50000012527215165,0.50000016699502803,0.019739717665695405,73803.72334898463,0,0
1,14,0.1249032769159589,0.500000744566232,0.50000099255169106,0.031587984198475257,89747.79171323169,0,0
1,15,0.22164556172794392,0.50000165634394667,0.50000220800877571,0.019743873015619823,102392.6711508733,0,0
1,16,0.028152238491269618,0.96477532676865152,0.50000008309434862,0.012336321307590509,94253.45845303852,0,0
1,17,0.1248929793649533,0.96482449549158344,0.50000062032354164,0.019740935492108917,102563.5066860735,0,0
1,18,0.2216272255851606,0.96485760021938849,0.50000154744775904,0.012338971895712878,111547.8365697844,0,0
1,19,0.028150558640132033,0.035224824191888084,0.96477503481232429,0.0077097348960223208,109250.8900552878,0,0
1,20,0.12488555005323494,0.035176798959427852,0.96482344852029112,0.012337312416827451,111777.5620163769,0,0
1,21,0.2216140829615306,0.035145805527701801,0.96485618288315533,0.0077113611640917965,117566.398832958,0,0
1,22,0.028152111012682422,0.50000006233804473,0.96477541117790067,0.012336269599359382,94754.47555739165,0,0
1,23,0.12489240214199336,0.50000046535610831,0.96482493287762749,0.019740871109048059,103124.9074405748,0,0
1,24,0.22162618054607042,0.50000116085241109,0.96485848803440821,0.012338940586225115,112148.9313635358,0,0
1,25,0.02814976703493819,0.96477555688865135,0.96477553670191996,0.0077095336772489706,112471.2194576667,0,0
1,26,0.12488196810511429,0.96482526928899648,0.96482530437848357,0.012337059312867981,115220.5308657337,0,0
1,27,0.22160760222962994,0.96485853484508588,0.9648588183142589,0.0077112364705912454,121213.3096571204,0,0
2,1,0.27792137757294288,0.035138372048825944,0.035138863643328598,0.0077128598720128082,102827.7515055476,0,0
2,2,0.37466130038452278,0.035123820755431488,0.035124728683438244,0.012341119377357717,108250.7756343452,0,0
2,3,0.4713987210021745,0.035114866396965719,0.03511630961208994,0.0077133628393111697,112690.7661282938,0,0
2,4,0.27793175952274823,0.5000018103150119,0.035137146797544719,0.012339421835958885,112659.4549845333,0,0
2,5,0.37466169037561287,0.50000334370165178,0.035120597202906029,0.019744055899217784,118361.3874597609,0,0
2,6,0.47138918408345598,0.5000051645653808,0.035109833441832841,0.012340363739954266,123019.6315376833,0,0
2,7,0.27791321509055433,0.96486746288360836,0.035135978963797151,0.0077127587510366479,106337.9777070819,0,0
2,8,0.37465041215103045,0.96488487183047944,0.035121486504628457,0.012340972529139224,111617.0362908946,0,0
