step,id,x,y,z,ux,uy,uz,rfx,rfy,rfz
1,0,0,0,-1,0,0,0,0,0,0
1,1,1,0,-1,0,0,0,140.1600000000003,0,0
1,2,1,1,-1,0,0,0,171.306666666667,0,0
1,3,0,1,-1,0,0,0,0,0,0
1,4,0,0,2,0,0,0,0,0,0
1,5,1,0,2,0,0,0,147.8400000000005,0,0
1,6,1,1,2,0,0,0,180.6933333333338,0,0
1,7,0,1,2,0,0,0,0,0,0
1,8,1,2,-1,0,0,0,0,0,0
1,9,0,2,-1,0,0,0,0,0,0
1,10,1,2,2,0,0,0,0,0,0
1,11,0,2,2,0,0,0,0,0,0
1,12,1,0.1000000014901161,0.1000000014901161,-0.01,0.05,0.04,-160.0000000000976,0,0
1,13,2,0.1000000014901161,0.1000000014901161,-0.01,0.05,0.04,0,0,0
1,14,2,0.8999999761581421,0.1000000014901161,-0.01,0.05,0.04,0,0,0
1,15,1,0.8999999761581421,0.1000000014901161,-0.01,0.05,0.04,-160.0000000000223,0,0
1,16,1,0.1000000014901161,0.8999999761581421,-0.01,0.05,0.04,-159.9999999999181,0,0
1,17,2,0.1000000014901161,0.8999999761581421,-0.01,0.05,0.04,0,0,0
1,18,2,0.8999999761581421,0.8999999761581421,-0.01,0.05,0.04,0,0,0
1,19,1,0.8999999761581421,0.8999999761581421,-0.01,0.05,0.04,-159.999999999817,0,0
2,0,0,0,-1,0,0,0,0,0,0
2,1,1,0,-1,0,0,0,0,0,0
2,2,1,1,-1,0,0,0,152.5333333333337,0,0
2,3,0,1,-1,0,0,0,0,0,0
2,4,0,0,2,0,0,0,0,0,0
2,5,1,0,2,0,0,0,0,0,0
2,6,1,1,2,0,0,0,199.4666666666673,0,0
2,7,0,1,2,0,0,0,0,0,0
2,8,1,2,-1,0,0,0,124.8000000000001,0,0
2,9,0,2,-1,0,0,0,0,0,0
2,10,1,2,2,0,0,0,163.2000000000001,0,0
2,11,0,2,2,0,0,0,0,0,0
2,12,1,0.1000000014901161,0.1000000014901161,-0.01,0.9499999999999998,0.2,-159.99999999707,0,0
2,13,2,0.1000000014901161,0.1000000014901161,-0.01,0.9499999999999998,0.2,0,0,0
2,14,2,0.8999999761581421,0.1000000014901161,-0.01,0.9499999999999998,0.2,0,0,0
2,15,1,0.8999999761581421,0.1000000014901161,-0.01,0.9499999999999998,0.2,-159.9999999973766,0,0
2,16,1,0.1000000014901161,0.8999999761581421,-0.01,0.9499999999999998,0.2,-159.9999999980149,0,0
2,17,2,0.1000000014901161,0.8999999761581421,-0.01,0.9499999999999998,0.2,0,0,0
2,18,2,0.8999999761581421,0.8999999761581421,-0.01,0.9499999999999998,0.2,0,0,0
2,19,1,0.8999999761581421,0.8999999761581421,-0.01,0.9499999999999998,0.2,-159.9999999983033,0,0
3,0,0,0,-1,0,0,0,0,0,0
3,1,1,0,-1,0,0,0,0,0,0
3,2,1,1,-1,0,0,0,0,0,0
3,3,0,1,-1,0,0,0,0,0,0
3,4,0,0,2,0,0,0,0,0,0
3,5,1,0,2,0,0,0,0,0,0
3,6,1,1,2,0,0,0,0,0,0
3,7,0,1,2,0,0,0,0,0,0
3,8,1,2,-1,0,0,0,0,0,0
3,9,0,2,-1,0,0,0,0,0,0
3,10,1,2,2,0,0,0,0,0,0
3,11,0,2,2,0,0,0,0,0,0
3,12,1,0.1000000014901161,0.1000000014901161,0.02,0.95,0.2,0,0,0
3,13,2,0.1000000014901161,0.1000000014901161,0.02,0.95,0.2,0,0,0
3,14,2,0.8999999761581421,0.1000000014901161,0.02,0.95,0.2,0,0,0
3,15,1,0.8999999761581421,0.1000000014901161,0.02,0.95,0.2,0,0,0
3,16,1,0.1000000014901161,0.8999999761581421,0.02,0.95,0.2,0,0,0
3,17,2,0.1000000014901161,0.8999999761581421,0.02,0.95,0.2,0,0,0
3,18,2,0.8999999761581421,0.8999999761581421,0.02,0.95,0.2,0,0,0
3,19,1,0.8999999761581421,0.8999999761581421,0.02,0.95,0.2,0,0,0
4,0,0,0,-1,0,0,0,0,0,0
4,1,1,0,-1,0,0,0,0,0,0
4,2,1,1,-1,0,0,0,0,0,0
4,3,0,1,-1,0,0,0,0,0,0
4,4,0,0,2,0,0,0,0,0,0
4,5,1,0,2,0,0,0,0,0,0
4,6,1,1,2,0,0,0,0,0,0
4,7,0,1,2,0,0,0,0,0,0
4,8,1,2,-1,0,0,0,0,0,0
4,9,0,2,-1,0,0,0,0,0,0
4,10,1,2,2,0,0,0,0,0,0
4,11,0,2,2,0,0,0,0,0,0
4,12,1,0.1000000014901161,0.1000000014901161,0.02,0.0500000000000001,0.4,0,0,0
4,13,2,0.1000000014901161,0.1000000014901161,0.02,0.0500000000000001,0.4,0,0,0
4,14,2,0.8999999761581421,0.1000000014901161,0.02,0.0500000000000001,0.4,0,0,0
4,15,1,0.8999999761581421,0.1000000014901161,0.02,0.0500000000000001,0.4,0,0,0
4,16,1,0.1000000014901161,0.8999999761581421,0.02,0.0500000000000001,0.4,0,0,0
4,17,2,0.1000000014901161,0.8999999761581421,0.02,0.0500000000000001,0.4,0,0,0
4,18,2,0.8999999761581421,0.8999999761581421,0.02,0.0500000000000001,0.4,0,0,0
4,19,1,0.8999999761581421,0.8999999761581421,0.02,0.0500000000000001,0.4,0,0,0
5,0,0,0,-1,0,0,0,0,0,0
5,1,1,0,-1,0,0,0,105.6000000000003,0,0
5,2,1,1,-1,0,0,0,129.066666666667,0,0
5,3,0,1,-1,0,0,0,0,0,0
5,4,0,0,2,0,0,0,0,0,0
5,5,1,0,2,0,0,0,182.4000000000006,0,0
5,6,1,1,2,0,0,0,222.9333333333339,0,0
5,7,0,1,2,0,0,0,0,0,0
5,8,1,2,-1,0,0,0,0,0,0
5,9,0,2,-1,0,0,0,0,0,0
5,10,1,2,2,0,0,0,0,0,0
5,11,0,2,2,0,0,0,0,0,0
5,12,1,0.1000000014901161,0.1000000014901161,-0.009999999999999998,0.05,0.4,-159.9999999980987,0,0
5,13,2,0.1000000014901161,0.1000000014901161,-0.009999999999999998,0.05,0.4,0,0,0
5,14,2,0.8999999761581421,0.1000000014901161,-0.009999999999999998,0.05,0.4,0,0,0
5,15,1,0.8999999761581421,0.1000000014901161,-0.009999999999999998,0.05,0.4,-159.9999999970413,0,0
5,16,1,0.1000000014901161,0.8999999761581421,-0.009999999999999998,0.05,0.4,-159.9999999999211,0,0
5,17,2,0.1000000014901161,0.8999999761581421,-0.009999999999999998,0.05,0.4,0,0,0
5,18,2,0.8999999761581421,0.8999999761581421,-0.009999999999999998,0.05,0.4,0,0,0
5,19,1,0.8999999761581421,0.8999999761581421,-0.009999999999999998,0.05,0.4,-159.9999999993673,0,0
6,0,0,0,-1,0,0,0,0,0,0
6,1,1,0,-1,0,0,0,0,0,0
6,2,1,1,-1,0,0,0,0,0,0
6,3,0,1,-1,0,0,0,0,0,0
6,4,0,0,2,0,0,0,0,0,0
6,5,1,0,2,0,0,0,0,0,0
6,6,1,1,2,0,0,0,0,0,0
6,7,0,1,2,0,0,0,0,0,0
6,8,1,2,-1,0,0,0,0,0,0
6,9,0,2,-1,0,0,0,0,0,0
6,10,1,2,2,0,0,0,0,0,0
6,11,0,2,2,0,0,0,0,0,0
6,12,1,0.1000000014901161,0.1000000014901161,-0.01,2.2,0.4,0,0,0
6,13,2,0.1000000014901161,0.1000000014901161,-0.01,2.2,0.4,0,0,0
6,14,2,0.8999999761581421,0.1000000014901161,-0.01,2.2,0.4,0,0,0
6,15,1,0.8999999761581421,0.1000000014901161,-0.01,2.2,0.4,0,0,0
6,16,1,0.1000000014901161,0.8999999761581421,-0.01,2.2,0.4,0,0,0
6,17,2,0.1000000014901161,0.8999999761581421,-0.01,2.2,0.4,0,0,0
6,18,2,0.8999999761581421,0.8999999761581421,-0.01,2.2,0.4,0,0,0
6,19,1,0.8999999761581421,0.8999999761581421,-0.01,2.2,0.4,0,0,0
