id,x,y,z,temperature
1,0,-0.10000000000000001,-0.10000000000000001,300
2,0.25,-0.10000000000000001,-0.10000000000000001,300.0999506414723
3,0.5,-0.10000000000000001,-0.10000000000000001,303.9317924796568
4,0.75,-0.10000000000000001,-0.10000000000000001,325.8319483582127
5,1,-0.10000000000000001,-0.10000000000000001,400
6,0,1.1000000000000001,-0.10000000000000001,300
7,0.25,1.1000000000000001,-0.10000000000000001,300.0999506414723
8,0.5,1.1000000000000001,-0.10000000000000001,303.9317924796569
9,0.75,1.1000000000000001,-0.10000000000000001,325.8319483582129
10,1,1.1000000000000001,-0.10000000000000001,400
11,0,-0.10000000000000001,1.1000000000000001,300
12,0.25,-0.10000000000000001,1.1000000000000001,300.0999506414723
13,0.5,-0.10000000000000001,1.1000000000000001,303.9317924796569
14,0.75,-0.10000000000000001,1.1000000000000001,325.8319483582128
15,1,-0.10000000000000001,1.1000000000000001,400
16,0,1.1000000000000001,1.1000000000000001,300
17,0.25,1.1000000000000001,1.1000000000000001,300.0999506414723
18,0.5,1.1000000000000001,1.1000000000000001,303.9317924796569
19,0.75,1.1000000000000001,1.1000000000000001,325.8319483582128
20,1,1.1000000000000001,1.1000000000000001,400
21,1,0,0,300
22,1.25,0,0,299.7127162855901
23,1.5,0,0,300.4438855437664
24,1.75,0,0,316.9484743320156
25,2,0,0,400
26,1,1,0,300
27,1.25,1,0,299.7127162855901
28,1.5,1,0,300.4438855437664
29,1.75,1,0,316.9484743320156
30,2,1,0,400
31,1,0,1,300
32,1.25,0,1,299.7127162855901
33,1.5,0,1,300.4438855437664
34,1.75,0,1,316.9484743320156
35,2,0,1,400
36,1,1,1,300
37,1.25,1,1,299.7127162855902
38,1.5,1,1,300.4438855437664
39,1.75,1,1,316.9484743320155
40,2,1,1,400
