stage,time_s,element,integration_point,x_m,y_m,z_m,temperature_k,s11_pa,s22_pa,s33_pa,s12_pa,s13_pa,s23_pa,e11,e22,e33,e12_engineering,e13_engineering,e23_engineering,ee11,ee22,ee33,ee12_engineering,ee13_engineering,ee23_engineering,ce11,ce22,ce33,ce12_engineering,ce13_engineering,ce23_engineering,ceeq,ivol_m3
1,0.1,1,1,0.5,0.5,0.5,600,300000000.0000001,7.450580596923828e-09,-7.450580596923828e-09,-6.952687008468431e-09,-2.437851038724796e-09,2.261427608290768e-09,0.001770000000000001,-0.0005850000000000007,-0.0005850000000000007,-1.01643953670516e-19,-5.421010862427522e-20,4.065758146820642e-20,0.0015,-0.0004500000000000001,-0.0004500000000000001,-9.03849311100896e-20,-3.169206350342235e-20,2.939855890777998e-20,0.000270000000000001,-0.0001350000000000006,-0.0001350000000000006,-1.125902256042644e-20,-2.251804512085288e-20,1.125902256042644e-20,0.0002700000000000011,1
2,0.2,1,1,0.5,0.5,0.5,600,300000000.0000001,2.235174179077148e-08,3.725290298461914e-08,-6.551169487945658e-09,-1.931528130681951e-09,1.79174648964576e-09,0.002040000000000003,-0.0007200000000000013,-0.0007200000000000013,-1.151964808265848e-19,-5.421010862427522e-20,4.065758146820642e-20,0.0015,-0.0004500000000000001,-0.0004500000000000001,-8.516520334329356e-20,-2.510986569886537e-20,2.329270436539488e-20,0.0005400000000000024,-0.0002700000000000013,-0.0002700000000000013,-3.003127748329129e-20,-2.910024292540986e-20,1.736487710281154e-20,0.0005400000000000025,1
3,0.3,1,1,0.5,0.5,0.5,600,300000000,0,-1.490116119384766e-08,-6.75429511230334e-09,-2.05161564031219e-09,-1.441386069809156e-10,0.002310000000000004,-0.0008550000000000018,-0.0008550000000000018,-1.355252715606881e-19,-6.098637220230962e-20,2.032879073410321e-20,0.0015,-0.0004500000000000001,-0.0004500000000000001,-8.780583645994341e-20,-2.667100332405848e-20,-1.873801890751905e-21,0.0008100000000000036,-0.0004050000000000018,-0.0004050000000000018,-4.771943510074464e-20,-3.431536887825115e-20,2.220259262485511e-20,0.0008100000000000036,1
4,0.4,1,1,0.5,0.5,0.5,600,300000000,0,-1.490116119384766e-08,-9.000237284843471e-09,-5.795519209191596e-09,3.013304139715614e-09,0.002580000000000005,-0.0009900000000000024,-0.0009900000000000024,-1.829591166069289e-19,-1.151964808265848e-19,6.098637220230962e-20,0.0015,-0.0004500000000000001,-0.0004500000000000001,-1.170030847029651e-19,-7.534174971949075e-20,3.917295381630298e-20,0.001080000000000005,-0.0005400000000000024,-0.0005400000000000024,-6.595603190396373e-20,-3.985473110709408e-20,2.181341838600664e-20,0.001080000000000005,1
5,0.5,1,1,0.5,0.5,0.5,600,300000000,0,-1.490116119384766e-08,-6.609706188911788e-09,-3.028081316966935e-09,-2.187911731616326e-10,0.002850000000000006,-0.001125000000000003,-0.001125000000000003,-1.761828530288945e-19,-9.486769009248164e-20,2.710505431213761e-20,0.0015,-0.0004500000000000001,-0.0004500000000000001,-8.592618045585326e-20,-3.936505712057016e-20,-2.844285251101224e-21,0.001350000000000006,-0.000675000000000003,-0.000675000000000003,-9.025667257304121e-20,-5.550263297191146e-20,2.994933956323883e-20,0.001350000000000006,1
6,0.6000000000000001,1,1,0.5,0.5,0.5,600,300000000,0,-1.490116119384766e-08,-4.71567001290438e-09,7.283341464190009e-10,-2.258354107361724e-09,0.003120000000000007,-0.001260000000000004,-0.001260000000000004,-1.694065894508601e-19,-5.421010862427522e-20,0,0.0015,-0.0004500000000000001,-0.0004500000000000001,-6.130371016775694e-20,9.468343903447014e-21,-2.935860339570242e-20,0.001620000000000007,-0.0008100000000000035,-0.0008100000000000035,-1.081028792831031e-19,-6.367845252772222e-20,2.935860339570242e-20,0.001620000000000007,1
7,0.7000000000000001,1,1,0.5,0.5,0.5,600,300000000,0,-1.490116119384766e-08,-7.906269981322329e-09,-4.654373421502386e-10,-1.268060286753179e-09,0.003390000000000008,-0.001395000000000004,-0.001395000000000004,-2.236166980751353e-19,-6.776263578034403e-20,6.776263578034403e-21,0.0015,-0.0004500000000000001,-0.0004500000000000001,-1.027815097571903e-19,-6.050685447953102e-21,-1.648478372779133e-20,0.001890000000000008,-0.0009450000000000041,-0.0009450000000000041,-1.20835188317945e-19,-6.171195033239091e-20,2.326104730582574e-20,0.001890000000000008,1
8,0.8,1,1,0.5,0.5,0.5,600,300000000,0,-1.490116119384766e-08,-6.785449568127254e-09,-2.975024808793805e-09,-3.089698097361181e-09,0.00366000000000001,-0.001530000000000005,-0.001530000000000005,-2.303929616531697e-19,-1.01643953670516e-19,-2.032879073410321e-20,0.0015,-0.0004500000000000001,-0.0004500000000000001,-8.82108443856543e-20,-3.867532251431947e-20,-4.016607526569534e-20,0.00216000000000001,-0.001080000000000005,-0.001080000000000005,-1.421821172675154e-19,-6.296863115619656e-20,1.983728453159214e-20,0.00216000000000001,1
9,0.9,1,1,0.5,0.5,0.5,600,300000000,0,-1.490116119384766e-08,-6.939917021985679e-09,-1.314632951885181e-09,-8.84238436055147e-10,0.003930000000000011,-0.001665000000000005,-0.001665000000000005,-2.507217523872729e-19,-8.809142651444724e-20,0,0.0015,-0.0004500000000000001,-0.0004500000000000001,-9.021892128581385e-20,-1.709022837450735e-20,-1.149509966871691e-20,0.002430000000000011,-0.001215000000000005,-0.001215000000000005,-1.605028311014591e-19,-7.100119813993987e-20,1.149509966871691e-20,0.002430000000000011,1
10,1,1,1,0.5,0.5,0.5,600,300000000,0,-1.490116119384766e-08,-5.49854964049634e-09,-5.203427558756111e-10,-2.785593092577355e-09,0.004200000000000012,-0.001800000000000006,-0.001800000000000006,-2.507217523872729e-19,-8.131516293641283e-20,-2.710505431213761e-20,0.0015,-0.0004500000000000001,-0.0004500000000000001,-7.148114532645242e-20,-6.764455826382944e-21,-3.621271020350562e-20,0.002700000000000012,-0.001350000000000006,-0.001350000000000006,-1.792406070608205e-19,-7.455070711002987e-20,9.107655891368003e-21,0.002700000000000012,1
