stage,time_s,element,integration_point,x_m,y_m,z_m,temperature_k,s11_pa,s22_pa,s33_pa,s12_pa,s13_pa,s23_pa,le11,le22,le33,le12_engineering,le13_engineering,le23_engineering,ee11,ee22,ee33,ee12_engineering,ee13_engineering,ee23_engineering,pe11,pe22,pe33,pe12_engineering,pe13_engineering,pe23_engineering,peeq,ce11,ce22,ce33,ce12_engineering,ce13_engineering,ce23_engineering,ceeq,ivol_m3
1,0.1,1,1,0.50075,0.4997257700032767,0.4997257700032767,600,200827482.6731524,0.000125981867313385,0.0001259520649909973,-1.329298240742515e-09,-4.952389247443563e-24,0,0.001498876123735949,-0.00054861045264517,-0.00054861045264517,0,0,0,0.001004137413365384,-0.0003012412240092876,-0.0003012412240092878,-1.728087712965269e-20,-6.43810602167663e-35,0,0.0004137413365131993,-0.0002068706682565997,-0.0002068706682565998,-8.215792332241229e-21,-3.060848224901995e-35,0,0.0004137413365131994,8.099709323907852e-05,-4.049854661953927e-05,-4.049854661953929e-05,-1.608384850243794e-21,-5.992145023564637e-36,0,8.099709323907854e-05,1.000401735892704
2,0.2,1,1,0.501,0.4996014850354566,0.4996014850354566,600,201653474.5740528,1.308321952819824e-05,1.308321952819824e-05,4.841645589824896e-10,-6.04782170998862e-25,3.607746760678418e-28,0.001998002662673058,-0.0007973477263144528,-0.0007973477263144528,0,0,0,0.001008267372870225,-0.0003024802118610335,-0.0003024802118610336,6.294139266772367e-21,-7.862168222985204e-36,4.690070788881943e-39,0.0008267372870198689,-0.0004133686435099345,-0.0004133686435099346,-5.224194162662762e-21,-3.435681651458455e-35,4.420703228719078e-39,0.000826737287019869,0.0001629977118025619,-8.149885590128097e-05,-8.149885590128099e-05,-1.014447877232602e-21,-6.736288907069766e-36,9.911305597780112e-40,0.0001629977118025619,1.000403388549332
3,0.3,1,1,0.50125,0.499477291919802,0.499477291919802,600,202476975.9404042,1.3008713722229e-05,1.3008713722229e-05,-3.578914395949845e-10,-6.674807136167449e-10,1.999820880461274e-09,0.002496880198586924,-0.001045962989012517,-0.001045962989012517,0,0,0,0.001012384879701982,-0.0003037154639105608,-0.000303715463910561,-4.652588714734797e-21,-8.677249277017682e-21,2.599767144599655e-20,0.001238487970195635,-0.0006192439850978175,-0.0006192439850978176,-7.424390385105892e-21,-4.088908672196619e-21,1.220031477556499e-20,0.001238487970195635,0.0002460070473625119,-0.000123003523681256,-0.000123003523681256,-1.457934887261215e-21,-8.242532647646532e-22,2.459595246644867e-21,0.0002460070473625119,1.000405036225592
4,0.4,1,1,0.5014999999999999,0.4993531905363422,0.4993531905363422,600,203297977.0884184,1.278519630432129e-05,1.278519630432129e-05,4.393529064007548e-10,-4.275029052243897e-10,6.131361644723204e-10,0.002995508979798371,-0.001294456374583166,-0.001294456374583166,0,0,0,0.001016489885442053,-0.0003049469656325827,-0.0003049469656325827,5.711587783209811e-21,-5.557537767917065e-21,7.970770138140165e-21,0.001648988544202783,-0.0008244942721013917,-0.0008244942721013918,-4.73778083674286e-21,-6.678558463566984e-21,1.591446015563897e-20,0.001648988544202783,0.0003300302384953721,-0.0001650151192476861,-0.0001650151192476861,-9.081793032953686e-22,-1.354314982494906e-21,3.219824018358475e-21,0.0003300302384953722,1.000406678902084
5,0.5,1,1,0.50175,0.4992291807653655,0.4992291807653655,600,204116468.4400827,1.274049282073975e-05,1.274049282073975e-05,2.818478545898051e-10,-2.742459988611013e-10,1.73087523899066e-09,0.003493889254255838,-0.001542828016579,-0.001542828016579,0,0,0,0.001020582342200376,-0.0003061747026600794,-0.0003061747026600795,3.664022109667465e-21,-3.565197985194318e-21,2.250137810687858e-20,0.002058234220034972,-0.001029117110017486,-0.001029117110017486,-3.042498482286636e-21,-8.328116532142979e-21,2.632547518605888e-20,0.002058234220034972,0.0004150723700464023,-0.0002075361850232012,-0.0002075361850232012,-5.558959842092469e-22,-1.697096696641657e-21,5.383255331337751e-21,0.0004150723700464024,1.000408316559619
6,0.6000000000000001,1,1,0.502,0.4991052624874189,0.4991052624874189,600,204932440.5242867,1.262128353118896e-05,1.262128353118896e-05,-4.896343818867244e-10,-1.762121825349541e-10,-2.27539630388497e-10,0.003992021269537457,-0.001791078048260404,-0.001791078048260404,0,0,0,0.001024662202621396,-0.0003073986607863857,-0.000307398660786386,-6.365246964527417e-21,-2.290758372954403e-21,-2.958015195050458e-21,0.002466220262137037,-0.001233110131068519,-0.001233110131068519,-6.00867915091111e-21,-9.380543040196308e-21,2.49664957147842e-20,0.002466220262137038,0.0005011384725046362,-0.0002505692362523181,-0.0002505692362523181,-1.181233640429715e-21,-1.919109800828243e-21,5.096573792403869e-21,0.0005011384725046362,1.000409949179223
7,0.7000000000000001,1,1,0.50225,0.498981435583308,0.498981435583308,600,205745883.9780405,1.245737075805664e-05,1.245737075805664e-05,3.566927898403564e-10,-1.134016980028927e-10,1.195374977103472e-09,0.004489905272852001,-0.002039206602594525,-0.002039206602594525,0,0,0,0.001028729419890165,-0.0003086188259670171,-0.0003086188259670171,4.637006267924633e-21,-1.474222074037606e-21,1.553987470234513e-20,0.002872941989014032,-0.001436470994507016,-0.001436470994507016,-3.843195981427996e-21,-1.00530658661807e-20,3.205560436016043e-20,0.002872941989014032,0.0005882335213884959,-0.000294116760694248,-0.000294116760694248,-7.180672805216588e-22,-2.063123273760651e-21,6.614629561769654e-21,0.0005882335213884959,1.000411576742138
8,0.8,1,1,0.5024999999999999,0.4988576999340975,0.4988576999340975,600,206556789.5476715,1.23828649520874e-05,1.23828649520874e-05,2.299109343586038e-10,-7.459513239530486e-10,7.704943461788455e-10,0.004987541511038968,-0.002287213812254819,-0.002287213812254819,0,0,0,0.001032783947738321,-0.0003098351843214641,-0.0003098351843214641,2.988842146661849e-21,-9.697367211389631e-21,1.001642650032499e-20,0.003278394773829576,-0.001639197386914788,-0.001639197386914788,-2.489311239134429e-21,-1.450417954418331e-20,3.659284197447905e-20,0.003278394773829576,0.000676362436642189,-0.0003381812183210945,-0.0003381812183210945,-4.23787901552442e-22,-3.029877575538897e-21,7.60084014947117e-21,0.000676362436642189,1.000413199229823
9,0.9,1,1,0.50275,0.4987340554211109,0.4987340554211109,600,207365148.0899991,1.223385334014893e-05,1.223385334014893e-05,1.484227031203979e-10,1.923467061054673e-10,4.974050230272065e-10,0.005484930230569745,-0.002535099809619918,-0.002535099809619918,0,0,0,0.001036825740449959,-0.000311047722134956,-0.0003110477221349558,1.929495140565173e-21,2.500507179371076e-21,6.466265299353683e-21,0.003682574044993416,-0.001841287022496709,-0.001841287022496709,-1.621430876538441e-21,-1.331281410411157e-20,3.950134614982573e-20,0.003682574044993417,0.0007655300820430102,-0.0003827650410215051,-0.0003827650410215051,-2.323212580517535e-22,-2.767998936319175e-21,8.242497175095799e-21,0.0007655300820430102,1.00041481662396
10,1,1,1,0.503,0.4986105019259307,0.4986105019259307,600,208170950.5734882,1.208484172821045e-05,1.208484172821045e-05,9.596442841697989e-11,7.993144024820736e-10,9.956448892740183e-10,0.005982071677547469,-0.002782864726773286,-0.002782864726773286,0,0,0,0.001040854752867405,-0.0003122564258601902,-0.0003122564258601902,1.247537569420739e-21,1.039108723226696e-20,1.294338356056224e-20,0.004085475286738062,-0.002042737643369031,-0.002042737643369031,-1.064232277031598e-21,-8.596889789985864e-21,4.528236258540601e-20,0.004085475286738063,0.0008557412646196702,-0.0004278706323098351,-0.0004278706323098351,-1.075622864141611e-22,-1.713284477605302e-21,9.536889634375767e-21,0.0008557412646196702,1.000416428906454
