time,element,point,stress_rr,stress_zz,stress_hoop,stress_rz,elastic_rr,elastic_zz,elastic_hoop,elastic_rz,plastic_rr,plastic_zz,plastic_hoop,plastic_rz,creep_rr,creep_zz,creep_hoop,creep_rz,equiv_plastic,equiv_creep
1.0,1,1,-1082030.886620439,-2524738.735447691,-1082030.886620439,-1.628909513950578e-10,-3.374997008388842e-37,-0.0018755202034754276,9.945773465212742e-38,-2.1175823681357516e-19,0,0,0,0.0,0,0,0,0.0,0,0
1.0,1,2,-1082030.8866204396,-2524738.7354476927,-1082030.8866204396,-8.144547569752886e-11,-4.410182718898668e-37,-0.0018755202034754289,-2.672838011520616e-38,-1.0587911840678753e-19,0,0,0,0.0,0,0,0,0.0,0,0
1.0,1,3,-1082030.8866204398,-2524738.735447693,-1082030.8866204398,-2.117040054925947e-11,-5.445368429408495e-37,-0.0018755202034754293,-1.2236777475070618e-37,-2.752152071403731e-20,0,0,0,0.0,0,0,0,0.0,0,0
1.0,1,4,-1082030.8866204391,-2524738.7354476913,-1082030.8866204391,-6.140771942309755e-10,-6.983328323879122e-37,-0.001875520203475428,1.7100540833845619e-37,-7.983003525002682e-19,0,0,0,0.0,0,0,0,0.0,0,0
1.0,1,5,-1082030.8866204396,-2524738.735447692,-1082030.8866204396,-1.6289095139505772e-10,-8.018514034338459e-37,-0.0018755202034754287,-6.682095028797774e-38,-2.1175823681357506e-19,0,0,0,0.0,0,0,0,0.0,0,0
1.0,1,6,-1082030.8866204391,-2524738.7354476913,-1082030.8866204391,3.6326851413937077e-10,-9.053699744797798e-37,-0.001875520203475428,-2.2828050858529505e-37,4.72249068381182e-19,0,0,0,0.0,0,0,0,0.0,0,0
1.0,1,7,-1082030.8866204396,-2524738.7354476927,-1082030.8866204396,-4.610302006368959e-10,-3.3749970084768825e-37,-0.0018755202034754289,9.945773465178464e-38,-5.993392608279647e-19,0,0,0,0.0,0,0,0,0.0,0,0
1.0,1,8,-1082030.8866204391,-2524738.7354476913,-1082030.8866204391,1.1955651535448363e-28,-4.410182718885729e-37,-0.001875520203475428,-2.6728380116429965e-38,1.5542346996082872e-37,0,0,0,0.0,0,0,0,0.0,0,0
1.0,1,9,-1082030.8866204384,-2524738.73544769,-1082030.8866204384,1.1419903013176083e-09,-5.445368429294583e-37,-0.001875520203475427,-1.2236777475037718e-37,1.484587391712891e-18,0,0,0,0.0,0,0,0,0.0,0,0
1.0,2,1,-1082030.8866204415,-2524738.7354476964,-1082030.8866204415,6.612721850787581e-10,-3.3749970083987756e-37,-0.001875520203475432,9.94577346523638e-38,8.596538406023856e-19,0,0,0,0.0,0,0,0,0.0,0,0
1.0,2,2,-1082030.8866204422,-2524738.7354476983,-1082030.8866204422,-4.072273784876443e-10,-4.41018271891914e-37,-0.0018755202034754332,-2.6728380115423366e-38,-5.293955920339376e-19,0,0,0,0.0,0,0,0,0.0,0,0
1.0,2,3,-1082030.8866204396,-2524738.7354476927,-1082030.8866204396,-1.4724908155545373e-09,-5.445368429439504e-37,-0.0018755202034754289,-1.2236777475140707e-37,-1.9142380602208986e-18,0,0,0,0.0,0,0,0,0.0,0,0
1.0,2,4,-1082030.8866204394,-2524738.7354476918,-1082030.8866204394,-9.773457083703465e-10,-6.983328323844147e-37,-0.0018755202034754282,1.7100540834571383e-37,-1.2705494208814505e-18,0,0,0,0.0,0,0,0,0.0,0,0
1.0,2,5,-1082030.8866204396,-2524738.735447692,-1082030.8866204396,-3.257819027901155e-10,-8.018514034505509e-37,-0.0018755202034754287,-6.682095028429905e-38,-4.2351647362715017e-19,0,0,0,0.0,0,0,0,0.0,0,0
1.0,2,6,-1082030.8866204387,-2524738.7354476904,-1082030.8866204387,4.82200601186155e-10,-9.053699745166872e-37,-0.0018755202034754271,-2.2828050858787218e-37,6.2686078154200155e-19,0,0,0,0.0,0,0,0,0.0,0,0
1.0,2,7,-1082030.8866204398,-2524738.735447693,-1082030.8866204398,1.2249182619624428e-09,-3.3749970082215947e-37,-0.0018755202034754293,9.945773465748122e-38,1.5923937405511757e-18,0,0,0,0.0,0,0,0,0.0,0,0
1.0,2,8,-1082030.886620438,-2524738.7354476885,-1082030.886620438,-8.144547569752887e-11,-4.41018271902395e-37,-0.0018755202034754258,-2.6728380110692927e-38,-1.0587911840678754e-19,0,0,0,0.0,0,0,0,0.0,0,0
1.0,2,9,-1082030.8866204394,-2524738.7354476918,-1082030.8866204394,-1.3813369603584813e-09,-5.445368429826308e-37,-0.0018755202034754284,-1.223677747526916e-37,-1.795738048466026e-18,0,0,0,0.0,0,0,0,0.0,0,0
