side,id,x,y,z,force_x,force_y,force_z,gap,pressure
secondary,8,0.9921875,-8.099023315387644e-34,-8.099023315387641e-34,19445.79492582225,-809.9024125289975,-809.9024125289973,-0.007832626947459589,77788.79613474163
secondary,11,0.9921875,1,-1.618746036157521e-33,19429.18888448898,-809.2436540554112,-1618.746198032125,-0.007771898551494866,77721.98249017942
secondary,12,0.9921875,-1.618746036157526e-33,1,19429.18888448902,-1618.74619803213,-809.2436540554127,-0.007771898551495025,77721.98249017961
secondary,15,1.1171875,1,1,19413.68902077095,-1617.467473540957,-1617.467473540956,-0.007712666082887329,77655.35892871136
primary,1,1,8.114658143233305e-34,8.114658143233302e-34,19470.86490603281,-811.465895469912,-811.4658954699116,0,0
primary,2,1,1,1.620297658558122e-33,19441.56576256971,-810.0136658633054,-1620.297820587888,0,0
primary,5,1,1.620297658558127e-33,1,19441.56576256975,-1620.297820587893,-810.0136658633071,0,0
primary,6,1.125,1,1,19363.86528439893,-1613.582356236385,-1613.582356236384,0,0
