node,temperature_k,reaction_heat_flux_w,u1_m,u2_m,u3_m,rf1_n,rf2_n,rf3_n
1,300,0,-0,-0,-0,0,0,0
2,300,-1243.576293945312,-1.215557549287013e-32,-2.731693485651497e-33,0,12155.5771484375,2731.69384765625,0
3,300,-2483.3623046875,-2.080804851591125e-32,-1.182200546093729e-32,0,20808.05078125,11822.0068359375,0
4,300,0,-0,-0,0,0,0,0
5,300,0,-0,-0,0,0,0,0
6,300,-1243.576293945312,-1.215557549287013e-32,-2.731693485651497e-33,0,12155.5771484375,2731.69384765625,0
7,300,-2483.3623046875,-2.080804851591125e-32,-1.182200546093729e-32,0,20808.05078125,11822.0068359375,0
8,300,0,-0,-0,-0,0,0,0
9,300,-2483.3623046875,-1.182200546093729e-32,-2.080804851591125e-32,0,11822.0068359375,20808.05078125,0
10,300,0,-0,-0,0,0,0,0
11,300,-2483.3623046875,-1.182200546093729e-32,-2.080804851591125e-32,0,11822.0068359375,20808.05078125,0
12,300,0,-0,-0,-0,0,0,0
13,300,-1243.576293945312,-2.731693485651497e-33,-1.215557549287013e-32,-0,2731.69384765625,12155.5771484375,0
14,300,0,-0,-0,-0,0,0,0
15,300,-1243.576293945312,-2.731693485651497e-33,-1.215557549287013e-32,-0,2731.69384765625,12155.5771484375,0
16,300,0,-0,-0,0,0,0,0
17,400,1242.929931640625,-0.01499999966472387,2.723538493592667e-33,-0,-207109.296875,724872.75,-3643.97998046875
18,400,0,-0.01499999966472387,0,0,-143545.796875,535765,3639.616455078125
19,400,0,-0.0129903806373477,-0.007499999832361937,-3.639616302209846e-33,-248628.625,-143545.796875,7279.23291015625
20,400,2484.0087890625,-0.0129903806373477,-0.007499999832361937,3.643979957645289e-33,-358527,-206798.53125,-7287.9599609375
21,400,1242.929931640625,-0.01499999966472387,2.723538493592667e-33,-0,-207109.296875,724872.75,3643.97998046875
22,400,0,-0.01499999966472387,0,0,-143545.796875,535765,-3639.616455078125
23,400,0,-0.0129903806373477,-0.007499999832361937,3.639616302209846e-33,-248628.625,-143545.796875,-7279.23291015625
24,400,2484.0087890625,-0.0129903806373477,-0.007499999832361937,-3.643979957645289e-33,-358527,-206798.53125,7287.9599609375
25,400,0,-0.007499999832361937,-0.0129903806373477,-3.639616302209846e-33,-143545.796875,-248628.625,7279.23291015625
26,400,2484.0087890625,-0.007499999832361937,-0.0129903806373477,3.643979957645289e-33,-206798.53125,-358527,-7287.9599609375
27,400,0,-0.007499999832361937,-0.0129903806373477,3.639616302209846e-33,-143545.796875,-248628.625,-7279.23291015625
28,400,2484.0087890625,-0.007499999832361937,-0.0129903806373477,-3.643979957645289e-33,-206798.53125,-358527,7287.9599609375
29,400,0,-9.184851187593606e-19,-0.01499999966472387,0,535765,-143545.796875,3639.616455078125
30,400,1242.929931640625,-9.184851187593606e-19,-0.01499999966472387,0,724872.75,-207109.296875,-3643.97998046875
31,400,0,-9.184851187593606e-19,-0.01499999966472387,0,535765,-143545.796875,-3639.616455078125
32,400,1242.929931640625,-9.184851187593606e-19,-0.01499999966472387,0,724872.75,-207109.296875,3643.97998046875
