step,reaction_x,reaction_y,reaction_z
1,-9999.999999999996,899.9999999999993,1199.999999999999
2,-9999.999999999998,1800,2400
3,-9999.999999999998,2683.281572999747,1341.640786499874
4,-9999.999999999996,1746.666347118155,2439.089311986118
