stage,time_s,element,integration_point,x_m,y_m,z_m,temperature_k,s11_pa,s22_pa,s33_pa,s12_pa,s13_pa,s23_pa,le11,le22,le33,le12_engineering,le13_engineering,le23_engineering,ee11,ee22,ee33,ee12_engineering,ee13_engineering,ee23_engineering,ce11,ce22,ce33,ce12_engineering,ce13_engineering,ce23_engineering,ceeq,ivol_m3
1,0.1,1,1,0.5008871412492421,0.4997070842242103,0.4997070842242102,600,300351808.0511637,-1.387298107147217e-05,-1.387298107147217e-05,-4.393390808367775e-09,-8.479607906796592e-10,0,0.001772710318677929,-0.0005860032179312715,-0.0005860032179312715,0,0,0,0.00150175904025586,-0.000450527712076794,-0.0004505277120767944,-5.711408050878108e-20,-1.102349027883557e-20,0,0.000270950996092761,-0.0001354754980463805,-0.0001354754980463805,-1.188999284015492e-20,-2.294867033160428e-21,0,0.000270950996092761,1.000600884341525
2,0.2,1,1,0.5010231903296339,0.4996392745035945,0.4996392745035945,600,300433338.4861706,0.4860706776380539,0.4860706776380539,-5.520763009211757e-10,2.140643235304048e-09,-8.627893290663469e-10,0.002044289674514469,-0.0007217113638159495,-0.0007217113638159495,0,0,0,0.001502166690972642,-0.000450650006028009,-0.0004506500060280086,-7.176991911975285e-21,2.782836205895264e-20,-1.121626127786251e-20,0.0005421226995431627,-0.0002710613497715814,-0.0002710613497715814,-1.458567533379261e-20,1.003234424420572e-22,-2.336265878206292e-21,0.0005421226995431627,1.000601047503588
3,0.3,1,1,0.5011593873805205,0.4995714186961858,0.4995714186961858,600,300514958.5702164,0.4874986559152603,0.4874985963106155,4.363062196896725e-10,1.708351778836587e-09,1.487188651853402e-10,0.002316090551428901,-0.0008575301815584132,-0.0008575301815584132,0,0,0,0.001502574791388587,-0.0004507724361490799,-0.00045077243614908,5.671980855965747e-21,2.220857312487565e-20,1.933345247409424e-21,0.0008135154743685194,-0.0004067577371842598,-0.0004067577371842599,-1.884782610230014e-20,1.494146837592612e-21,-1.933345247409424e-21,0.0008135154743685195,1.000601210843147
4,0.4,1,1,0.5012957326805644,0.4995035167346033,0.4995035167346033,600,300596667.4702677,0.4889154583215714,0.4889154583215714,-4.12296553372871e-10,1.584668546447197e-09,-3.082550558795254e-10,0.002588113304679444,-0.0009934598486515938,-0.0009934598486515938,0,0,0,0.001502983335884592,-0.0004508949994941974,-0.0004508949994941974,-5.359855193847321e-21,2.060069110381356e-20,-4.007315726433829e-21,0.001085129681445754,-0.0005425648407228769,-0.000542564840722877,-1.908895661781298e-20,1.170204662383891e-20,-2.768947851600573e-21,0.001085129681445754,1.000601374360474
5,0.5,1,1,0.501432226512433,0.4994355685497081,0.4994355685497081,600,300678465.3556004,0.4903375059366226,0.4903375506401062,5.136699448418439e-10,1.368425485630214e-09,-1.117591020182352e-09,0.002860358296873845,-0.001129500546229563,-0.001129500546229563,0,0,0,0.00150339232530699,-0.0004510176963172194,-0.0004510176963172194,6.677709282943975e-21,1.778953131319279e-20,-1.452868326237058e-20,0.001356965682536197,-0.0006784828412680988,-0.0006784828412680988,-2.344223452967884e-20,1.616354477051359e-20,-5.800107471732627e-21,0.001356965682536197,1.000601538055909
6,0.6000000000000001,1,1,0.5015688691595651,0.4993675740722008,0.4993675740722008,600,300760352.3959856,0.4917647391557693,0.4917647391557693,-1.199951601979677e-09,1.385503779108008e-09,-9.245868166910631e-10,0.003132825891509697,-0.001265652455871664,-0.001265652455871664,0,0,0,0.001503801760504634,-0.0004511405268728021,-0.0004511405268728021,-1.559937082573581e-20,1.801154912840412e-20,-1.201962861698383e-20,0.001629023840288619,-0.0008145119201443097,-0.0008145119201443097,-1.094724344001767e-20,1.70131242401855e-20,-8.309162117119382e-21,0.001629023840288619,1.000601701929791
7,0.7000000000000001,1,1,0.5017056609061722,0.4992995332326217,0.4992995332326217,600,300842328.7616581,0.4931970983743668,0.4931970983743668,-2.528577039248532e-09,2.934957256992544e-09,5.287346647102529e-10,0.003405516452976996,-0.001401915759602739,-0.001401915759602739,0,0,0,0.0015042116423287,-0.0004512634914162977,-0.0004512634914162977,-3.287150151023091e-20,3.815444434090308e-20,6.873550641233287e-21,0.001901304518242132,-0.0009506522591210665,-0.0009506522591210665,-1.410379183056806e-20,2.62404820809804e-20,-6.873550641233287e-21,0.001901304518242133,1.000601865982461
8,0.8,1,1,0.5018426020372423,0.4992314459613493,0.4992314459613493,600,300924394.6233169,0.4946347028017044,0.4946347028017044,-3.495407578222824e-09,1.833589335301737e-10,8.684930584342948e-10,0.003678430346561789,-0.001538290639895022,-0.001538290639895022,0,0,0,0.00150462197163268,-0.0004513865902037539,-0.0004513865902037538,-4.544029851689671e-20,2.383666135892254e-21,1.129040975964583e-20,0.00217380808082911,-0.001086904040414556,-0.001086904040414556,-2.613129733297455e-20,2.470941769069132e-20,-4.51414618161143e-21,0.002173808080829111,1.000602030214261
9,0.9,1,1,0.5019796928385424,0.4991633121886009,0.4991633121886009,600,301006550.1521274,0.4960777014493942,0.4960777014493942,-1.318287698312442e-09,-1.24223613523914e-09,-1.439175502714374e-10,0.003951567938448703,-0.001674777279669594,-0.001674777279669594,0,0,0,0.001505032749272404,-0.0004515098234919193,-0.0004515098234919192,-1.713774007806176e-20,-1.614906975810882e-20,-1.870928153528687e-21,0.002446534893378116,-0.001223267446689058,-0.001223267446689058,-3.369177884474809e-20,2.999425002227628e-20,-4.905335424505715e-21,0.002446534893378116,1.000602194625533
10,1,1,1,0.5021169335966208,0.4990951318444312,0.4990951318444312,600,301088795.5197235,0.4975258260965347,0.4975258260965347,-1.984402010475465e-09,1.84763623492967e-09,-1.190185578397781e-10,0.00422492959572324,-0.001811375862297724,-0.001811375862297724,0,0,0,0.00150544397610604,-0.0004516331915382449,-0.0004516331915382449,-2.579722613618105e-20,2.401927105408572e-20,-1.547241251917115e-21,0.002719485322116841,-0.001359742661058421,-0.001359742661058421,-4.003359259488821e-20,3.081652851368538e-20,-5.229022326117287e-21,0.002719485322116842,1.000602359216621
