normal_force,id,x,y,z
-40.40170363652295,70,0.9063077870366499,0.4226182617406994,0
-106.4143635308819,73,0.7372604823403701,0.7851413765553594,0
-120.618477772411,74,0.9063077870366499,0.4226182617406994,0.25
-314.0729168136855,77,0.7372604823403701,0.7851413765553594,0.25
174.3963817054722,81,0.8217841346885101,0.6038798191480295,0
174.4017974212877,82,0.9063077870366499,0.4226182617406994,0.125
427.3767754081871,85,0.7372604823403701,0.7851413765553594,0.125
482.8342231276692,89,0.8217841346885101,0.6038798191480295,0.25
-62.92310637486401,91,0.4836895252959505,1.328926048777349,0
-187.416396871134,93,0.4836895252959505,1.328926048777349,0.25
264.5622404901596,96,0.6104750038181603,1.057033712666354,0
260.850313257606,98,0.4836895252959505,1.328926048777349,0.125
732.5979431929609,101,0.6104750038181603,1.057033712666354,0.25
-124.8390288572636,102,0.9063077870366499,0.4226182617406994,0.72
-325.1944587993434,105,0.7372604823403701,0.7851413765553594,0.72
324.1900217782505,106,0.9063077870366499,0.4226182617406994,0.485
794.6073997873877,109,0.7372604823403701,0.7851413765553594,0.485
505.64541619313,113,0.8217841346885101,0.6038798191480295,0.72
-193.9316702698869,115,0.4836895252959505,1.328926048777349,0.72
483.6592213893514,117,0.4836895252959505,1.328926048777349,0.485
766.9879869109185,120,0.6104750038181603,1.057033712666354,0.72
-45.32696319494376,121,0.9063077870366499,0.4226182617406994,1
-119.3209714351099,124,0.7372604823403701,0.7851413765553594,1
194.5781940547095,125,0.9063077870366499,0.4226182617406994,0.86
476.5834039037723,128,0.7372604823403701,0.7851413765553594,0.86
193.5708986754052,132,0.8217841346885101,0.6038798191480295,1
-70.52503434133173,134,0.4836895252959505,1.328926048777349,1
290.8383079429465,136,0.4836895252959505,1.328926048777349,0.86
293.6038640293006,139,0.6104750038181603,1.057033712666354,1
