step,id,x,y,z,normal_x,normal_y,normal_z,tangential_x,tangential_y,tangential_z,slip1,slip2,gap,pressure,state
1,32,4,0.1000000014901161,0.1000000014901161,159.9999999999963,2.22044604925028e-14,0,-0.1999999999999937,47.99999999999864,-55.99999999999822,0.01399999999999986,0.01199999999999997,-0.009999999999999835,999.9999999999768,1
1,35,4,0.8999999761581421,0.1000000014901161,159.9999999999961,2.220446049250261e-14,0,-2.599999999999898,47.99999999999808,-55.99999999999808,0.01399999999999984,0.01199999999999971,-0.009999999999999735,999.9999999999754,1
1,36,4,0.1000000014901161,0.8999999761581421,159.9999999999949,7.401486830834146e-15,0,2.59999999999988,47.99999999999815,-55.99999999999755,0.01399999999999985,0.01199999999999996,-0.009999999999999589,999.9999999999683,1
1,39,4,0.8999999761581421,0.8999999761581421,159.9999999999959,7.401486830834187e-15,0,0.1999999999999938,47.999999999998,-55.99999999999784,0.0139999999999998,0.01199999999999974,-0.009999999999999785,999.9999999999743,1
2,32,4,0.1000000014901161,0.1000000014901161,159.9999999999968,2.220446049250268e-14,0,-0.2169304578186709,52.06330987647638,-60.74052818922259,0.4199999999999997,0.3599999999999998,-0.009999999999999837,999.99999999998,2
2,35,4,0.8999999761581421,0.1000000014901161,159.9999999999963,2.220446049250253e-14,0,-2.820095951642463,52.06330987647623,-60.74052818922235,0.4199999999999995,0.3599999999999993,-0.009999999999999737,999.9999999999759,2
2,36,4,0.1000000014901161,0.8999999761581421,159.9999999999966,7.401486830834176e-15,0,2.820095951642473,52.06330987647633,-60.74052818922251,0.4199999999999997,0.3599999999999996,-0.009999999999999787,999.9999999999786,2
2,39,4,0.8999999761581421,0.8999999761581421,159.9999999999964,7.401486830834123e-15,0,0.216930457818642,52.06330987647627,-60.7405281892224,0.4199999999999995,0.3599999999999993,-0.009999999999999785,999.9999999999762,2
3,32,4,0.1000000014901161,0.1000000014901161,159.9999999999971,2.22044604925028e-14,0,-0.216930457818652,52.06330987647667,-60.74052818922254,0.6299999999999997,0.5399999999999996,-0.009999999999999785,999.9999999999819,2
3,35,4,0.8999999761581421,0.1000000014901161,159.9999999999973,2.220446049250278e-14,0,-2.820095951642467,52.06330987647673,-60.74052818922262,0.6299999999999993,0.5399999999999994,-0.009999999999999688,999.9999999999832,2
3,36,4,0.1000000014901161,0.8999999761581421,159.9999999999965,7.401486830834218e-15,0,2.820095951642457,52.06330987647648,-60.74052818922232,0.6299999999999994,0.5399999999999993,-0.009999999999999688,999.9999999999782,2
3,39,4,0.8999999761581421,0.8999999761581421,159.9999999999971,7.401486830834243e-15,0,0.2169304578186436,52.06330987647666,-60.74052818922255,0.6299999999999991,0.5399999999999994,-0.009999999999999785,999.9999999999819,2
4,32,4,0.1000000014901161,0.1000000014901161,159.9999999999947,2.22044604925024e-14,0,-0.2169304578186537,52.06330987647573,-60.74052818922175,0.8399999999999991,0.7199999999999993,-0.009999999999999565,999.9999999999669,2
4,35,4,0.8999999761581421,0.1000000014901161,159.9999999999961,2.220446049250258e-14,0,-2.820095951642432,52.06330987647618,-60.74052818922229,0.839999999999999,0.7199999999999993,-0.009999999999999789,999.9999999999756,2
4,36,4,0.1000000014901161,0.8999999761581421,159.9999999999949,7.401486830834142e-15,0,2.820095951642416,52.06330987647581,-60.7405281892218,0.8399999999999985,0.7199999999999991,-0.009999999999999641,999.9999999999679,2
4,39,4,0.8999999761581421,0.8999999761581421,159.9999999999964,7.401486830834212e-15,0,0.2169304578186504,52.0633098764763,-60.74052818922238,0.8399999999999985,0.7199999999999993,-0.009999999999999787,999.9999999999777,2
