time,element,point,stress_rr,stress_zz,stress_hoop,stress_rz,elastic_rr,elastic_zz,elastic_hoop,elastic_rz,plastic_rr,plastic_zz,plastic_hoop,plastic_rz,creep_rr,creep_zz,creep_hoop,creep_rz,equiv_plastic,equiv_creep
0.20000000298023224,1,1,7.729977369308472e-08,19999999.99999992,9.313225746154785e-10,1.0685646411515789e-08,-2.9999999999999503e-05,9.99999999999995e-05,-2.9999999999999997e-05,6.945670167485263e-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.20000000298023224,1,2,4.6566128730773926e-09,19999999.999999993,0.0,-3.127506266785109e-08,-2.9999999999999967e-05,9.999999999999996e-05,-2.9999999999999997e-05,-2.0328790734103208e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.20000000298023224,1,3,3.632158041000366e-08,19999999.999999966,1.862645149230957e-09,8.131516293641283e-08,-2.9999999999999774e-05,9.999999999999977e-05,-2.9999999999999997e-05,5.285485590866834e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.20000000298023224,1,4,-3.725290298461914e-08,20000000.000000034,9.313225746154785e-10,3.9615079379278044e-08,-3.0000000000000238e-05,0.00010000000000000024,-2.9999999999999997e-05,2.574980159653073e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.4000000059604645,1,1,1.5464866010006517e-07,39999999.99999984,1.8735590856522322e-10,2.265469308697078e-08,-5.9999999999999005e-05,0.00019999999999999903,-6.000000000000001e-05,1.4725550506531007e-19,0.0,0.0,0.0,0.0,-7.999999999999844e-08,1.5999999999999778e-07,-7.999999999999935e-08,1.2822775693818846e-22,0.0,1.5999999999999778e-07
0.4000000059604645,1,2,1.1492375051602721e-08,39999999.99999999,2.1864252630621195e-09,-6.014675705838039e-08,-5.9999999999999954e-05,0.00019999999999999998,-6.000000000000001e-05,-3.9095392087947253e-19,0.0,0.0,0.0,0.0,-8.00000000000002e-08,1.6000000000000045e-07,-8.000000000000025e-08,-3.753007520142143e-22,0.0,1.6000000000000048e-07
0.4000000059604645,1,3,7.471135177183896e-08,39999999.99999993,2.130036591552198e-09,1.6665021392773343e-07,-5.999999999999954e-05,0.00019999999999999958,-6.000000000000001e-05,1.0832263905302674e-18,0.0,0.0,0.0,0.0,-7.999999999999949e-08,1.599999999999994e-07,-7.99999999999999e-08,9.757819552369528e-22,0.0,1.599999999999994e-07
0.4000000059604645,1,4,-7.033122528810054e-08,40000000.00000008,3.7834979593753815e-10,8.332703158310783e-08,-6.000000000000048e-05,0.00020000000000000052,-6.000000000000001e-05,5.416257052902009e-19,0.0,0.0,0.0,0.0,-8.000000000000111e-08,1.600000000000018e-07,-8.000000000000065e-08,4.753809525513407e-22,0.0,1.600000000000018e-07
0.6000000238418579,1,1,0.0015299171209335327,59999999.996940434,0.001529652625322342,3.4692845670158424e-08,-8.999999999005558e-05,0.00029999999998011294,-8.999999999005729e-05,2.255034968560297e-19,-2.4999999988526472e-05,4.999999997705328e-05,-2.49999999885268e-05,4.3366057071112877e-20,-2.2399999995043436e-06,4.479999999008717e-06,-2.239999999504373e-06,3.875055088742131e-21,4.999999997705328e-05,4.479999999008717e-06
0.6000000238418579,1,2,0.0015297234058380127,59999999.99694057,0.001529701054096222,-1.1184078627554863e-07,-8.999999999005683e-05,0.0002999999999801138,-8.999999999005694e-05,-7.269651107910662e-19,-2.499999998852712e-05,4.999999997705425e-05,-2.4999999988527143e-05,-1.3980098279097182e-19,-2.2399999995043796e-06,4.479999999008761e-06,-2.2399999995043817e-06,-1.2454105667925798e-20,4.999999997705425e-05,4.479999999008761e-06
