node,x_m,y_m,z_m,opening_m,pressure_pa,slip1_m,slip2_m,shear_stress1_pa,shear_stress2_pa,normal_force1_n,normal_force2_n,normal_force3_n,shear_force1_n,shear_force2_n,shear_force3_n,contact_heat_flux_w
53,0.9900000095367432,1.444301554645906e-34,-0,-0.009978589601814747,99785.890625,-0.0004979556542821229,1.52273383538687e-18,-2055.671875,-2.970623746989531e-11,3223.6064453125,211.2863311767578,0,-2.470255374908447,-66.85615539550781,-9.617252740706794e-13,9978.5888671875
56,0.9815304279327393,0.1292209327220917,9.512696299224016e-34,-0.009978589601814747,99785.890625,-9.991949716030224e-18,-1.232428057889393e-17,-343.1630249023438,-3.606161896874127e-11,6392.05615234375,841.5301513671875,0,8.273818969726562,-21.68911933898926,-2.335619328150407e-12,9978.5888671875
57,0.9900000095367432,1.444301554645906e-34,1,-0.009978589601814747,99785.890625,-0.0004979556542821229,-4.618219799482591e-20,-2055.671875,-2.121874030647231e-11,3223.6064453125,211.2863311767578,0,-2.470255374908447,-66.85615539550781,-6.86947840191493e-13,9978.5888671875
60,0.9815304279327393,0.1292209327220917,1,-0.009978589601814747,99785.890625,-1.276876359950746e-17,-1.852677942401766e-17,-343.1630249023438,-4.878603770963608e-11,6392.05615234375,841.5301513671875,0,8.273818969726562,-21.68911933898926,-3.15995775553024e-12,9978.5888671875
62,0.9562665820121765,0.2562308609485626,9.512696299224016e-34,-0.009978589601814747,99785.890625,3.251850143504395e-17,-5.368089501197605e-18,4.638777903465119e-11,-3.838431308911261e-12,6227.529296875,1668.661499023438,0,-5.666467729065205e-13,2.978719701451915e-12,-2.490183352490266e-13,9978.5888671875
64,0.9562665820121765,0.2562308609485626,1,-0.009978589601814747,99785.890625,2.473754593936386e-17,-1.854984121949564e-17,3.276629315096535e-11,-2.107908465831532e-11,6227.529296875,1668.661499023438,0,-2.451645115218726e-13,2.145622221561005e-12,-1.365307389714077e-12,9978.5888671875
66,0.9146407246589661,0.3788565993309021,9.512696299224016e-34,-0.009978589601814747,99785.890625,5.255051961769783e-17,1.002572929070505e-17,1.126003179585666e-10,5.382847639845423e-11,5956.4482421875,2467.241455078125,0,-2.223971007353498e-12,7.051977491540073e-12,3.486256639276264e-12,9978.5888671875
68,0.9146407246589661,0.3788565993309021,1,-0.009978589601814747,99785.890625,5.072017737163234e-17,3.083952993235322e-17,1.154785503332256e-10,4.057614660935016e-11,5956.4482421875,2467.241455078125,0,-2.510852636916638e-12,7.124054384605172e-12,2.627572855476434e-12,9978.5888671875
70,0.8573651313781738,0.4950000047683716,9.512696299224016e-34,-0.009978589601814747,99785.890625,1.006268854765453e-16,9.260506987574084e-18,2.571288459929377e-10,5.342827569254638e-11,5583.4501953125,3223.6064453125,0,-8.671370912982646e-12,1.430944945868262e-11,3.460496212498443e-12,9978.5888671875
72,0.8573651313781738,0.4950000047683716,1,-0.009978589601814747,99785.890625,6.252737659627141e-17,3.090871531878715e-17,1.949443523274752e-10,6.587338313712721e-11,5583.4501953125,3223.6064453125,0,-6.893669229207644e-12,1.066212396150235e-11,4.26765914274263e-12,9978.5888671875
74,0.7854198217391968,0.6026738286018372,9.512696299224016e-34,-0.009978589601814747,99785.890625,-1.151910412868767e-16,6.162140289446965e-18,-6.446963796147287e-11,-1.168171462340162e-12,5114.91796875,3924.814453125,0,1.91289475579004e-12,-3.785596836003435e-12,-7.728155138400639e-14,9978.5888671875
76,0.7854198217391968,0.6026738286018372,1,-0.009978589601814747,99785.890625,-1.353485328422875e-16,-1.850371762853968e-17,-1.011858860588966e-10,-2.582002493756175e-11,5114.91796875,3924.814453125,0,3.614018806441521e-12,-5.492579915195028e-12,-1.674433595250102e-12,9978.5888671875
78,0.7000356912612915,0.7000356912612915,9.512696299224016e-34,-0.009978589601814747,99785.890625,-7.710053874911225e-17,2.234424442072949e-17,-5.96123914120561e-11,1.881584818508308e-11,4558.8681640625,4558.8681640625,0,2.825201877998396e-12,-2.691130087870142e-12,1.219331168152149e-12,9978.5888671875
80,0.7000356912612915,0.7000356912612915,1,-0.009978589601814747,99785.890625,-1.647734350346648e-17,-4.612463785641959e-20,-2.543788617248577e-11,3.43823342192906e-12,4558.8681640625,4558.8681640625,0,1.231296206487265e-12,-1.153632311207131e-12,2.232578136035154e-13,9978.5888671875
82,0.6026738286018372,0.7854198217391968,9.512696299224016e-34,-0.009978589601814747,99785.890625,-1.257389390926038e-17,1.003149473957455e-17,-8.722442906838879e-11,3.593247010699741e-12,3924.814453125,5114.91796875,0,4.478865195389758e-12,-3.505211095336525e-12,2.318446541520192e-13,9978.5888671875
84,0.6026738286018372,0.7854198217391968,1,-0.009978589601814747,99785.890625,-5.091344315867168e-17,2.488301488148309e-31,-1.314654218820266e-10,1.816364073037313e-11,3924.814453125,5114.91796875,0,6.550296763330188e-12,-5.541637895095652e-12,1.176396978962158e-12,9978.5888671875
86,0.4950000047683716,0.8573651313781738,9.512696299224016e-34,-0.009978589601814747,99785.890625,-4.80926613169148e-18,1.16326168640989e-31,-5.524450341631848e-11,1.908662811134221e-11,3223.6064453125,5583.4501953125,0,3.317455685158954e-12,-1.444215406987137e-12,1.236504822144102e-12,9978.5888671875
88,0.4950000047683716,0.8573651313781738,1,-0.009978589601814747,99785.890625,-1.995239543125075e-17,-1.850371762853968e-17,-1.3881069904631e-10,-2.138937898327198e-12,3223.6064453125,5583.4501953125,0,8.08028036841657e-12,-4.077144438036084e-12,-1.373894216710053e-13,9978.5888671875
90,0.3788565993309021,0.9146407246589661,9.512696299224016e-34,-0.009978589601814747,99785.890625,5.548070767599343e-17,-5.376738088092153e-18,9.446790572020802e-11,7.431678536451436e-12,2467.241455078125,5956.4482421875,0,-5.499124159508151e-12,2.818818312447235e-12,4.808630165061001e-13,9978.5888671875
92,0.3788565993309021,0.9146407246589661,1,-0.009978589601814747,99785.890625,6.065340222725498e-17,-1.850371762853968e-17,9.035122650047356e-11,-6.255262280374652e-11,2467.241455078125,5956.4482421875,0,-5.13283209338522e-12,2.979576871689482e-12,-4.052987979952238e-12,9978.5888671875
94,0.2562308609485626,0.9562665820121765,9.512696299224016e-34,-0.009978589601814747,99785.890625,6.193379840614826e-17,-1.538517061859841e-17,1.696439932974414e-10,1.021429121839112e-11,1668.661499023438,6227.529296875,0,-1.069821314869657e-11,2.792633528939104e-12,6.611866002620426e-13,9978.5888671875
96,0.2562308609485626,0.9562665820121765,1,-0.009978589601814747,99785.890625,6.602086472554827e-17,1.233581147663292e-17,1.774065755411058e-10,6.202076179018245e-12,1668.661499023438,6227.529296875,0,-1.119174804914413e-11,2.907096872256654e-12,4.035814380170394e-13,9978.5888671875
98,0.1292209327220917,0.9815304279327393,9.512696299224016e-34,-0.009978589601814747,99785.890625,1.775145807278803e-17,5.382503536961647e-18,343.1630249023438,2.519512029564019e-11,841.5301513671875,6392.05615234375,0,-21.68911933898926,8.273818969726562,1.63149864711859e-12,9978.5888671875
100,0.1292209327220917,0.9815304279327393,1,-0.009978589601814747,99785.890625,1.656973130608253e-17,-1.240499851742808e-17,343.1630249023438,-1.140123325610309e-11,841.5301513671875,6392.05615234375,0,-21.68911933898926,8.273818969726562,-7.384673927045282e-13,9978.5888671875
102,6.062001721773234e-17,0.9900000095367432,0,-0.009978589601814747,99785.890625,0.0004979556542821229,1.848832379734007e-17,2055.671875,3.209334534237662e-11,211.2863311767578,3223.6064453125,0,-66.85615539550781,-2.470255374908447,1.039000699712411e-12,9978.5888671875
104,6.062001721773234e-17,0.9900000095367432,1,-0.009978589601814747,99785.890625,0.0004979556542821229,-1.228962915585347e-17,2055.671875,-2.891053368925256e-11,211.2863311767578,3223.6064453125,0,-66.85615539550781,-2.470255374908447,-9.359586673404752e-13,9978.5888671875
