stage,time_s,element,integration_point,x_m,y_m,z_m,temperature_k,s11_pa,s22_pa,s33_pa,s12_pa,s13_pa,s23_pa,le11,le22,le33,le12_engineering,le13_engineering,le23_engineering,ee11,ee22,ee33,ee12_engineering,ee13_engineering,ee23_engineering,pe11,pe22,pe33,pe12_engineering,pe13_engineering,pe23_engineering,peeq,ivol_m3
1,0.1,1,1,0.2114305278378876,0.2112931769741145,0.2112931769741145,600,99975006.24864876,0.0003514364361763,0.0003514289855957031,-3.257819027900795e-10,-3.909382833481025e-10,1.563753133392555e-09,0.0004998750416509929,-0.0001499625096528156,-0.0001499625096528156,0,0,0,0.0004998750312421895,-0.0001499625093717431,-0.0001499625093717431,-4.235164736271033e-21,-5.082197683525333e-21,2.032879073410321e-20,0,0,0,0,0,0,0,0.1250249962517105
1,0.1,1,2,0.7890694721621124,0.2112931769741145,0.2112931769741146,600,99975006.24864876,0.000351443886756897,0.000351443886756897,-3.257819027901058e-10,-1.172814850044406e-09,1.107658469486393e-09,0.0004998750416509929,-0.0001499625096528156,-0.0001499625096528156,0,0,0,0.0004998750312421896,-0.0001499625093717431,-0.0001499625093717431,-4.235164736271376e-21,-1.524659305057728e-20,1.439956010332311e-20,0,0,0,0,0,0,0,0.1250249962517104
1,0.1,1,3,0.2114305278378876,0.7885568717600477,0.2112931769741145,600,99975006.24864876,0.0003514476120471954,0.000351443886756897,-2.345629700088796e-09,-5.212510444640502e-10,5.212510444641848e-10,0.0004998750416509929,-0.0001499625096528156,-0.0001499625096528156,0,0,0,0.0004998750312421895,-0.0001499625093717431,-0.0001499625093717431,-3.049318610115434e-20,-6.776263578032653e-21,6.776263578034403e-21,0,0,0,0,0,0,0,0.1250249962517105
1,0.1,1,4,0.7890694721621124,0.7885568717600477,0.2112931769741145,600,99975006.24864875,0.0003514364361763,0.000351443886756897,-2.345629700088822e-09,3.64875731124933e-09,7.167201861382541e-10,0.0004998750416509929,-0.0001499625096528156,-0.0001499625096528156,0,0,0,0.0004998750312421895,-0.0001499625093717431,-0.0001499625093717431,-3.049318610115469e-20,4.743384504624129e-20,9.317362419797304e-21,0,0,0,0,0,0,0,0.1250249962517105
1,0.1,1,5,0.2114305278378876,0.2112931769741145,0.7885568717600477,600,99975006.24864873,0.0003514289855957031,0.0003514289855957031,-2.606255222319578e-10,-5.212510444641487e-10,2.085004177856739e-09,0.0004998750416509929,-0.0001499625096528156,-0.0001499625096528156,0,0,0,0.0004998750312421895,-0.0001499625093717431,-0.0001499625093717431,-3.388131789015451e-21,-6.776263578033933e-21,2.710505431213761e-20,0,0,0,0,0,0,0,0.1250249962517105
1,0.1,1,6,0.7890694721621124,0.2112931769741145,0.7885568717600477,600,99975006.24864876,0.000351443886756897,0.000351443886756897,-2.606255222320563e-10,-1.303127611160452e-09,3.062349886227086e-09,0.0004998750416509929,-0.0001499625096528156,-0.0001499625096528156,0,0,0,0.0004998750312421896,-0.0001499625093717431,-0.0001499625093717431,-3.388131789016732e-21,-1.694065894508588e-20,3.981054852095212e-20,0,0,0,0,0,0,0,0.1250249962517104
1,0.1,1,7,0.2114305278378876,0.7885568717600479,0.7885568717600477,600,99975006.24864873,0.0003514289855957031,0.0003514289855957031,-1.042502088928235e-09,-2.085004177856604e-09,1.04250208892837e-09,0.0004998750416509929,-0.0001499625096528156,-0.0001499625096528156,0,0,0,0.0004998750312421895,-0.0001499625093717431,-0.0001499625093717431,-1.355252715606706e-20,-2.710505431213586e-20,1.355252715606881e-20,0,0,0,0,0,0,0,0.1250249962517104
1,0.1,1,8,0.7890694721621124,0.7885568717600477,0.7885568717600477,600,99975006.24864876,0.0003514364361763,0.000351443886756897,-1.042502088928333e-09,2.085004177856775e-09,3.388131789017201e-09,0.0004998750416509929,-0.0001499625096528156,-0.0001499625096528156,0,0,0,0.0004998750312421896,-0.0001499625093717431,-0.0001499625093717431,-1.355252715606834e-20,2.710505431213808e-20,4.404571325722362e-20,0,0,0,0,0,0,0,0.1250249962517104
2,0.2,1,1,0.2117475151359954,0.2111565013155048,0.2111565013155048,600,201976242.3216635,0.0007428228855133057,0.0007428228855133057,1.43944319010496e-09,-2.01981396343057e-09,2.203520198296754e-09,0.001998002662673058,-0.0007970249665675435,-0.0007970249665675435,0,0,0,0.001009881211606089,-0.0003029643634798952,-0.0003029643634798955,1.871276147136448e-20,-2.62575815245974e-20,2.86457625778578e-20,0.0009881211604600706,-0.0004940605802300354,-0.0004940605802300354,2.112640960756502e-20,-2.964439125895763e-20,3.234060962445183e-20,0.0009881211604602926,0.1250505042911787
2,0.2,1,2,0.7902524848640047,0.2111565013155048,0.2111565013155048,600,201976242.3216636,0.0007429420948028564,0.0007428973913192749,1.439443190104967e-09,-3.365773226769086e-09,-3.366489191842262e-10,0.001998002662673058,-0.0007970249665675435,-0.0007970249665675435,0,0,0,0.001009881211606089,-0.000302964363479895,-0.0003029643634798952,1.871276147136457e-20,-4.375505194799813e-20,-4.37643594939494e-21,0.000988121160460071,-0.0004940605802300357,-0.0004940605802300357,2.112640960756513e-20,-4.939875663291351e-20,-4.940926470402363e-21,0.0009881211604602933,0.1250505042911786
