time,node,temperature,ux,uy,uz,reaction_heat
1.0,1,301.0,-3.9999999999998846e-33,-1.3333333333332942e-33,-1.3333333333332942e-33,-17.243112947658474
1.0,2,302.0,0.2,-1.3333333333332964e-33,-1.3333333333332943e-33,-13.506887052341735
1.0,3,303.0,0.2,1.3333333333332957e-33,-1.3333333333332957e-33,-4.743112947658487
1.0,4,304.0,-3.999999999999888e-33,1.3333333333332954e-33,-1.3333333333332971e-33,-1.006887052341525
1.0,5,305.0,-3.999999999999878e-33,-1.3333333333332952e-33,1.3333333333332954e-33,7.7568870523415585
1.0,6,306.0,0.2,-1.3333333333332952e-33,1.3333333333332978e-33,11.493112947658481
1.0,7,307.0,0.2,1.333333333333296e-33,1.3333333333332937e-33,20.256887052341696
1.0,8,308.0,-3.999999999999889e-33,1.3333333333332955e-33,1.3333333333332937e-33,23.99311294765848
2.0,1,301.0,0.0,-1.7105694144590052e-49,-1.7105694144590052e-49,-19.69444444444447
2.0,2,302.0,0.2,0.0,0.0,-16.305555555555646
2.0,3,303.0,0.2,0.0,0.0,-7.694444444444425
2.0,4,304.0,0.0,0.0,0.0,-4.305555555555467
2.0,5,305.0,0.0,0.0,0.0,4.305555555555526
2.0,6,306.0,0.2,0.0,0.0,7.694444444444462
2.0,7,307.0,0.2,0.0,0.0,16.305555555555536
2.0,8,308.0,0.0,1.7105694144590052e-49,0.0,19.694444444444475
3.0,1,301.0,-3.697594491861096e-81,0.0,0.0,-21.194444444444475
3.0,2,302.0,0.2,-1.1808880435844486e-80,-1.4903264029812174e-80,-17.80555555555565
3.0,3,303.0,0.2,-1.194288463913196e-80,1.4083880162142912e-81,-9.194444444444427
3.0,4,304.0,3.386581871050138e-81,-1.2938125025726334e-80,-7.064978052986946e-82,-5.805555555555467
3.0,5,305.0,6.082024584743211e-81,-1.6587339776572956e-81,-2.9771203169359004e-80,2.8055555555555243
3.0,6,306.0,0.2,-2.653974364251667e-81,-2.6412266864603045e-80,6.194444444444462
3.0,7,307.0,0.2,-2.787978567539133e-81,-1.474698978700946e-80,14.805555555555532
3.0,8,308.0,1.7278478933928452e-81,0.0,-1.651707396224089e-80,18.19444444444447
