step,id,x,y,z,normal_x,normal_y,normal_z,tangential_x,tangential_y,tangential_z,slip1,slip2,gap,pressure,state
1,12,1,0.1000000014901161,0.1000000014901161,160.0000000000006,5.167890594743618e-15,0,-1.559999999999999,-28.80000000000007,-33.59999999999958,0.0139999999999998,-0.01200000000000002,-0.01000000000000003,1000.000000000004,1
1,15,1,0.8999999761581421,0.1000000014901161,160.0000000000005,5.167890594743616e-15,0,-0.1199999999999893,-28.79999999999995,-33.5999999999996,0.01399999999999983,-0.01199999999999996,-0.01000000000000003,1000.000000000003,1
1,16,1,0.1000000014901161,0.8999999761581421,160.0000000000007,5.934339651507988e-15,0,0.1199999999999968,-28.79999999999995,-33.59999999999971,0.01399999999999981,-0.01199999999999992,-0.01000000000000006,1000.000000000004,1
1,19,1,0.8999999761581421,0.8999999761581421,160.0000000000003,5.93433965150798e-15,0,1.559999999999995,-28.79999999999976,-33.59999999999963,0.01399999999999983,-0.01199999999999981,-0.009999999999999998,1000.000000000002,1
2,12,1,0.1000000014901161,0.1000000014901161,160,5.167890594743598e-15,0,-1.692057570985524,-31.23798592588646,-36.44431691353428,0.4199999999999996,-0.3599999999999999,-0.009999999999999983,1000,2
2,15,1,0.8999999761581421,0.1000000014901161,159.9999999999999,5.167890594743598e-15,0,-0.1301582746911955,-31.23798592588643,-36.44431691353426,0.4199999999999998,-0.3599999999999997,-0.009999999999999997,999.9999999999998,2
2,16,1,0.1000000014901161,0.8999999761581421,160.0000000000005,5.934339651507972e-15,0,0.1301582746911973,-31.23798592588656,-36.44431691353438,0.4199999999999997,-0.3599999999999997,-0.01000000000000007,1000.000000000004,2
2,19,1,0.8999999761581421,0.8999999761581421,160.0000000000001,5.934339651507964e-15,0,1.692057570985526,-31.23798592588646,-36.44431691353428,0.4199999999999996,-0.3599999999999995,-0.009999999999999997,1000,2
3,12,1,0.1000000014901161,0.1000000014901161,159.9999999999999,5.167890594743571e-15,0,-1.692057570985526,-31.23798592588655,-36.44431691353415,0.6299999999999992,-0.54,-0.01000000000000002,1000,2
3,15,1,0.8999999761581421,0.1000000014901161,160,5.16789059474358e-15,0,-0.13015827469119,-31.23798592588655,-36.44431691353418,0.6299999999999992,-0.5399999999999995,-0.01000000000000001,1000.000000000001,2
3,16,1,0.1000000014901161,0.8999999761581421,159.9999999999999,5.934339651507941e-15,0,0.1301582746911931,-31.23798592588653,-36.44431691353417,0.6299999999999994,-0.5399999999999997,-0.0100000000000001,1000.000000000002,2
3,19,1,0.8999999761581421,0.8999999761581421,159.9999999999999,5.934339651507947e-15,0,1.692057570985527,-31.23798592588651,-36.44431691353414,0.6299999999999997,-0.5399999999999996,-0.01000000000000001,1000.000000000001,2
4,12,1,0.1000000014901161,0.1000000014901161,160.0000000000002,5.167890594743589e-15,0,-1.692057570985527,-31.23798592588648,-36.44431691353432,0.8399999999999987,-0.7199999999999996,-0.009999999999999964,999.9999999999997,2
4,15,1,0.8999999761581421,0.1000000014901161,160.0000000000002,5.167890594743599e-15,0,-0.1301582746911962,-31.23798592588652,-36.44431691353429,0.8399999999999989,-0.7199999999999993,-0.009999999999999997,1000,2
4,16,1,0.1000000014901161,0.8999999761581421,160.0000000000012,5.934339651507976e-15,0,0.1301582746911968,-31.23798592588667,-36.44431691353454,0.839999999999999,-0.7199999999999995,-0.01000000000000005,1000.000000000003,2
4,19,1,0.8999999761581421,0.8999999761581421,160.0000000000005,5.934339651507972e-15,0,1.69205757098553,-31.23798592588655,-36.44431691353439,0.839999999999999,-0.7199999999999991,-0.01000000000000001,1000.000000000002,2
