time,node,temperature,ur,uz,rf_r,rf_z,reaction_heat,temperature_active
0.20000000298023224,1,600.0,5.660661522844597e-48,-1.4371856177624702e-49,-1.472226235011478e-13,-1.579270654614679e-13,0.0,1
0.20000000298023224,2,600.0,-1.926363636363631e-06,-2.4732668544630623e-34,0.0,-77.11181967902786,0.0,1
0.20000000298023224,3,600.0,-1.9263636363636326e-06,4.0000000000000015e-06,0.0,77.11181967902733,0.0,1
0.20000000298023224,4,600.0,5.55915058881926e-48,4.0000000000000015e-06,-1.9284370903079377e-13,-5.000410762985712e-14,0.0,1
0.20000000298023224,5,600.0,-9.631818181818163e-07,-4.946533708926025e-34,0.0,-154.22363935805194,0.0,1
0.20000000298023224,6,600.0,-1.9263636363636326e-06,2.0000000000000003e-06,0.0,0.0,0.0,1
0.20000000298023224,7,600.0,-9.63181818181815e-07,4.0000000000000015e-06,0.0,154.2236393580519,0.0,1
0.20000000298023224,8,600.0,-3.032990609370039e-49,2.0000000000000025e-06,3.7127525155631684e-13,0.0,0.0,1
0.4000000059604645,1,600.0000000000001,-3.218006311919437e-49,-6.924981999111324e-49,-1.6190916208935087e-14,2.330227837674732e-13,0.0,1
0.4000000059604645,2,600.0,-3.853636363636356e-06,-3.095452884210971e-37,0.0,-153.27164158423537,0.0,1
0.4000000059604645,3,600.0,-3.853636363636362e-06,8.000000000000001e-06,0.0,153.27164158423568,0.0,1
0.4000000059604645,4,600.0000000000001,-3.333443408501626e-49,8.000000000000001e-06,3.1456002474463105e-14,2.8786201596367785e-13,0.0,1
0.4000000059604645,5,600.0,-1.9268181818181785e-06,-6.190905768397994e-37,0.0,-306.5432831684645,0.0,1
0.4000000059604645,6,600.0,-3.8536363636363595e-06,3.999999999999999e-06,0.0,0.0,0.0,1
0.4000000059604645,7,600.0,-1.926818181818181e-06,8.000000000000001e-06,0.0,306.54328316846465,0.0,1
0.4000000059604645,8,600.0000000000001,6.6887259731611424e-49,3.999999999999999e-06,2.7367089946413904e-14,0.0,0.0,1
0.6000000238418579,1,600.0,1.924247203240683e-48,-1.0637493027399504e-48,-3.3772996494333055e-14,4.2779704126198306e-14,0.0,1
0.6000000238418579,2,600.0000000000001,-3.553636363636357e-06,-4.3938358791470556e-35,0.0,56.167868655086735,0.0,1
0.6000000238418579,3,600.0,-3.553636363636362e-06,7.000000000000002e-06,0.0,-56.16786865508659,0.0,1
0.6000000238418579,4,600.0,1.2751989310886426e-48,7.000000000000002e-06,7.63617133215259e-15,5.078795843688109e-14,0.0,1
0.6000000238418579,5,600.0,-1.7768181818181786e-06,-8.78767175829345e-35,0.0,112.33573731017094,0.0,1
0.6000000238418579,6,600.0,-3.55363636363636e-06,3.4999999999999995e-06,0.0,0.0,0.0,1
0.6000000238418579,7,600.0,-1.7768181818181812e-06,7.000000000000002e-06,0.0,-112.3357373101709,0.0,1
0.6000000238418579,8,600.0,-1.7267140421774484e-50,3.4999999999999995e-06,-2.211132800171595e-14,0.0,0.0,1
0.800000011920929,1,600.0000000000001,-2.0233255858999882e-48,3.1480170280257118e-49,4.29457650718115e-14,7.64551020377608e-14,0.0,1
0.800000011920929,2,600.0,-4.094545454545448e-06,9.061234806429997e-35,0.0,-162.79161932238648,0.0,1
0.800000011920929,3,600.0,-4.094545454545451e-06,8.5e-06,0.0,162.79161932238682,0.0,1
0.800000011920929,4,600.0,-1.9422127606050376e-48,8.5e-06,4.235073802716902e-14,5.2733950987883786e-14,0.0,1
0.800000011920929,5,600.0,-2.047272727272724e-06,1.8122469612859684e-34,0.0,-325.58323864476625,0.0,1
0.800000011920929,6,600.0,-4.09454545454545e-06,4.249999999999999e-06,0.0,0.0,0.0,1
0.800000011920929,7,600.0,-2.047272727272726e-06,8.5e-06,0.0,325.58323864476597,0.0,1
0.800000011920929,8,600.0,-7.519156598945795e-50,4.25e-06,-1.1584272810948592e-13,0.0,0.0,1
1.0,1,600.0,1.448125998436371e-48,-1.858619291624306e-49,4.606241840889878e-14,4.9500430695300136e-14,0.0,1
1.0,2,600.0,-4.817272727272721e-06,-6.190905768368169e-35,0.0,-191.3515525368398,0.0,1
1.0,3,600.0,-4.817272727272725e-06,1e-05,0.0,191.35155253683976,0.0,1
1.0,4,600.0,1.4326234435745897e-48,1e-05,4.3950336926443764e-14,-2.3430680808183985e-14,0.0,1
1.0,5,600.0,-2.4086363636363614e-06,-1.2381811536736003e-34,0.0,-382.7031050736712,0.0,1
1.0,6,600.0,-4.817272727272723e-06,4.999999999999999e-06,0.0,0.0,0.0,1
1.0,7,600.0,-2.408636363636362e-06,1e-05,0.0,382.70310507367105,0.0,1
1.0,8,600.0,-8.546607675119357e-50,5.000000000000002e-06,-9.210335649764997e-14,0.0,0.0,1
