id,x,y,z,disp_x,disp_y,disp_z
0,0.9,0,0,0,0,0
1,1,0,0,-1.152220285821527e-06,-5.449948531293371e-07,0
2,0.9238795325112867,0.3826834323650898,0,-9.388445068801545e-07,-4.514913138607073e-07,0
3,0.831491579260158,0.3444150891285808,0,0,0,0
4,0.9,0,0.5,0,0,1.852437823044067e-06
5,1,0,0.5,-1.151989802889908e-06,-5.490828934671815e-07,1.851385558761053e-06
6,0.9238795325112867,0.3826834323650898,0.5,-9.388142533598871e-07,-4.517250364781687e-07,1.861601162680102e-06
7,0.831491579260158,0.3444150891285808,0.5,0,0,1.858752786036358e-06
8,0.95,0,0,-5.842392823579842e-07,-3.209331200499834e-07,0
9,0.9807852804032304,0.1950903220161282,0,-9.736428205277714e-07,-3.102684511561256e-07,0
10,0.8776855558857224,0.3635492607468353,0,-4.747975595489478e-07,-2.302032682979208e-07,0
11,0.8827067523629074,0.1755812898145154,0,0,0,0
12,0.9,0,0.25,0,0,9.314434438673753e-07
13,1,0,0.25,-1.15310883450213e-06,-6.111367774843798e-07,9.33331232553637e-07
14,0.9238795325112867,0.3826834323650898,0.25,-9.308616017690765e-07,-4.503950882104003e-07,9.357321640184287e-07
15,0.831491579260158,0.3444150891285808,0.25,0,0,9.338032069171049e-07
16,0.95,0,0.5,-5.835501148300025e-07,-3.237076432594638e-07,1.851068017694976e-06
17,0.9807852804032304,0.1950903220161282,0.5,-9.718974663594658e-07,-3.10766334778609e-07,1.86047430750148e-06
18,0.8776855558857224,0.3635492607468353,0.5,-4.749822731079992e-07,-2.294869565181604e-07,1.859552466461693e-06
19,0.8827067523629074,0.1755812898145154,0.5,0,0,1.858123197564276e-06
20,0.7071067811865476,0.7071067811865475,0,-6.935856582209139e-07,-7.642249480580186e-07,0
21,0.6363961030678928,0.6363961030678927,0,0,0,0
22,0.7071067811865476,0.7071067811865475,0.5,-6.936291541761343e-07,-7.640930931720134e-07,1.864260556871715e-06
23,0.6363961030678928,0.6363961030678927,0.5,0,0,1.862428585456981e-06
24,0.8314696123025452,0.5555702330196022,0,-8.243426206045062e-07,-6.06727626579139e-07,0
25,0.6717514421272202,0.67175144212722,0,-3.571441535834999e-07,-3.939411239369103e-07,0
26,0.7483226510722907,0.500013209717642,0,0,0,0
27,0.7071067811865476,0.7071067811865475,0.25,-6.958142484718211e-07,-7.660919943531058e-07,9.358677612748806e-07
28,0.6363961030678928,0.6363961030678927,0.25,0,0,9.336729417989381e-07
29,0.8314696123025452,0.5555702330196022,0.5,-8.243551158268579e-07,-6.072827349683799e-07,1.86496149556115e-06
30,0.6717514421272202,0.67175144212722,0.5,-3.572750597394873e-07,-3.940094053590148e-07,1.86263658719396e-06
31,0.7483226510722907,0.500013209717642,0.5,0,0,1.862358796840726e-06
32,0.3826834323650898,0.9238795325112867,0,-3.877142207424419e-07,-9.810901882065687e-07,0
33,0.3444150891285809,0.831491579260158,0,0,0,0
34,0.3826834323650898,0.9238795325112867,0.5,-3.883286229680163e-07,-9.814364361884501e-07,1.846426936444086e-06
35,0.3444150891285809,0.831491579260158,0.5,0,0,1.844564083173594e-06
36,0.5555702330196023,0.8314696123025452,0,-5.321093278597886e-07,-8.821970779602542e-07,0
37,0.3635492607468353,0.8776855558857224,0,-1.959338553424274e-07,-4.960230329244178e-07,0
38,0.5000132097176421,0.7483226510722907,0,0,0,0
39,0.3826834323650898,0.9238795325112867,0.25,-3.897145176675013e-07,-9.787412696816762e-07,9.276282690445565e-07
40,0.3444150891285809,0.831491579260158,0.25,0,0,9.259217395967064e-07
41,0.5555702330196023,0.8314696123025452,0.5,-5.33043992119326e-07,-8.821624398457339e-07,1.857041023196883e-06
