step,id,x,y,z,normal_x,normal_y,normal_z,tangential_x,tangential_y,tangential_z,gap,pressure
1,32,1,0.1000000014901161,0.1000000014901161,-53.33333333333288,0,0,-0.9370425713316328,20.82316825181412,16.65853460145098,-0.01,999.9999999999968
1,35,1,0.8999999761581421,0.1000000014901161,-53.33333333333297,0,0,0.1041158412590667,20.82316825181414,16.65853460145102,-0.009999999999999939,999.9999999999916
1,36,1,0.1000000014901161,0.8999999761581421,-53.33333333333296,0,0,-0.1041158412590856,20.82316825181405,16.65853460145113,-0.00999999999999995,999.9999999999918
1,39,1,0.8999999761581421,0.8999999761581421,-53.33333333333279,0,0,0.9370425713316344,20.82316825181401,16.65853460145104,-0.01000000000000004,1000.000000000002
1,43,1,0.5,0.1000000014901161,213.3333333333318,0,0,-1.665853460145104,-83.29267300725621,-66.63413840580449,-0.009999999999999907,999.9999999999942
1,44,1,0.1000000014901161,0.5,213.3333333333318,0,0,-2.082316825181388,-83.29267300725637,-66.63413840580428,-0.009999999999999913,999.9999999999943
1,47,1,0.8999999761581421,0.5,213.333333333332,0,0,2.082316825181403,-83.2926730072564,-66.63413840580444,-0.009999999999999955,999.9999999999967
1,51,1,0.5,0.8999999761581421,213.333333333332,0,0,1.665853460145091,-83.2926730072566,-66.63413840580411,-0.009999999999999924,999.9999999999968
2,32,1,0.1000000014901161,0.1000000014901161,-53.33333333333308,0,0,-0.8596450120039214,24.93626752377774,9.449532956378929,-0.01000000000000001,1000
2,35,1,0.8999999761581421,0.1000000014901161,-53.33333333333314,0,0,0.3871683641849741,24.93626752377778,9.449532956378935,-0.00999999999999996,999.9999999999936
2,36,1,0.1000000014901161,0.8999999761581421,-53.33333333333324,0,0,-0.3871683641849683,24.93626752377782,9.449532956378969,-0.009999999999999917,999.9999999999895
2,39,1,0.8999999761581421,0.8999999761581421,-53.33333333333296,0,0,0.8596450120039248,24.93626752377769,9.449532956378901,-0.01000000000000008,1000.000000000006
2,43,1,0.5,0.1000000014901161,213.3333333333326,0,0,-0.9449532956378963,-99.74507009511112,-37.79813182551577,-0.00999999999999996,999.9999999999969
2,44,1,0.1000000014901161,0.5,213.3333333333324,0,0,-2.49362675237777,-99.745070095111,-37.79813182551572,-0.009999999999999936,999.9999999999949
2,47,1,0.8999999761581421,0.5,213.3333333333328,0,0,2.493626752377764,-99.7450700951112,-37.7981318255158,-0.009999999999999952,999.9999999999995
2,51,1,0.5,0.8999999761581421,213.3333333333325,0,0,0.9449532956378792,-99.74507009511112,-37.79813182551575,-0.009999999999999946,999.9999999999975
3,32,1,0.1000000014901161,0.1000000014901161,-53.33333333333322,0,0,0.9407208683835864,-20.06871185885005,-17.56012287649374,-0.01000000000000004,1000.000000000001
3,35,1,0.8999999761581421,0.1000000014901161,-53.33333333333334,0,0,-0.06271472455891069,-20.0687118588501,-17.56012287649379,-0.009999999999999952,999.9999999999933
3,36,1,0.1000000014901161,0.8999999761581421,-53.33333333333331,0,0,0.06271472455889915,-20.06871185885009,-17.56012287649378,-0.009999999999999966,999.9999999999937
3,39,1,0.8999999761581421,0.8999999761581421,-53.33333333333324,0,0,-0.9407208683836099,-20.06871185885007,-17.56012287649376,-0.01000000000000002,1000.000000000001
3,43,1,0.5,0.1000000014901161,213.3333333333328,0,0,1.756012287649392,80.2748474354002,70.24049150597496,-0.009999999999999941,999.9999999999972
3,44,1,0.1000000014901161,0.5,213.3333333333326,0,0,2.006871185885013,80.27484743540012,70.2404915059749,-0.009999999999999945,999.9999999999974
3,47,1,0.8999999761581421,0.5,213.3333333333345,0,0,-2.006871185885004,80.27484743540083,70.24049150597553,-0.00999999999999999,999.9999999999972
3,51,1,0.5,0.8999999761581421,213.3333333333329,0,0,-1.756012287649352,80.27484743540022,70.240491505975,-0.009999999999999948,999.9999999999974
4,32,1,0.1000000014901161,0.1000000014901161,-53.33333333333297,0,0,-0.2981423969999684,-11.9256958799988,23.85139175999758,-0.01000000000000003,999.9999999999992
4,35,1,0.8999999761581421,0.1000000014901161,-53.33333333333314,0,0,-0.8944271909998993,-11.92569587999884,23.85139175999767,-0.009999999999999927,999.9999999999877
4,36,1,0.1000000014901161,0.8999999761581421,-53.33333333333301,0,0,0.8944271909999201,-11.9256958799988,23.85139175999761,-0.009999999999999983,999.999999999995
4,39,1,0.8999999761581421,0.8999999761581421,-53.33333333333286,0,0,0.2981423969999797,-11.92569587999878,23.85139175999755,-0.01000000000000006,1000.000000000005
4,43,1,0.5,0.1000000014901161,213.333333333332,0,0,-2.385139175999766,47.70278351999522,-95.40556703999043,-0.009999999999999936,999.9999999999934
4,44,1,0.1000000014901161,0.5,213.3333333333322,0,0,1.192569587999867,47.70278351999525,-95.4055670399905,-0.00999999999999996,999.999999999997
4,47,1,0.8999999761581421,0.5,213.3333333333322,0,0,-1.192569587999899,47.70278351999527,-95.40556703999053,-0.009999999999999988,999.9999999999961
4,51,1,0.5,0.8999999761581421,213.3333333333325,0,0,2.38513917599976,47.70278351999534,-95.40556703999064,-0.009999999999999981,999.9999999999998
