case,stage,time_s,node,temperature_k,ux_m,uy_m,uz_m,reaction_heat_flux_w,rfx_n,rfy_n,rfz_n
coarse,1,10000000,1,480,3.948996794001912e-42,5.114739394785582e-43,7.742174015394614e-44,675.1907205106921,6.500158633571118e-09,6588318.484958939,2706596.647647996
coarse,1,10000000,2,480,0.001189778900732868,0.0008674688390198334,-0.0004968689537471489,1350.381441021384,0,0,0
coarse,1,10000000,3,480,0.002191975253559004,0.003990700488088797,-0.0001337979802790499,675.1907205106922,0,0,0
coarse,1,10000000,4,344.9956058978615,2.187215904898386e-30,-1.857842921688913e-32,3.555948751579252e-30,0,1.955777406692505e-08,-6588318.484958936,1481436.625026477
coarse,1,10000000,5,344.9956058978615,0.0009795488964055787,0.001298245575979653,-0.0001936261822097977,0,0,0,0
coarse,1,10000000,6,344.9956058978615,0.001802853771982642,0.004105114414220597,-2.765935151629358e-05,0,0,0,0
coarse,1,10000000,7,300,-5.845693994213665e-05,-5.064999575779472e-05,5.515682417230457e-05,-674.9340884679226,0,0,0
coarse,1,10000000,8,300,0.0007690534544190079,0.001301985114778728,-2.414038983689914e-05,-1349.868176935846,0,0,0
coarse,1,10000000,9,300,0.001460658306765749,0.004060668481343319,4.499627227699721e-05,-674.9340884679229,0,0,0
coarse,1,10000000,10,480,4.039429865706075e-42,5.114739394785582e-43,-3.888603238501367e-44,675.1907205106924,-6.197296897880733e-09,6588318.48495894,-2706596.647647995
coarse,1,10000000,11,480,0.001189778900732871,0.0008674688390198326,0.0004968689537471301,1350.381441021385,0,0,0
coarse,1,10000000,12,480,0.002191975253559007,0.003990700488088797,0.0001337979802790074,675.1907205106924,0,0,0
coarse,1,10000000,13,344.9956058978615,2.187215904898185e-30,-1.857842921684849e-32,-3.555948751579231e-30,0,-1.722946763038635e-08,-6588318.48495894,-1481436.625026473
coarse,1,10000000,14,344.9956058978615,0.0009795488964055819,0.001298245575979652,0.0001936261822097795,0,0,0,0
coarse,1,10000000,15,344.9956058978615,0.001802853771982645,0.004105114414220598,2.765935151625026e-05,0,0,0,0
coarse,1,10000000,16,300,-5.845693994213546e-05,-5.064999575779457e-05,-5.51568241723046e-05,-674.9340884679232,0,0,0
coarse,1,10000000,17,300,0.000769053454419011,0.001301985114778727,2.414038983688148e-05,-1349.868176935847,0,0,0
coarse,1,10000000,18,300,0.001460658306765752,0.004060668481343321,-4.499627227704138e-05,-674.9340884679233,0,0,0
refined,1,10000000,1,480,2.794257560640264e-41,6.022430475051983e-42,1.590824081624749e-42,168.791032339536,-13297.20987485082,2334211.402296063,1010764.784181463
refined,1,10000000,2,480,0.0008785361197068982,0.0008872820066076348,-0.0005952194591958704,337.582064679072,0,0,0
refined,1,10000000,3,480,0.001515097090366255,0.003373117418141889,-0.0002637803635958458,337.582064679072,0,0,0
refined,1,10000000,4,480,0.002230800954343468,0.006823960183793411,-0.0004679210029525168,337.5820646790721,0,0,0
refined,1,10000000,5,480,0.002970255406101504,0.01165570040306963,-0.0003119739835910333,168.791032339536,0,0,0
refined,1,10000000,6,412.4920245641856,5.218749287582752e-31,-1.057826695559703e-30,-1.184209442502359e-31,0,400567.7020754309,-1280025.088538964,1471240.342241521
refined,1,10000000,7,412.4920245641856,0.0006962188643934544,0.001140823936323376,-0.0004031258518877721,0,0,0,0
refined,1,10000000,8,412.4920245641856,0.001221027347813597,0.003476932969186221,-0.0001723853507952856,0,0,0,0
refined,1,10000000,9,412.4920245641856,0.00181755954125429,0.007021662312370724,-0.0003169729875483154,0,0,0,0
refined,1,10000000,10,412.4920245641856,0.002425298361092825,0.01178262119410995,-0.0002070538687702681,0,0,0,0
refined,1,10000000,11,344.9945952556741,8.342810820647489e-31,-6.788462090662794e-32,6.305272904101833e-31,0,11486.04346601735,-1167815.416165305,271681.0813038963
refined,1,10000000,12,344.9945952556741,0.0005064409038157302,0.001243330418762568,-0.0001579428951495176,0,0,0,0
refined,1,10000000,13,344.9945952556741,0.0009314931347293754,0.003514463548405964,-5.81824941150971e-05,0,0,0,0
refined,1,10000000,14,344.9945952556741,0.001409144572660832,0.007102107222618757,-0.0001246538586985352,0,0,0,0
refined,1,10000000,15,344.9945952556741,0.001846838287772329,0.01182990951278277,-7.394375348731972e-05,0,0,0,0
refined,1,10000000,16,322.4969168206513,-5.028586103813656e-05,-8.212936000507665e-06,1.473705142779348e-05,0,0,0,0
refined,1,10000000,17,322.4969168206513,0.0003282266331566705,0.001218170527142083,-2.69897062078122e-05,0,0,0,0
refined,1,10000000,18,322.4969168206513,0.0006413293339187018,0.003489506066457521,2.233976900209554e-06,0,0,0,0
refined,1,10000000,19,322.4969168206513,0.0009912343510280067,0.007082034076695939,-1.85965375520137e-05,0,0,0,0
refined,1,10000000,20,322.4969168206513,0.001311955150243991,0.01180453269815725,-2.692599506857597e-06,0,0,0,0
refined,1,10000000,21,300,-0.0001312732433618039,-1.604137240977787e-05,2.290235813894542e-05,-168.7268761548848,0,0,0
refined,1,10000000,22,300,0.0001590839511145416,0.001204605920912827,4.271252765695061e-05,-337.4537523097698,0,0,0
refined,1,10000000,23,300,0.0003495682500108505,0.003479960796126429,3.227883187001247e-05,-337.4537523097695,0,0,0
refined,1,10000000,24,300,0.0005677288225684585,0.00707008129542515,3.828597388622313e-05,-337.4537523097694,0,0,0
refined,1,10000000,25,300,0.0008041980477136883,0.01179361680862179,3.377322539232115e-05,-168.726876154885,0,0,0
refined,1,10000000,26,480,1.839751904052261e-31,-2.357653788978881e-30,-9.348995173643367e-31,337.582064679072,-367950.3807549902,4715307.577969946,1.513399183750153e-09
refined,1,10000000,27,480,0.000894188095008499,0.0006472540653530925,-3.538629143467677e-18,675.1641293581442,0,0,0
refined,1,10000000,28,480,0.001502272535976814,0.003255439872215687,-8.157318299665843e-18,675.164129358144,0,0,0
refined,1,10000000,29,480,0.002241760878247521,0.006634424307933684,-1.381140708941413e-17,675.1641293581442,0,0,0
refined,1,10000000,30,480,0.002948293097640513,0.01152269115194327,-1.72923497565951e-17,337.582064679072,0,0,0
refined,1,10000000,31,412.4920245641856,5.663189339465576e-31,1.463949194172052e-31,-1.300988161611465e-30,0,-12045.80314148939,-2490061.942910029,1.164153218269348e-10
refined,1,10000000,32,412.4920245641856,0.0007122178514041229,0.0008968836681921504,-2.763483466832716e-18,0,0,0,0
refined,1,10000000,33,412.4920245641856,0.001208147966153878,0.003358661081947685,-7.081195670551284e-18,0,0,0,0
refined,1,10000000,34,412.4920245641856,0.001828218519914834,0.006829589636869951,-1.216127539674551e-17,0,0,0,0
refined,1,10000000,35,412.4920245641856,0.002404503430921871,0.01164643731436155,-1.708539466124093e-17,0,0,0,0
refined,1,10000000,36,344.9945952556741,1.021571828666727e-30,1.013230748916908e-30,-5.408626778508782e-31,0,-417516.8874367058,-1997987.430243501,-2.561137080192566e-09
refined,1,10000000,37,344.9945952556741,0.0005131496947764876,0.00104428865614444,-2.001937142962865e-18,0,0,0,0
refined,1,10000000,38,344.9945952556742,0.0009259346669924319,0.003420703007940526,-5.610708878090872e-18,0,0,0,0
refined,1,10000000,39,344.9945952556741,0.001413631708213861,0.006945300237016649,-1.045722501435498e-17,0,0,0,0
refined,1,10000000,40,344.9945952556741,0.00183879517153411,0.01171995220883188,-1.495638450780603e-17,0,0,0,0
refined,1,10000000,41,322.4969168206513,-4.059139324103577e-05,-1.971170823538218e-05,1.151972152696946e-19,0,0,0,0
refined,1,10000000,42,322.4969168206513,0.0003292319332652626,0.001078291075502429,-1.252319261390912e-18,0,0,0,0
refined,1,10000000,43,322.4969168206513,0.0006390683469773747,0.003423346328096498,-4.45683797875106e-18,0,0,0,0
refined,1,10000000,44,322.4969168206513,0.0009933041581762752,0.00696941048656454,-9.09228252443112e-18,0,0,0,0
refined,1,10000000,45,322.4969168206513,0.00130846240826846,0.01172661098005231,-1.405363099872082e-17,0,0,0,0
refined,1,10000000,46,300,-0.0001175066598592356,-2.860397474774227e-05,1.959314647258272e-19,-337.4537523097697,0,0,0
refined,1,10000000,47,300,0.0001592826474175634,0.001091222233698176,-5.418550889897877e-19,-674.9075046195389,0,0,0
refined,1,10000000,48,300,0.0003473471151170366,0.003427013593523936,-2.992930431060953e-18,-674.9075046195387,0,0,0
refined,1,10000000,49,300,0.0005700303231801594,0.006978258955686454,-7.651148552686389e-18,-674.9075046195389,0,0,0
refined,1,10000000,50,300,0.0008000359335149323,0.01173060472630585,-1.182752008818567e-17,-337.4537523097699,0,0,0
refined,1,10000000,51,480,2.771455807191078e-41,5.970932756488046e-42,-1.574183662360891e-42,168.7910323395359,-13297.20987485,2334211.402296063,-1010764.784181462
refined,1,10000000,52,480,0.0008785361197068994,0.0008872820066076304,0.0005952194591958632,337.5820646790719,0,0,0
refined,1,10000000,53,480,0.001515097090366257,0.003373117418141883,0.0002637803635958289,337.5820646790718,0,0,0
refined,1,10000000,54,480,0.00223080095434347,0.006823960183793404,0.0004679210029524895,337.582064679072,0,0,0
refined,1,10000000,55,480,0.002970255406101506,0.01165570040306963,0.0003119739835909973,168.791032339536,0,0,0
refined,1,10000000,56,412.4920245641856,5.218749287583005e-31,-1.057826695559676e-30,1.184209442502565e-31,0,400567.7020754269,-1280025.088538965,-1471240.342241521
refined,1,10000000,57,412.4920245641856,0.0006962188643934558,0.001140823936323371,0.0004031258518877665,0,0,0,0
refined,1,10000000,58,412.4920245641857,0.001221027347813599,0.003476932969186214,0.0001723853507952716,0,0,0,0
refined,1,10000000,59,412.4920245641856,0.001817559541254293,0.007021662312370718,0.0003169729875482914,0,0,0,0
refined,1,10000000,60,412.4920245641857,0.002425298361092826,0.01178262119410994,0.0002070538687702343,0,0,0,0
refined,1,10000000,61,344.9945952556741,8.342810820647849e-31,-6.788462090658958e-32,-6.305272904101549e-31,0,11486.04346601095,-1167815.416165303,-271681.0813038951
refined,1,10000000,62,344.9945952556741,0.0005064409038157315,0.001243330418762563,0.0001579428951495137,0,0,0,0
refined,1,10000000,63,344.9945952556741,0.0009314931347293775,0.003514463548405958,5.81824941150854e-05,0,0,0,0
refined,1,10000000,64,344.9945952556741,0.001409144572660834,0.007102107222618749,0.0001246538586985146,0,0,0,0
refined,1,10000000,65,344.9945952556741,0.001846838287772331,0.01182990951278276,7.394375348728855e-05,0,0,0,0
refined,1,10000000,66,322.4969168206513,-5.028586103813605e-05,-8.212936000507824e-06,-1.473705142779328e-05,0,0,0,0
refined,1,10000000,67,322.4969168206513,0.0003282266331566718,0.001218170527142078,2.698970620780961e-05,0,0,0,0
refined,1,10000000,68,322.4969168206513,0.000641329333918704,0.003489506066457515,-2.233976900218245e-06,0,0,0,0
refined,1,10000000,69,322.4969168206513,0.0009912343510280093,0.007082034076695932,1.859653755199539e-05,0,0,0,0
refined,1,10000000,70,322.4969168206513,0.001311955150243993,0.01180453269815724,2.6925995068301e-06,0,0,0,0
refined,1,10000000,71,300,-0.000131273243361803,-1.604137240977802e-05,-2.290235813894507e-05,-168.7268761548849,0,0,0
refined,1,10000000,72,300,0.0001590839511145431,0.001204605920912823,-4.271252765695167e-05,-337.4537523097694,0,0,0
refined,1,10000000,73,300,0.0003495682500108528,0.003479960796126422,-3.227883187001832e-05,-337.4537523097696,0,0,0
refined,1,10000000,74,300,0.0005677288225684612,0.007070081295425144,-3.828597388623801e-05,-337.4537523097698,0,0,0
refined,1,10000000,75,300,0.000804198047713691,0.01179361680862178,-3.377322539234505e-05,-168.726876154885,0,0,0
distorted,1,10000000,1,480,-8.125249793806622e-34,-1.572332392562206e-32,-6.181115553817186e-33,168.2235042095489,-28301.20618067107,2459662.287176972,1040932.305658115
distorted,1,10000000,2,480,0.0008844854090848651,0.0009310986496185837,-0.0006402711412243265,334.6810351945948,0,0,0
distorted,1,10000000,3,480,0.00151407235419623,0.003353480106000503,-0.0002502029564969122,333.5370416244309,0,0,0
distorted,1,10000000,4,480,0.002214666018354385,0.00673955325372325,-0.000500069200405149,334.7338908933153,0,0,0
distorted,1,10000000,5,480,0.002943008755653282,0.01137043524137689,-0.0003160367396187932,168.2404382728517,0,0,0
distorted,1,10000000,6,412.5033528663398,5.514484411679407e-31,-1.042600446885569e-30,-7.525815674992996e-32,0,461342.9501870146,-1344566.408947755,1380084.125189267
distorted,1,10000000,7,412.8947924080053,0.0006790604698239547,0.001129765585968811,-0.0004241215374573906,0,0,0,0
distorted,1,10000000,8,413.0672633799787,0.001199771646974044,0.003298781234216396,-0.0001357925291152427,0,0,0,0
distorted,1,10000000,9,412.9061106076422,0.001792330586190859,0.006775096626941608,-0.000278663810529654,0,0,0,0
distorted,1,10000000,10,412.5026042625882,0.002423990866133242,0.01148526411851815,-0.0001420711730479185,0,0,0,0
distorted,1,10000000,11,344.9926439925615,9.257696034873963e-31,-1.693724719879139e-32,6.141984672469008e-31,0,-19231.99802987266,-1245465.344414219,280349.1364376089
distorted,1,10000000,12,345.0083616510373,0.0004912941863737122,0.001206605679377048,-0.0001542571761668759,0,0,0,0
distorted,1,10000000,13,345.0283469725793,0.000918238975069006,0.003277500092564854,5.66529514378785e-06,0,0,0,0
distorted,1,10000000,14,345.0121101903202,0.001401975278930911,0.006783116733186817,-2.326674845704527e-05,0,0,0,0
distorted,1,10000000,15,344.9919893560055,0.001872723776658119,0.01153303928854198,6.450015782819303e-05,0,0,0,0
distorted,1,10000000,16,322.4937253982917,-4.8572387537244e-05,-9.186441410248783e-06,1.163229936329364e-05,0,0,0,0
distorted,1,10000000,17,322.3648813716186,0.0003281418772666604,0.001203545345233567,1.735644703599236e-06,0,0,0,0
distorted,1,10000000,18,322.3117935998114,0.0006551469482066549,0.003321265177737857,9.828360006415517e-05,0,0,0,0
distorted,1,10000000,19,322.3633539467803,0.001015470265321958,0.006830757098526665,0.0001444312998522561,0,0,0,0
distorted,1,10000000,20,322.4935701086046,0.001362690350073159,0.01151307648418173,0.0002122037801852175,0,0,0,0
distorted,1,10000000,21,300,-0.0001324288272587317,-2.370127232357717e-05,1.601779938034143e-05,-168.1692379146482,0,0,0
distorted,1,10000000,22,300,0.0001749702024535275,0.001250068450449419,9.734725769311532e-05,-334.606854387656,0,0,0
distorted,1,10000000,23,300,0.0003907026719748324,0.003473845590948117,0.0001645529109320588,-333.5034982496294,0,0,0
distorted,1,10000000,24,300,0.000622859523495457,0.0069885318246335,0.0002676217797518197,-334.6663616145431,0,0,0
distorted,1,10000000,25,300,0.0008782708292025818,0.01150978820063258,0.0003240769159819997,-168.1870108347971,0,0,0
distorted,1,10000000,26,480,1.199370267457801e-31,-2.1946274050508e-30,-9.285332238197839e-31,336.2413803859403,-356471.5401369224,4597172.512310952,-3586.11239121668
distorted,1,10000000,27,480,0.0008859046929724077,0.0006369128512782007,-3.888149925692461e-05,668.3133367012547,0,0,0
distorted,1,10000000,28,480,0.001486320239423681,0.003169624875387209,1.781938087175683e-05,665.5579448957704,0,0,0
distorted,1,10000000,29,480,0.002211055730261865,0.006389306686140451,-2.893815553732174e-05,668.315714316451,0,0,0
distorted,1,10000000,30,480,0.002915096575892782,0.01104917369664208,-7.682591703378885e-06,336.2417952661656,0,0,0
distorted,1,10000000,31,412.5062713557577,5.927477105599558e-31,-3.616664188799844e-32,-1.206241826637367e-30,0,-38765.4704526416,-2373222.563556789,-81405.36055401614
distorted,1,10000000,32,409.468145257418,0.0006988201785733467,0.000896395171197863,-2.264034683545615e-05,0,0,0,0
