step,pair_a_x,pair_a_y,pair_a_z,pair_b_x,pair_b_y,pair_b_z,global_x,global_y,global_z
1,-640.0000000000022,115.1999999999997,134.3999999999985,-639.9999999999832,-191.9999999999929,223.9999999999917,-1279.999999999985,-76.79999999999319,358.3999999999902
2,-640.0000000000006,124.9519437035459,145.7772676541372,-639.9999999999861,-208.2532395059052,242.9621127568899,-1279.999999999987,-83.30129580235938,388.7393804110271
3,-639.9999999999998,124.9519437035461,145.7772676541366,-639.9999999999881,-208.2532395059065,242.96211275689,-1279.999999999988,-83.30129580236044,388.7393804110267
4,-640.0000000000022,124.9519437035462,145.7772676541376,-639.9999999999822,-208.2532395059041,242.9621127568882,-1279.999999999984,-83.30129580235787,388.7393804110258
