stage,time_s,element,integration_point,x_m,y_m,z_m,temperature_k,s11_pa,s22_pa,s33_pa,s12_pa,s13_pa,s23_pa,le11,le22,le33,le12_engineering,le13_engineering,le23_engineering,ee11,ee22,ee33,ee12_engineering,ee13_engineering,ee23_engineering,pe11,pe22,pe33,pe12_engineering,pe13_engineering,pe23_engineering,peeq,ce11,ce22,ce33,ce12_engineering,ce13_engineering,ce23_engineering,ceeq,ivol_m3
1,0.001,1,1,0.5006,0.5,0.4997028280332249,600,227109024.6133536,75270887.05276729,1.937150955200195e-06,-6.776661386154509e-26,-6.778675818579649e-26,8.665494087603747e-38,0.001199280575482187,0,-0.0005945206259200135,0,0,0,0.001022638792487614,3.569089834380313e-05,-0.0004535698674991717,-8.809659802000863e-37,-8.812278564153543e-37,1.126514231388487e-48,0.0001765655665242557,-3.567552765288343e-05,-0.0001408900388713724,-1.894499037689392e-37,-1.89506219704965e-37,2.42254545042043e-49,0.0001867228706015412,7.607272908561579e-08,-1.537069091980269e-08,-6.070203816581313e-08,-8.162390599942172e-41,-8.164816954654948e-41,1.04374622626155e-52,8.044897218058761e-08,1.00060494285373
2,0.002,1,1,0.5012,0.5,0.499135436794069,600,233599951.3038964,99650736.69559911,0.00044994056224823,-1.800711949793992e-24,-1.801913278461061e-24,-2.414478813364731e-35,0.002397124599721451,0,-0.001730623076466533,0,0,0,0.001018523651475408,0.0001478537565214761,-0.0004998760319969933,-2.34092553473219e-35,-2.342487261999378e-35,-3.13882245737415e-46,0.001378448835198569,-0.0001478313167771789,-0.001230617518421391,-3.550705226773965e-35,-3.552456344911711e-35,-4.733944722972539e-46,0.001514530158887956,1.518260811518676e-07,-2.24397442973178e-08,-1.293863368545499e-07,-2.303131303275742e-39,-2.302006463485278e-39,-2.971787639352171e-50,1.641391737229078e-07,1.00066672368475
3,0.003,1,1,0.5018,0.5,0.4985536702662904,600,237388884.0110232,110953145.9360196,0.0004026591777801514,-5.733910238571734e-25,1.66043407857535e-09,-1.658990580417725e-09,0.003593535510130218,0,-0.002896851292449544,0,0,0,0.001020514701150483,0.0001986824036629585,-0.0005225130449185503,-7.454083310143251e-36,2.158564302147955e-20,-2.156687754543043e-20,0.002572791558763166,-0.0001986566874120535,-0.002374134871351114,-4.680794138785382e-35,3.28461076468778e-20,-3.273493603339946e-20,0.002865250879116795,2.288205383899533e-07,-2.571625090530154e-08,-2.031042874846519e-07,-3.032007850912258e-39,2.123582687324146e-24,-2.112302834507196e-24,2.512146895546337e-07,1.000696926958498
4,0.004,1,1,0.5024,0.5,0.4979672215286686,600,240654895.7368909,116681494.4347614,0.0003738701343536377,-1.353199122390107e-25,6.63434112259893e-10,-6.628573558977406e-10,0.004788516731797094,0,-0.004073843787341768,0,0,0,0.001028252237031752,0.00022242512856791,-0.0005360045852556094,-1.759158859107139e-36,8.624643459378605e-21,-8.617145626670622e-21,0.003759955887986228,-0.0002223978281729483,-0.00353755805981328,-4.945986898459387e-35,4.580624243501086e-20,-4.568380392998251e-20,0.004222570861482963,3.080349003011846e-07,-2.730039496196284e-08,-2.807345053392219e-07,-3.209172130643904e-39,2.988356655219044e-24,-2.976325011261737e-24,3.417828052449575e-07,1.000714928384012
5,0.005,1,1,0.503,0.5,0.4973797132951291,600,243820039.4696881,120039025.4749618,0.0003606826066970825,-8.980315633555117e-27,2.669742849174544e-10,-2.667421908563987e-10,0.005982071677547469,0,-0.005254353378950586,0,0,0,0.001039041659135457,0.0002344650681697358,-0.0005457885974151718,-1.167441032362167e-37,3.470665703926906e-21,-3.467648481133183e-21,0.004942639313911847,-0.000234436933504807,-0.004708202380407041,-4.963907827174954e-35,5.095986306168993e-20,-5.083294425721718e-20,0.005581318606370335,3.899909290630289e-07,-2.81346649290696e-08,-3.618562641339595e-07,-3.221678028177538e-39,3.345485427846579e-24,-3.33314331403565e-24,4.359395058623922e-07,1.0007279831498
6,0.006,1,1,0.5036,0.5,0.4967925739340157,600,246963304.6206146,122380626.8363789,0.0003546774387359619,1.702930872496901e-26,1.082743982678961e-10,-1.081802699333634e-10,0.007174203748000453,0,-0.00643551571251715,0,0,0,0.001051245582847972,0.0002414581772504403,-0.0005540158971837167,2.213810134245969e-37,1.407567177482649e-21,-1.406343509133723e-21,0.006122482338786119,-0.000241429538928371,-0.00588105279985775,-4.93180523263325e-35,5.302281299981781e-20,-5.289410077007549e-20,0.006939664798443816,4.749716091136299e-07,-2.863832206963143e-08,-4.463332870439987e-07,-3.198585455685404e-39,3.494073744221237e-24,-3.481602455176134e-24,5.337772526752359e-07,1.000738960932681
7,0.007,1,1,0.5042,0.5,0.4962063887697409,600,250099412.3460397,124282737.9556193,0.0003520548343658447,1.648636847795023e-26,4.426279296671737e-11,-4.422431311321204e-11,0.008364916331627672,0,-0.007616151854913662,0,0,0,0.001064072954796242,0.0002462645712585088,-0.0005615732254507287,2.143227902133531e-37,5.75416308567326e-22,-5.749160704717567e-22,0.007300279233260411,-0.0002462355731295961,-0.007054043660130816,-4.901005706586381e-35,5.385490157388655e-20,-5.37254659680469e-20,0.008296901250671203,5.631481315813551e-07,-2.899812891299565e-08,-5.341500026683596e-07,-3.175535428952619e-39,3.556368590803643e-24,-3.543843145741489e-24,6.353876331112118e-07,1.000749044870813
8,0.008,1,1,0.5048,0.5,0.4956214022082294,600,253231132.1495397,125992600.4534198,0.0003507435321807861,1.162212180763222e-26,1.823899012660788e-11,-1.737910881630513e-09,0.009554212804811711,0,-0.008795765160098858,0,0,0,0.001077166760067043,0.0002501163040422632,-0.0005688355989026862,1.510875834992188e-37,2.371068716459025e-22,-2.259284146119667e-20,0.008476390267754094,-0.0002500870062987027,-0.008226303261455393,-4.87941893789605e-35,5.419318469473973e-20,-8.632798665307055e-20,0.009652739139676354,6.546413700691618e-07,-2.929774356086997e-08,-6.253436265082921e-07,-3.158760364446507e-39,3.582684659053052e-24,-6.078766610302635e-24,7.408623678015094e-07,1.000758735338857
9,0.009000000000000001,1,1,0.5054,0.5,0.4950377163535773,600,256358997.0690972,127617126.2278449,0.0003501325845718384,7.841037932930059e-27,7.574834110450102e-12,4.478021118876482e-09,0.01074209653190203,0,-0.009974144102475118,0,0,0,0.001090369296003193,0.0002535471355350536,-0.0005759641849436627,1.019334931280908e-37,9.847284343585134e-23,5.821427454539424e-20,0.009650976410601843,-0.000253517560596677,-0.009397458850005168,-4.865592584154066e-35,5.433180752198172e-20,-3.081037408981827e-21,0.01100705810463355,7.495499946082921e-07,-2.957493837694209e-08,-7.199750562313504e-07,-3.147521682869143e-39,3.593885627107525e-24,6.398543302676976e-25,8.502937202263843e-07,1.000768247380392
10,0.01,1,1,0.506,0.5,0.4944553727669262,600,259483116.7211531,129202914.2888281,0.0003492385149002075,5.749631269538459e-27,3.170336848429857e-12,-3.366021876543039e-09,0.01192857086527381,0,-0.01115119861713182,0,0,0,0.001103611212172,0.0002567898963618861,-0.0005830290465132254,7.4745206504e-38,4.121437902958814e-23,-4.375828439505949e-20,0.01082411027551316,-0.0002567600494141459,-0.01056735022609902,-4.854843403193715e-35,5.438906118343171e-20,-6.535569077670326e-20,0.01235980824431056,8.47963100756907e-07,-2.984694774068455e-08,-8.181161530162228e-07,-3.138578709622811e-39,3.59868858338575e-24,-4.571838339519756e-24,9.637746681987207e-07,1.000777674480259
11,0.011,1,1,0.5066000000000001,0.5,0.4938743869242765,600,262603519.4264591,130770433.8257284,0.0003488063812255859,4.896603099735765e-27,1.337036013268296e-12,3.86075968119926e-09,0.0131136391453832,0,-0.01232689104949086,0,0,0,0.001116861946393181,0.0002599468899884298,-0.0005900609298765384,6.365584029656496e-38,1.738146817248786e-23,5.018987585559042e-20,0.01199582567994736,-0.0002599167682350161,-0.01173590891171235,-4.84664264842061e-35,5.44128920197141e-20,5.133879073931675e-21,0.0137109698077032,9.499658635075853e-07,-3.012175341426132e-08,-9.198441100933244e-07,-3.131340602730786e-39,3.600763158090721e-24,1.546798408406561e-24,1.081398975148177e-06,1.000787057663354
