step,time,id,x,y,z,disp_x,disp_y,disp_z
1,1,0,0.9,0,0,0,0,0
1,1,1,1,0,0,-9.659002228851965e-07,-4.249679194267346e-07,0
1,1,2,0.9238795325112867,0.3826834323650898,0,-7.946521229138219e-07,-3.488927007465014e-07,0
1,1,3,0.831491579260158,0.3444150891285808,0,0,0,0
1,1,4,0.9,0,0.5,0,0,1.796374612690188e-06
1,1,5,1,0,0.5,-1.118521873483568e-06,-5.897770102539739e-07,1.789093869339485e-06
1,1,6,0.9238795325112867,0.3826834323650898,0.5,-9.099232947780983e-07,-4.023994959013189e-07,1.801901667668894e-06
1,1,7,0.831491579260158,0.3444150891285808,0.5,0,0,1.804920376835121e-06
1,1,8,0.95,0,0,-4.865642081663527e-07,-2.525053446140237e-07,0
1,1,9,0.9807852804032304,0.1950903220161282,0,-8.317472709349635e-07,-2.412789071629472e-07,0
1,1,10,0.8776855558857224,0.3635492607468353,0,-3.983645897778869e-07,-1.763926308223764e-07,0
1,1,11,0.8827067523629074,0.1755812898145154,0,0,0,0
1,1,12,0.9,0,0.25,0,0,9.631374145228166e-07
1,1,13,1,0,0.25,-1.185401771349394e-06,-6.022958109307665e-07,1.052282165060006e-06
1,1,14,0.9238795325112867,0.3826834323650898,0.25,-9.754318085105737e-07,-4.251857883261075e-07,1.056467059077145e-06
1,1,15,0.831491579260158,0.3444150891285808,0.25,0,0,9.70013048280605e-07
1,1,16,0.95,0,0.5,-5.688343076950289e-07,-3.540607459314593e-07,1.778913854694962e-06
1,1,17,0.9807852804032304,0.1950903220161282,0.5,-9.363761706928308e-07,-2.795415547826745e-07,1.804109940814234e-06
1,1,18,0.8776855558857224,0.3635492607468353,0.5,-4.638338362070789e-07,-2.040169896963052e-07,1.790256783470525e-06
1,1,19,0.8827067523629074,0.1755812898145154,0.5,0,0,1.806675483030238e-06
1,1,20,0.7071067811865476,0.7071067811865475,0,-6.017071497976221e-07,-6.017071497874756e-07,0
1,1,21,0.6363961030678928,0.6363961030678927,0,0,0,0
1,1,22,0.7071067811865476,0.7071067811865475,0.5,-6.880994278515895e-07,-6.880994278410043e-07,1.81164655315181e-06
1,1,23,0.6363961030678928,0.6363961030678927,0.5,0,0,1.814364312011958e-06
1,1,24,0.8314696123025452,0.5555702330196022,0,-7.191057691585012e-07,-4.792565502519084e-07,0
1,1,25,0.6717514421272202,0.67175144212722,0,-3.08035352020727e-07,-3.080353520158855e-07,0
1,1,26,0.7483226510722907,0.500013209717642,0,0,0,0
1,1,27,0.7071067811865476,0.7071067811865475,0.25,-7.463530793572288e-07,-7.463530793470605e-07,1.057623331645576e-06
1,1,28,0.6363961030678928,0.6363961030678927,0.25,0,0,9.694762490901837e-07
1,1,29,0.8314696123025452,0.5555702330196022,0.5,-8.102961616518057e-07,-5.405501100075763e-07,1.807513939189733e-06
1,1,30,0.6717514421272202,0.67175144212722,0.5,-3.585268195383127e-07,-3.585268195333999e-07,1.799600374338287e-06
1,1,31,0.7483226510722907,0.500013209717642,0.5,0,0,1.810652008906875e-06
1,1,32,0.3826834323650898,0.9238795325112867,0,-3.488927007426121e-07,-7.946521228651697e-07,0
1,1,33,0.3444150891285809,0.831491579260158,0,0,0,0
1,1,34,0.3826834323650898,0.9238795325112867,0.5,-4.023994958924229e-07,-9.099232947214303e-07,1.801901667666788e-06
1,1,35,0.3444150891285809,0.831491579260158,0.5,0,0,1.804920376835658e-06
1,1,36,0.5555702330196023,0.8314696123025452,0,-4.792565502554102e-07,-7.191057691721767e-07,0
1,1,37,0.3635492607468353,0.8776855558857224,0,-1.763926308192032e-07,-3.983645897534156e-07,0
1,1,38,0.5000132097176421,0.7483226510722907,0,0,0,0
1,1,39,0.3826834323650898,0.9238795325112867,0.25,-4.251857883120744e-07,-9.754318084625431e-07,1.056467059075348e-06
1,1,40,0.3444150891285809,0.831491579260158,0.25,0,0,9.700130482807066e-07
1,1,41,0.5555702330196023,0.8314696123025452,0.5,-5.405501100103958e-07,-8.102961616713114e-07,1.807513939189505e-06
1,1,42,0.3635492607468353,0.8776855558857224,0.5,-2.040169896904902e-07,-4.638338361784523e-07,1.790256783469825e-06
1,1,43,0.5000132097176421,0.7483226510722907,0.5,0,0,1.81065200890563e-06
1,1,44,6.123233995736766e-17,1,0,-4.249679194091257e-07,-9.659002228632791e-07,0
1,1,45,5.51091059616309e-17,0.9,0,0,0,0
1,1,46,6.123233995736766e-17,1,0.5,-5.897770102272732e-07,-1.11852187345564e-06,1.789093869338721e-06
1,1,47,5.51091059616309e-17,0.9,0.5,0,0,1.796374612691853e-06
1,1,48,0.1950903220161283,0.9807852804032304,0,-2.412789071737403e-07,-8.317472709569906e-07,0
1,1,49,5.817072295949927e-17,0.95,0,-2.525053446097333e-07,-4.865642081559248e-07,0
1,1,50,0.1755812898145155,0.8827067523629074,0,0,0,0
1,1,51,6.123233995736766e-17,1,0.25,-6.022958109040619e-07,-1.185401771310544e-06,1.052282165059537e-06
1,1,52,5.51091059616309e-17,0.9,0.25,0,0,9.631374145234066e-07
1,1,53,0.1950903220161283,0.9807852804032304,0.5,-2.795415547929492e-07,-9.363761707193273e-07,1.804109940815605e-06
1,1,54,5.817072295949927e-17,0.95,0.5,-3.540607459236657e-07,-5.688343076818064e-07,1.77891385469553e-06
1,1,55,0.1755812898145155,0.8827067523629074,0.5,0,0,1.806675483029622e-06
1,1,56,0.9,0,1,0,0,3.276344669504271e-06
1,1,57,1,0,1,-9.541767958761259e-07,-4.823301870600434e-07,3.14251371266765e-06
1,1,58,0.9238795325112867,0.3826834323650898,1,-7.729498231068253e-07,-3.506222656182711e-07,3.175196269411802e-06
1,1,59,0.831491579260158,0.3444150891285808,1,0,0,3.277568283613306e-06
1,1,60,0.9,0,0.75,0,0,2.503077655418104e-06
1,1,61,1,0,0.75,-1.173315963187233e-06,-6.359458015443556e-07,2.471346880108818e-06
1,1,62,0.9238795325112867,0.3826834323650898,0.75,-9.605439927024339e-07,-4.159074041446941e-07,2.477557603257363e-06
1,1,63,0.831491579260158,0.3444150891285808,0.75,0,0,2.513045788510877e-06
1,1,64,0.95,0,1,-4.834876355934248e-07,-2.88220480248296e-07,3.238823119180554e-06
1,1,65,0.9807852804032304,0.1950903220161282,1,-8.017199824533133e-07,-2.446434703026048e-07,3.12060879880082e-06
