id,x,y,z,gap,pressure,normal_x,normal_y,normal_z,shear_x,shear_y,shear_z,slip_1,slip_2,tangent_1_x,tangent_1_y,tangent_1_z,tangent_2_x,tangent_2_y,tangent_2_z
21,1,0,0,-0.0002169252766970057,187825.7205925204,-13443.43423395537,1.065044695816653,0.9434155942303162,4.305060244185697,910.7419028252327,923.7138187160509,-0.0009427546317341139,0.0009405626695362825,-0.0002842580112623268,-8.96914445166406e-05,0.9999999555764131,0.000267960730284431,-0.9999999600828542,-8.961772811348946e-05
26,1,1,0,-0.0002214115560813291,192491.2725883223,-13311.20167660207,-2.146659919888752,1.309838707644758,4.386658236564496,-847.784368502304,938.2257281301546,-0.0009869375873572954,-0.0009709700819375455,-0.0003166946528871522,0.0001876473387258275,0.9999999322464843,-0.0002023609549279232,-0.9999999619309846,0.0001875848422701981
31,1,0,1,-0.0002229002301485036,194041.4334187065,-13267.23244182739,1.553205975462838,-2.384698261628047,4.414076608880241,930.0893883333314,-839.7502430766569,0.0009832743837486931,0.0009993459519801835,0.0001968297447340034,-7.579426600618207e-05,0.9999999777566402,0.0003112451056153541,-0.9999999486863067,-7.585425664875469e-05
36,1,1,1,-0.0002273705211934131,198690.9970750463,-13135.2045176981,-2.629807103900415,-2.74609711490678,4.497622905959291,-867.1064412084168,-854.2361245273042,0.001027839512520604,-0.001030174582757968,0.0002293070395198006,-2.101589000588244e-05,0.9999999734883066,-0.000245686457323779,-0.9999999695994251,-2.095980651280867e-05
80,1,0.5,0,-0.0001610281624778202,190158.4965904214,56670.9132919314,2.019177617046043,9.52132436837573,-6.441961614334794,-118.1376969129696,3469.418973601214,-0.0006344076542147021,-5.909917687208893e-06,-0.0002230230421455928,3.263783166059629e-05,0.999999974597747,3.61280736163458e-05,-0.9999999988145473,3.264457102345121e-05
81,1,0,0.5,-0.000161864798908967,190933.5770056135,56763.43056245169,8.829641290776946,2.69504875268699,-6.394566165316388,3512.216581175821,-157.4819406999268,7.907274875292738e-06,0.0006391607462496405,-4.815668671960553e-05,-5.512660835817587e-05,0.9999999973209952,0.0002100800390476082,-0.9999999764141762,-5.511827614007807e-05
84,1,1,0.5,-0.0001668809019577987,195591.1348316843,57318.78307514082,-4.618974623920785,2.714440215341689,-6.10138687060802,-3769.70700410595,-157.4632972239955,7.995897171143887e-06,-0.0006677266808497823,-4.81392101762451e-05,5.556687165804859e-05,0.9999999972974696,-0.0001323055891026849,-0.999999989704023,5.556244023740441e-05
88,1,0.5,1,-0.0001677173998838207,196366.2152468764,57411.33151834286,2.038568868283253,-3.907607421517911,-6.051081127319095,-118.1198788157269,-3812.732065776633,0.0006724527401019238,-5.997778389898947e-06,0.0001193341857979973,-3.228895269276785e-05,0.9999999923583879,3.610994023732425e-05,-0.999999998826656,-3.229179078061131e-05
