element,integration_point,current_x,current_y,current_z,ivol,vonmises_stress,effective_plastic_strain,effective_creep_strain
1,1,0.02817297641722594,0.035242815067349234,0.035242815067349234,0.0077153544172912994,8976.672335649617,0,0
1,2,0.12498919446254261,0.035243416515846254,0.035243416515846261,0.012344538926817739,9431.043362586444,0,0
1,3,0.221805442222897,0.035240602252279013,0.035240602252279103,0.0077154326932442046,10684.95023518535,0,0
1,4,0.0281758235422589,0.49999999999999989,0.035243444583843625,0.012345797871636668,5004.782342235167,0,0
1,5,0.12500182570904358,0.49999999999999989,0.035246209360531494,0.019753139583621841,5669.752853641036,0,0
1,6,0.22182785759086598,0.49999999999999994,0.035245558425155143,0.01234580811406186,6139.049255042201,0,0
1,7,0.028172976417225937,0.96475718493265039,0.035242815067349248,0.007715354417291302,8976.672335649586,0,0
1,8,0.12498919446254261,0.96475658348415361,0.035243416515846199,0.012344538926817736,9431.043362586408,0,0
1,9,0.221805442222897,0.96475939774772079,0.035240602252279048,0.0077154326932442037,10684.9502351853,0,0
1,10,0.028175823542258904,0.035243444583843611,0.49999999999999989,0.012345797871636666,5004.782342235163,0,0
1,11,0.12500182570904356,0.035246209360531466,0.49999999999999994,0.019753139583621852,5669.752853641032,0,0
1,12,0.22182785759086598,0.035245558425155199,0.49999999999999994,0.012345808114061862,6139.049255042193,0,0
1,13,0.028178670667291857,0.5,0.5,0.019755245886270225,11123.601791524,0,0
1,14,0.1250144569555445,0.50000000000000011,0.50000000000000022,0.031608027049895772,11710.07821824633,0,0
1,15,0.221850272958835,0.5,0.5,0.019755078306122834,11607.53993897681,0,0
1,16,0.028175823542258893,0.96475655541615635,0.49999999999999989,0.012345797871636666,5004.782342235168,0,0
1,17,0.12500182570904356,0.96475379063946853,0.49999999999999994,0.019753139583621852,5669.752853641039,0,0
1,18,0.22182785759086598,0.9647544415748448,0.49999999999999994,0.012345808114061859,6139.049255042203,0,0
1,19,0.028172976417225937,0.035242815067349248,0.96475718493265072,0.007715354417291302,8976.672335649606,0,0
1,20,0.12498919446254259,0.035243416515846226,0.96475658348415361,0.012344538926817734,9431.043362586437,0,0
1,21,0.221805442222897,0.035240602252278978,0.9647593977477209,0.0077154326932442072,10684.95023518534,0,0
1,22,0.028175823542258886,0.49999999999999989,0.96475655541615646,0.012345797871636668,5004.782342235163,0,0
1,23,0.12500182570904358,0.49999999999999994,0.96475379063946853,0.019753139583621848,5669.752853641029,0,0
1,24,0.22182785759086598,0.49999999999999994,0.9647544415748448,0.012345808114061855,6139.049255042195,0,0
1,25,0.028172976417225944,0.96475718493265039,0.96475718493265072,0.0077153544172913055,8976.672335649591,0,0
1,26,0.12498919446254259,0.96475658348415361,0.96475658348415361,0.012344538926817739,9431.043362586426,0,0
1,27,0.221805442222897,0.9647593977477209,0.9647593977477209,0.0077154326932442055,10684.95023518532,0,0
2,1,0.27815042480120228,0.035237646701851089,0.03523764670185113,0.0077152534567565111,14786.74453409334,0,0
2,2,0.37496315463846863,0.035227842212311997,0.035227842212312045,0.012344913632326883,15992.9736176908,0,0
2,3,0.47177578118649005,0.035210807852291498,0.035210807852291588,0.007716128778627894,18896.90437042058,0,0
2,4,0.27817977961935908,0.5,0.03524335008868304,0.012346047100136478,5811.014288335706,0,0
2,5,0.3750065726979433,0.50000000000000011,0.035233950065490127,0.019754470892112862,4390.189998350501,0,0
2,6,0.47183326248728291,0.5,0.035217320171815919,0.012347425768117376,4921.859644696343,0,0
2,7,0.27815042480120228,0.96476235329814874,0.035237646701851061,0.0077152534567565051,14786.74453409333,0,0
2,8,0.37496315463846874,0.96477215778768799,0.035227842212311927,0.012344913632326879,15992.9736176908,0,0
2,9,0.47177578118649005,0.96478919214770831,0.035210807852291505,0.0077161287786278983,18896.90437042056,0,0
2,10,0.27817977961935902,0.035243350088682984,0.5,0.012346047100136455,5811.014288335693,0,0
2,11,0.37500657269794335,0.035233950065490134,0.5,0.019754470892112873,4390.189998350485,0,0
2,12,0.47183326248728286,0.035217320171815877,0.5,0.012347425768117376,4921.859644696328,0,0
2,13,0.27820913443751571,0.50000000000000011,0.50000000000000022,0.019756301812640667,16077.26134551564,0,0
2,14,0.37504999075741818,0.50000000000000011,0.50000000000000011,0.031611327868266773,14081.1296551601,0,0
2,15,0.47189074378807555,0.50000000000000011,0.50000000000000011,0.019758472733412968,10626.7081356645,0,0
2,16,0.27817977961935902,0.96475664991131693,0.50000000000000011,0.012346047100136447,5811.014288335707,0,0
2,17,0.3750065726979433,0.96476604993450987,0.49999999999999989,0.019754470892112873,4390.189998350491,0,0
2,18,0.4718332624872828,0.96478267982818411,0.5,0.012347425768117376,4921.859644696328,0,0
2,19,0.27815042480120233,0.035237646701851075,0.96476235329814886,0.0077152534567565077,14786.74453409335,0,0
2,20,0.37496315463846874,0.035227842212311976,0.96477215778768799,0.012344913632326877,15992.97361769079,0,0
2,21,0.47177578118649005,0.035210807852291512,0.96478919214770842,0.0077161287786278749,18896.90437042056,0,0
2,22,0.27817977961935902,0.5,0.96475664991131693,0.012346047100136461,5811.014288335689,0,0
2,23,0.37500657269794346,0.5,0.96476604993451009,0.019754470892112869,4390.189998350478,0,0
2,24,0.47183326248728291,0.5,0.96478267982818422,0.012347425768117379,4921.859644696317,0,0
2,25,0.27815042480120233,0.96476235329814874,0.96476235329814874,0.0077152534567565103,14786.74453409332,0,0
2,26,0.37496315463846869,0.96477215778768788,0.96477215778768799,0.012344913632326883,15992.97361769079,0,0
2,27,0.47177578118649011,0.96478919214770831,0.96478919214770842,0.0077161287786278836,18896.90437042057,0,0
3,1,0.52811985398896322,0.035197232718258233,0.035197232718258267,0.0077167059700332724,19655.88960378733,0,0
3,2,0.62493668875869057,0.035164576252580654,0.035164576252580716,0.012349149239230391,21767.58694622315,0,0
3,3,0.72175888006637523,0.035119980383186256,0.03511998038318629,0.0077201275555728319,27843.50628013465,0,0
3,4,0.52818564127720213,0.49999999999999978,0.035203615699375357,0.012348405714407009,4597.366165790858,0,0
3,5,0.6250169562623068,0.5,0.035170110296992102,0.019761355940815118,7862.674243497209,0,0
