step,normal_x,normal_y,normal_z,tangential_x,tangential_y,tangential_z,slip_1,slip_2
1,999.9493794986854,0,0,0,-299.9919945103339,-399.9743661599281,0.001599976830523761,0.001199990053352579
2,939.3727128473681,342.8978074554473,0,102.8188708631246,-281.6735469127951,-400.110337782573,0.001600000000000356,0.001200000000000438
