stage,time_s,element,integration_point,x_m,y_m,z_m,temperature_k,s11_pa,s22_pa,s33_pa,s12_pa,s13_pa,s23_pa,le11,le22,le33,le12_engineering,le13_engineering,le23_engineering,ee11,ee22,ee33,ee12_engineering,ee13_engineering,ee23_engineering,pe11,pe22,pe33,pe12_engineering,pe13_engineering,pe23_engineering,peeq,ce11,ce22,ce33,ce12_engineering,ce13_engineering,ce23_engineering,ceeq,ivol_m3
1,0.001,1,1,0.2115784552436712,0.211324865405185,0.2111992657534232,600,227109024.6133536,75270887.05276726,1.9073486328125e-06,-4.517774254318886e-26,-1.501372510244196e-09,3.431708594843877e-09,0.001199280575482187,0,-0.0005945206259200135,0,0,0,0.001022638792487614,3.569089834380313e-05,-0.000453569867499172,-5.873106530614554e-37,-1.951784263317456e-20,4.461221173297041e-20,0.0001765655665242557,-3.567552765288343e-05,-0.0001408900388713724,-1.262999357588072e-37,-4.197271508478003e-21,9.593763447949721e-21,0.0001867228706015412,7.607272908561579e-08,-1.537069091980269e-08,-6.070203816581313e-08,-5.441593729539855e-41,-1.808381467851816e-24,4.133443355089865e-24,8.044897218058761e-08,0.1250756178567163
1,0.001,1,2,0.789621544756329,0.2113248654051851,0.2111992657534232,600,227109024.6133536,75270887.05276728,1.862645149230957e-06,-1.210533964164773e-26,1.930336084599681e-09,4.289635743554848e-10,0.001199280575482187,0,-0.0005945206259200135,0,0,0,0.001022638792487615,3.569089834380309e-05,-0.0004535698674991722,-1.573694153414204e-37,2.509436909979586e-20,5.576526466621302e-21,0.0001765655665242556,-3.567552765288336e-05,-0.0001408900388713723,-3.384196582237487e-38,5.396491939471713e-21,1.199220430993714e-21,0.000186722870601541,7.607272908561581e-08,-1.537069091980268e-08,-6.070203816581315e-08,-1.458070646734243e-41,2.325061887238049e-24,5.166804193862333e-25,8.044897218058761e-08,0.1250756178567162
1,0.001,1,3,0.2115784552436712,0.7886751345948151,0.2111992657534232,600,227109024.6133536,75270887.05276726,1.9073486328125e-06,-4.517774254337334e-26,-2.573781446132909e-09,3.431708594843877e-09,0.001199280575482187,0,-0.0005945206259200135,0,0,0,0.001022638792487614,3.569089834380309e-05,-0.0004535698674991719,-5.873106530638534e-37,-3.345915879972781e-20,4.461221173297041e-20,0.0001765655665242557,-3.567552765288343e-05,-0.0001408900388713724,-1.262999357593229e-37,-7.195322585962291e-21,9.593763447949721e-21,0.0001867228706015412,7.607272908561579e-08,-1.537069091980269e-08,-6.070203816581313e-08,-5.441593729562075e-41,-3.100082516317399e-24,4.133443355089865e-24,8.044897218058761e-08,0.1250756178567163
1,0.001,1,4,0.789621544756329,0.7886751345948151,0.2111992657534231,600,227109024.6133536,75270887.05276726,1.9073486328125e-06,-1.210533964183219e-26,4.289635743554846e-09,4.289635743554847e-10,0.001199280575482187,0,-0.0005945206259200135,0,0,0,0.001022638792487614,3.569089834380313e-05,-0.000453569867499172,-1.573694153438185e-37,5.576526466621302e-20,5.576526466621301e-21,0.0001765655665242557,-3.567552765288343e-05,-0.0001408900388713724,-3.38419658228906e-38,1.199220430993715e-20,1.199220430993715e-21,0.0001867228706015412,7.607272908561579e-08,-1.537069091980269e-08,-6.070203816581313e-08,-1.458070646756461e-41,5.166804193862331e-24,5.166804193862332e-25,8.044897218058761e-08,0.1250756178567162
1,0.001,1,5,0.2115784552436712,0.211324865405185,0.7882063903130268,600,227109024.6133536,75270887.05276726,1.9073486328125e-06,-1.686056304690242e-25,-8.579271487109694e-10,6.863417189687755e-09,0.001199280575482187,0,-0.0005945206259200135,0,0,0,0.001022638792487614,3.569089834380313e-05,-0.000453569867499172,-2.191873196097315e-36,-1.11530529332426e-20,8.922442346594082e-20,0.0001765655665242557,-3.567552765288343e-05,-0.0001408900388713724,-4.71357777039292e-37,-2.39844086198743e-21,1.918752689589944e-20,0.0001867228706015412,7.607272908561579e-08,-1.537069091980269e-08,-6.070203816581313e-08,-2.030830426394731e-40,-1.033360838772466e-24,8.266886710179731e-24,8.044897218058761e-08,0.1250756178567162
1,0.001,1,6,0.789621544756329,0.211324865405185,0.7882063903130269,600,227109024.6133536,75270887.05276728,1.862645149230957e-06,-4.517774251208276e-26,2.573781446132909e-09,4.289635743554848e-09,0.001199280575482187,0,-0.0005945206259200135,0,0,0,0.001022638792487615,3.569089834380309e-05,-0.0004535698674991722,-5.87310652657076e-37,3.345915879972781e-20,5.576526466621303e-20,0.0001765655665242556,-3.567552765288336e-05,-0.0001408900388713723,-1.262999356718462e-37,7.195322585962285e-21,1.199220430993714e-20,0.000186722870601541,7.607272908561581e-08,-1.537069091980268e-08,-6.070203816581315e-08,-5.44159372579317e-41,3.1000825163174e-24,5.166804193862332e-24,8.044897218058761e-08,0.1250756178567162
1,0.001,1,7,0.2115784552436713,0.7886751345948151,0.7882063903130268,600,227109024.6133536,75270887.05276726,1.9073486328125e-06,-1.686056304694396e-25,-1.029512578453163e-08,3.431708594843877e-09,0.001199280575482187,0,-0.0005945206259200135,0,0,0,0.001022638792487614,3.569089834380313e-05,-0.000453569867499172,-2.191873196102715e-36,-1.338366351989112e-19,4.461221173297041e-20,0.0001765655665242557,-3.567552765288343e-05,-0.0001408900388713724,-4.713577770404531e-37,-2.878129034384916e-20,9.593763447949721e-21,0.0001867228706015412,7.607272908561579e-08,-1.537069091980269e-08,-6.070203816581313e-08,-2.030830426399734e-40,-1.24003300652696e-23,4.133443355089865e-24,8.044897218058761e-08,0.1250756178567162
1,0.001,1,8,0.789621544756329,0.7886751345948151,0.7882063903130268,600,227109024.6133536,75270887.05276726,1.9073486328125e-06,-4.517774251249808e-26,3.431708594843877e-09,4.289635743554846e-09,0.001199280575482187,0,-0.0005945206259200135,0,0,0,0.001022638792487614,3.569089834380313e-05,-0.000453569867499172,-5.87310652662475e-37,4.461221173297041e-20,5.576526466621302e-20,0.0001765655665242557,-3.567552765288343e-05,-0.0001408900388713724,-1.262999356730074e-37,9.593763447949721e-21,1.199220430993715e-20,0.0001867228706015412,7.607272908561579e-08,-1.537069091980269e-08,-6.070203816581313e-08,-5.441593725843196e-41,4.133443355089865e-24,5.166804193862331e-24,8.044897218058761e-08,0.1250756178567162
2,0.002,1,1,0.2116735514331036,0.211324865405185,0.2111116470163874,600,230526275.1146302,89058987.76713689,3.334879875183105e-05,-4.706719125053553e-25,1.711933700125262e-09,4.200249581309086e-09,0.00164864024552437,0,-0.001009469591923621,0,0,0,0.001019042893922395,9.950552616368934e-05,-0.0004793778943224839,-6.118734862569619e-36,2.22551381016284e-20,5.460324455701812e-20,0.0006294457180954433,-9.947953141161488e-05,-0.0005299661866838285,-3.562628011141438e-36,8.322854543893922e-21,4.027937324335669e-20,0.0006769960130975491,1.514822040813608e-07,-2.599475207456976e-08,-1.25487452006791e-07,-6.261359038041462e-40,2.80336214721005e-25,9.244062177719931e-24,1.620847872011241e-07,0.1250799218708364
2,0.002,1,2,0.7899764485668964,0.2113248654051851,0.2111116470163874,600,230526275.1146302,89058987.76713689,3.334879875183105e-05,-1.261167310574495e-25,4.40877091194516e-09,6.084994490563484e-10,0.00164864024552437,0,-0.001009469591923621,0,0,0,0.001019042893922396,9.950552616368928e-05,-0.0004793778943224841,-1.639517503746844e-36,5.731402185528709e-20,7.910492837732528e-21,0.0006294457180954432,-9.947953141161483e-05,-0.0005299661866838284,-9.546099767193797e-37,3.761282965452783e-20,5.644805839438435e-21,0.0006769960130975489,1.514822040813608e-07,-2.599475207456975e-08,-1.25487452006791e-07,-1.677743822058068e-40,7.692560267050497e-24,1.257107242993836e-24,1.620847872011241e-07,0.1250799218708364
2,0.002,1,3,0.2116735514331036,0.7886751345948151,0.2111116470163874,600,230526275.1146302,89058987.76713693,3.340840339660645e-05,-4.706058023661769e-25,-1.647758660912993e-09,4.200249581309088e-09,0.00164864024552437,0,-0.001009469591923621,0,0,0,0.001019042893922396,9.950552616368934e-05,-0.000479377894322484,-6.1178754307603e-36,-2.142086259186891e-20,5.460324455701815e-20,0.0006294457180954429,-9.947953141161491e-05,-0.0005299661866838281,-3.561856414963279e-36,-1.923161462017826e-20,4.027937324335667e-20,0.0006769960130975486,1.514822040813607e-07,-2.599475207456978e-08,-1.25487452006791e-07,-6.259311147739564e-40,-5.104256159270754e-24,9.244062177719932e-24,1.620847872011241e-07,0.1250799218708364
2,0.002,1,4,0.7899764485668964,0.7886751345948151,0.2111116470163874,600,230526275.1146302,89058987.76713693,3.340840339660645e-05,-1.261092722322658e-25,5.41200130917984e-09,6.084994490563485e-10,0.00164864024552437,0,-0.001009469591923621,0,0,0,0.001019042893922396,9.950552616368935e-05,-0.000479377894322484,-1.639420539019455e-36,7.035601701933793e-20,7.910492837732531e-21,0.0006294457180954429,-9.947953141161491e-05,-0.0005299661866838281,-9.545229222125668e-37,5.150774321352139e-20,5.644805839438432e-21,0.0006769960130975486,1.514822040813607e-07,-2.599475207456978e-08,-1.25487452006791e-07,-1.677512771429409e-40,1.174202252306097e-23,1.257107242993836e-24,1.620847872011241e-07,0.1250799218708364
2,0.002,1,5,0.2116735514331036,0.211324865405185,0.7878793927347143,600,230526275.1146302,89058987.76713689,3.334879875183105e-05,-1.756740466074459e-24,6.969807580866638e-09,9.735991184901572e-09,0.00164864024552437,0,-0.001009469591923621,0,0,0,0.001019042893922395,9.950552616368934e-05,-0.0004793778943224839,-2.283762605896797e-35,9.060749855126627e-20,1.265678854037204e-19,0.0006294457180954433,-9.947953141161488e-05,-0.0005299661866838285,-1.329788091703198e-35,4.855977911148652e-20,9.031689343101497e-20,0.0006769960130975491,1.514822040813608e-07,-2.599475207456976e-08,-1.25487452006791e-07,-2.337294438806102e-39,7.463963026493479e-24,2.011371588790137e-23,1.620847872011241e-07,0.1250799218708364
2,0.002,1,6,0.7899764485668964,0.211324865405185,0.7878793927347143,600,230526275.1146302,89058987.76713689,3.334879875183105e-05,-4.70847813595163e-25,9.666644792686536e-09,4.081756457138385e-09,0.00164864024552437,0,-0.001009469591923621,0,0,0,0.001019042893922396,9.950552616368928e-05,-0.0004793778943224841,-6.12102157673712e-36,1.25666382304925e-19,5.3062833942799e-20,0.0006294457180954432,-9.947953141161483e-05,-0.0005299661866838284,-3.564681019531184e-36,7.784975422212041e-20,4.1810837977932e-20,0.0006769960130975489,1.514822040813608e-07,-2.599475207456975e-08,-1.25487452006791e-07,-6.26680792086702e-40,1.487618707882297e-23,1.01326851312461e-23,1.620847872011241e-07,0.1250799218708364
2,0.002,1,7,0.2116735514331035,0.7886751345948151,0.7878793927347143,600,230526275.1146301,89058987.76713684,3.328919410705566e-05,-1.756167091686867e-24,-4.583849984708696e-09,7.538979637017584e-09,0.00164864024552437,0,-0.001009469591923621,0,0,0,0.001019042893922395,9.950552616368923e-05,-0.0004793778943224838,-2.283017219192927e-35,-5.959004980121305e-20,9.800673528122859e-20,0.0006294457180954433,-9.947953141161483e-05,-0.0005299661866838285,-1.329118884793051e-35,-6.224317550496966e-20,6.467474060411061e-20,0.0006769960130975491,1.514822040813608e-07,-2.599475207456975e-08,-1.25487452006791e-07,-2.335518299112878e-39,-1.796641189052188e-23,1.33080410088737e-23,1.620847872011241e-07,0.1250799218708364
2,0.002,1,8,0.7899764485668964,0.7886751345948151,0.7878793927347143,600,230526275.1146301,89058987.76713684,3.328919410705566e-05,-4.70669074292558e-25,7.536367299733325e-09,4.081756457138385e-09,0.00164864024552437,0,-0.001009469591923621,0,0,0,0.001019042893922395,9.950552616368923e-05,-0.0004793778943224838,-6.118697965803255e-36,9.797277489653324e-20,5.306283394279899e-20,0.0006294457180954433,-9.947953141161483e-05,-0.0005299661866838285,-3.562594885783058e-36,6.46442510275115e-20,4.1810837977932e-20,0.0006769960130975491,1.514822040813608e-07,-2.599475207456975e-08,-1.25487452006791e-07,-6.261271120964639e-40,1.329994878093428e-23,1.013268513124609e-23,1.620847872011241e-07,0.1250799218708364
3,0.003,1,1,0.2117686476225359,0.211324865405185,0.2110217764111471,600,232744491.83674,98523477.28999995,3.097951412200928e-05,-2.944472331014847e-25,-2.236323658287017e-09,2.677331994356855e-09,0.00209779808214612,0,-0.001435262014937152,0,0,0,0.001015937243248654,0.0001435006486948432,-0.0004969019536899552,-3.827814030319301e-36,-2.907220755773121e-20,3.480531592663911e-20,0.001081634068849537,-0.000143467345572151,-0.0009381667232773866,-5.738316870202392e-36,-8.289790265384736e-21,6.007401308644357e-20,0.001175685569453403,2.266111942221902e-07,-3.330312269241596e-08,-1.933080715297743e-07,-9.875363277179849e-40,-2.485492427437321e-24,1.253284946985713e-23,2.449397362512559e-07,0.1250828444490885
3,0.003,1,2,0.7903313523774641,0.2113248654051851,0.2110217764111471,600,232744491.83674,98523477.28999993,3.090500831604004e-05,-7.900562750932978e-26,1.462182062874232e-10,3.878588491757547e-09,0.00209779808214612,0,-0.001435262014937152,0,0,0,0.001015937243248654,0.0001435006486948432,-0.0004969019536899555,-1.027073157621287e-36,1.900836681736499e-21,5.04216503928481e-20,0.001081634068849537,-0.0001434673455721509,-0.0009381667232773866,-1.539859892228233e-36,3.859960449345245e-20,3.435146891979804e-20,0.001175685569453403,2.266111942221902e-07,-3.330312269241594e-08,-1.933080715297743e-07,-2.650508272303553e-40,7.849650294103144e-24,6.028575762758126e-24,2.449397362512559e-07,0.1250828444490885
3,0.003,1,3,0.2117686476225359,0.7886751345948151,0.2110217764111471,600,232744491.83674,98523477.28999987,3.091990947723389e-05,-2.94495804647454e-25,-2.379345603665236e-09,2.677331994356856e-09,0.00209779808214612,0,-0.001435262014937152,0,0,0,0.001015937243248654,0.0001435006486948432,-0.0004969019536899554,-3.8284454604169e-36,-3.093149284764807e-20,3.480531592663912e-20,0.001081634068849537,-0.0001434673455721509,-0.0009381667232773863,-5.739269102112735e-36,-3.682311593045913e-20,6.007401308644356e-20,0.001175685569453403,2.266111942221902e-07,-3.330312269241597e-08,-1.933080715297743e-07,-9.877044041257283e-40,-8.027002236869731e-24,1.253284946985713e-23,2.449397362512559e-07,0.1250828444490885
3,0.003,1,4,0.7903313523774641,0.7886751345948151,0.2110217764111471,600,232744491.83674,98523477.28999999,3.099441528320312e-05,-7.90262758248965e-26,5.438292419153979e-09,3.878588491757546e-09,0.00209779808214612,0,-0.001435262014937152,0,0,0,0.001015937243248654,0.0001435006486948432,-0.0004969019536899552,-1.027341585723654e-36,7.069780144900171e-20,5.04216503928481e-20,0.001081634068849537,-0.0001434673455721509,-0.0009381667232773864,-1.54045845023994e-36,9.163675820105171e-20,3.435146891979805e-20,0.001175685569453403,2.266111942221901e-07,-3.330312269241597e-08,-1.933080715297743e-07,-2.652057566105793e-40,1.84035565989816e-23,6.028575762758123e-24,2.449397362512559e-07,0.1250828444490885
3,0.003,1,5,0.2117686476225359,0.211324865405185,0.7875439910698505,600,232744491.83674,98523477.28999995,3.097951412200928e-05,-1.098377175921514e-24,-8.867482742643451e-09,3.546341872831128e-09,0.00209779808214612,0,-0.001435262014937152,0,0,0,0.001015937243248654,0.0001435006486948432,-0.0004969019536899552,-1.427890328697969e-35,-1.152772756543649e-19,4.610244434680465e-20,0.001081634068849537,-0.000143467345572151,-0.0009381667232773866,-2.140539831915096e-35,-1.731550414018622e-20,1.165131515385421e-19,0.001175685569453403,2.266111942221902e-07,-3.330312269241596e-08,-1.933080715297743e-07,-3.683668777119728e-39,-3.503768791398362e-24,2.44645860423759e-23,2.449397362512559e-07,0.1250828444490885
3,0.003,1,6,0.7903313523774642,0.211324865405185,0.7875439910698505,600,232744491.83674,98523477.28999993,3.090500831604004e-05,-2.949046572662777e-25,-6.484940878069011e-09,1.257528037781868e-08,0.00209779808214612,0,-0.001435262014937152,0,0,0,0.001015937243248654,0.0001435006486948432,-0.0004969019536899555,-3.833760544461609e-36,-8.430423141489712e-20,1.634786449116428e-19,0.001081634068849537,-0.0001434673455721509,-0.0009381667232773866,-5.747056739744124e-36,2.957389061865095e-20,1.348726798284429e-19,0.001175685569453403,2.266111942221902e-07,-3.330312269241594e-08,-1.933080715297743e-07,-9.890210414031927e-40,6.8313739301421e-24,2.560016290499444e-23,2.449397362512559e-07,0.1250828444490885
3,0.003,1,7,0.2117686476225359,0.7886751345948151,0.7875439910698505,600,232744491.83674,98523477.28999986,3.090500831604004e-05,-1.098842547710238e-24,-5.583885830814551e-09,4.805512385933309e-09,0.00209779808214612,0,-0.001435262014937152,0,0,0,0.001015937243248654,0.0001435006486948431,-0.0004969019536899555,-1.428495312023309e-35,-7.259051580058917e-20,6.247166101713303e-20,0.001081634068849537,-0.0001434673455721509,-0.0009381667232773863,-2.141394452336582e-35,-1.035900403822198e-19,1.002039118617429e-19,0.001175685569453403,2.266111942221902e-07,-3.330312269241595e-08,-1.933080715297742e-07,-3.685030421757617e-39,-2.484057308860374e-23,1.921104747216511e-23,2.449397362512559e-07,0.1250828444490885
3,0.003,1,8,0.7903313523774642,0.7886751345948151,0.7875439910698505,600,232744491.83674,98523477.28999986,3.090500831604004e-05,-2.948828124995168e-25,4.795881452922915e-09,1.257528037781868e-08,0.00209779808214612,0,-0.001435262014937152,0,0,0,0.001015937243248654,0.0001435006486948431,-0.0004969019536899555,-3.833476562493718e-36,6.234645888799791e-20,1.634786449116429e-19,0.001081634068849537,-0.0001434673455721509,-0.0009381667232773863,-5.747164251158041e-36,9.997651306206341e-20,1.348726798284428e-19,0.001175685569453403,2.266111942221902e-07,-3.330312269241595e-08,-1.933080715297742e-07,-9.891762861122193e-40,1.916109566608649e-23,2.560016290499443e-23,2.449397362512559e-07,0.1250828444490885
