case,node,temperature_k,ux_m,uy_m,uz_m,rfl_w,rf_x_n,rf_y_n,rf_z_n
D06_PLUS,7,515.001,0.09200000000000001,0.064,0.07199999999999999,148.8201793367856,6783103969.022098,5984729154.673658,5906806020.566841
D06_PLUS,8,455,-0.032,0.028,0.04399999999999999,66.75647064723273,-6194705904.269837,5289529022.767896,5889479043.937395
D06_MINUS,1,360,6.45497471e-27,5.474974709999998e-27,5.43987727e-27,-142.0769494737216,-6811198607.984172,-5944485782.325497,-5865311050.949401
D06_MINUS,2,410,0.04800000000000001,-0.008,0.012,-66.39466170202921,6045070453.174475,-5290890769.691464,-5677706214.308149
D06_MINUS,3,445,0.068,0.036,-0.016,21.00300100749085,6728532389.127623,5797419807.758916,-5773397400.534467
D06_MINUS,4,385,-0.016,0.04399999999999999,0.008,-98.03957151311988,-6216788615.715443,5098315010.000671,-5772192004.417697
D06_MINUS,5,470,0.012,-0.02,0.056,44.87985949847052,-6598361163.378396,-5791884989.173247,5559821970.496215
D06_MINUS,6,430,0.04,0.016,0.04,25.05445305144915,6264347494.149901,-5142732145.29697,5732498944.571711
D06_MINUS,7,514.999,0.09200000000000001,0.064,0.07199999999999999,148.8174556016323,6783104300.250565,5984729499.66084,5906806362.45043
D06_MINUS,8,455,-0.032,0.028,0.04399999999999999,66.75641352982784,-6194706249.624551,5289529369.066753,5889479392.691357
D07_PLUS,1,360,6.45497441e-27,5.474974409999998e-27,5.439876969999999e-27,-142.0776642249531,-6811198275.39563,-5944485440.346901,-5865310712.284176
D07_PLUS,2,410,0.04800000000000001,-0.008,0.012,-66.39538438709693,6045070116.769697,-5290890425.09114,-5677705878.967687
D07_PLUS,3,445,0.068,0.036,-0.016,21.00265037427785,6728532054.470664,5797419464.470268,-5773397050.570256
D07_PLUS,4,385,-0.016,0.04399999999999999,0.008,-98.03991409100365,-6216788277.157625,5098314666.692495,-5772191661.109521
D07_PLUS,5,470,0.012,-0.02,0.056,44.879521066087,-6598360835.535329,-5791884646.761765,5559821632.459163
D07_PLUS,6,430,0.04,0.016,0.04,25.05408036386847,6264347152.148521,-5142731798.976492,5732498603.398673
D07_PLUS,7,515,0.09200000000000001,0.064,0.07199999999999999,148.8188460279114,6783103970.254457,5984729155.957208,5906806021.838843
D07_PLUS,8,455.001,-0.032,0.028,0.04399999999999999,66.75786487090903,-6194705905.554754,5289529024.056325,5889479045.234959
D07_MINUS,1,360,6.45497471e-27,5.474974709999998e-27,5.43987727e-27,-142.0769133322652,-6811198606.742132,-5944485781.048391,-5865311049.684668
D07_MINUS,2,410,0.04800000000000001,-0.008,0.012,-66.39465392107505,6045070451.918181,-5290890768.404568,-5677706213.055832
D07_MINUS,3,445,0.068,0.036,-0.016,21.00332316560207,6728532387.877857,5797419806.476917,-5773397399.227538
D07_MINUS,4,385,-0.016,0.04399999999999999,0.008,-98.0398927044085,-6216788614.451111,5098315008.7186,-5772192003.135624
D07_MINUS,5,470,0.012,-0.02,0.056,44.87953415482922,-6598361162.154077,-5791884987.894526,5559821969.233827
D07_MINUS,6,430,0.04,0.016,0.04,25.05479442065943,6264347492.87271,-5142732144.003651,5732498943.297611
D07_MINUS,7,515,0.09200000000000001,0.064,0.07199999999999999,148.8187889105066,6783104299.018206,5984729498.377292,5906806361.178428
D07_MINUS,8,454.999,-0.032,0.028,0.04399999999999999,66.75501930615157,-6194706248.339635,5289529367.778324,5889479391.393794
D08_PLUS,1,360,9.999999999999998e-08,5.474973559999999e-27,5.43987612e-27,-142.0772930736104,-6811195859.906279,-5944484594.61031,-5865309861.971189
D08_PLUS,2,410,0.04800000000000001,-0.008,0.012,-66.39501252693911,6045069807.642229,-5290890250.457582,-5677705704.808946
D08_PLUS,3,445,0.068,0.036,-0.016,21.00299061696554,6728530710.107455,5797418613.688249,-5773397015.223232
D08_PLUS,4,385,-0.016,0.04399999999999999,0.008,-98.0399053269031,-6216786931.237615,5098314491.252391,-5772190790.315664
D08_PLUS,5,470,0.012,-0.02,0.056,44.87952264719159,-6598359515.956353,-5791883797.489718,5559821441.702258
D08_PLUS,6,430,0.04,0.016,0.04,25.0544392765684,6264345788.887161,-5142731805.088204,5732497735.770104
D08_PLUS,7,515,0.09200000000000001,0.064,0.07199999999999999,148.8188185238346,6783101591.248027,5984728306.848644,5906805167.286096
D08_PLUS,8,455,-0.032,0.028,0.04399999999999999,66.75643986289249,-6194705590.784626,5289529035.856528,5889479027.560574
D08_MINUS,1,360,-9.999999999999998e-08,5.474975559999998e-27,5.43987812e-27,-142.0772844836081,-6811201022.23142,-5944486626.784957,-5865311899.997705
D08_MINUS,2,410,0.04800000000000001,-0.008,0.012,-66.39502578123243,6045070761.045537,-5290890943.038198,-5677706387.214566
D08_MINUS,3,445,0.068,0.036,-0.016,21.00298292291447,6728533732.240977,5797420657.258909,-5773397434.574506
D08_MINUS,4,385,-0.016,0.04399999999999999,0.008,-98.03990146850923,-6216789960.37103,5098315184.158778,-5772192873.929533
D08_MINUS,5,470,0.012,-0.02,0.056,44.87953257372443,-6598362481.732965,-5791885837.166545,5559822159.990734
D08_MINUS,6,430,0.04,0.016,0.04,25.05443550795962,6264348856.133981,-5142732137.891959,5732499810.926235
D08_MINUS,7,515,0.09200000000000001,0.064,0.07199999999999999,148.8188164145833,6783106678.02457,5984730347.485828,5906807215.731224
D08_MINUS,8,455,-0.032,0.028,0.04399999999999999,66.75644431416788,-6194706563.10965,5289529355.978141,5889479409.068119
D09_PLUS,1,360,6.454975069428001e-27,5.474974559999999e-27,5.43987712e-27,-142.0772952757266,-6811198939.38366,-5944485980.188879,-5865311252.861214
D09_PLUS,2,410,0.0480001,-0.008,0.012,-66.39502337976997,6045072924.378771,-5290891662.02709,-5677707077.52084
D09_PLUS,3,445,0.068,0.036,-0.016,21.0029891676452,6728533754.497135,5797419996.608025,-5773398272.513135
D09_PLUS,4,385,-0.016,0.04399999999999999,0.008,-98.03990398418405,-6216790019.432228,5098315886.185117,-5772192002.119207
D09_PLUS,5,470,0.012,-0.02,0.056,44.87952740763446,-6598362524.668059,-5791884988.176112,5559822814.165635
D09_PLUS,6,430,0.04,0.016,0.04,25.05444118658536,6264348893.398547,-5142733030.383329,5732499130.175201
D09_PLUS,7,515,0.09200000000000001,0.064,0.07199999999999999,148.8188216724726,6783104615.887379,5984729514.863987,5906806379.457172
D09_PLUS,8,455,-0.032,0.028,0.04399999999999999,66.75644320534295,-6194708704.677888,5289530263.118286,5889480281.216386
D09_MINUS,1,360,6.454974050572001e-27,5.474974559999999e-27,5.43987712e-27,-142.0772822814922,-6811197942.753984,-5944485241.206471,-5865310509.107769
D09_MINUS,2,410,0.04799989999999999,-0.008,0.012,-66.39501492840188,6045067644.309037,-5290889531.468576,-5677705014.502562
D09_MINUS,3,445,0.068,0.036,-0.016,21.00298437223468,6728530687.851289,5797419274.339225,-5773396177.284545
D09_MINUS,4,385,-0.016,0.04399999999999999,0.008,-98.03990281122847,-6216786872.176414,5098313789.225939,-5772191662.126026
D09_MINUS,5,470,0.012,-0.02,0.056,44.87952781328173,-6598359473.021251,-5791884646.480183,5559820787.527244
D09_MINUS,6,430,0.04,0.016,0.04,25.0544335979429,6264345751.622585,-5142730912.596773,5732498416.521229
D09_MINUS,7,515,0.09200000000000001,0.064,0.07199999999999999,148.8188132659456,6783103653.385165,5984729139.47052,5906806003.560181
D09_MINUS,8,455,-0.032,0.028,0.04399999999999999,66.75644097171761,-6194703449.216428,5289528128.716323,5889478155.412248
D10_PLUS,1,360,6.454976060000001e-27,5.474975559999999e-27,5.43987712e-27,-142.077289430048,-6811199961.336817,-5944486643.460478,-5865311068.443463
