step,time,reaction_x,reaction_y,reaction_z
1,1,-9950.075130279833,747.4351424357645,0.105925759335309
2,2,-9949.998012551139,1495.217717869947,0.1710925608772408
3,3,-9949.844256236851,2984.953028197342,0.3114315270996075
4,4,-9949.844261528591,2984.953274251276,0.3190177451321414
5,5,-9950.459086195484,-2985.136724441458,-0.2281346104386176
6,6,-9950.459104333018,-2985.137730574663,-0.2478959994498255
7,7,-9950.382389139437,-2238.22294808668,-0.1804261461828439
