step,id,x,y,z,normal_x,normal_y,normal_z,gap,pressure
1,12,0.99,0.1500000014901161,0.1400000014901161,160.0000000000002,0,0,-0.009999999999999997,1000.000000000001
1,15,0.99,0.9499999761581421,0.1400000014901161,160.0000000000001,0,0,-0.009999999999999997,1000.000000000001
1,16,0.99,0.1500000014901161,0.9399999761581421,160.0000000000007,0,0,-0.01000000000000006,1000.000000000004
1,19,0.99,0.9499999761581421,0.9399999761581421,160.0000000000005,0,0,-0.01000000000000003,1000.000000000003
2,12,0.99,1.050000001490116,0.3000000014901161,160.0000000000003,0,0,-0.01000000000000001,1000.000000000002
2,15,0.99,1.849999976158142,0.3000000014901161,160.0000000000001,0,0,-0.01000000000000001,1000.000000000001
2,16,0.99,1.050000001490116,1.099999976158142,160.0000000000006,0,0,-0.01000000000000007,1000.000000000004
2,19,0.99,1.849999976158142,1.099999976158142,160.0000000000002,0,0,-0.009999999999999995,1000.000000000001
3,12,1.02,1.050000001490116,0.3000000014901161,0,0,0,0.01999999999999976,0
3,15,1.02,1.849999976158142,0.3000000014901161,0,0,0,0.01999999999999981,0
3,16,1.02,1.050000001490116,1.099999976158142,0,0,0,0.01999999999999982,0
3,19,1.02,1.849999976158142,1.099999976158142,0,0,0,0.01999999999999981,0
4,12,1.02,0.1500000014901162,0.5000000014901161,0,0,0,0.02000000000000002,0
4,15,1.02,0.9499999761581421,0.5000000014901161,0,0,0,0.02000000000000003,0
4,16,1.02,0.1500000014901162,1.299999976158142,0,0,0,0.02000000000000005,0
4,19,1.02,0.9499999761581421,1.299999976158142,0,0,0,0.02000000000000003,0
5,12,0.99,0.1500000014901161,0.5000000014901161,160.0000000000004,0,0,-0.01000000000000002,1000.000000000002
5,15,0.99,0.9499999761581421,0.5000000014901161,160.0000000000003,0,0,-0.009999999999999985,1000.000000000002
5,16,0.99,0.1500000014901161,1.299999976158142,160.0000000000007,0,0,-0.01000000000000006,1000.000000000004
5,19,0.99,0.9499999761581421,1.299999976158142,160.0000000000004,0,0,-0.01000000000000001,1000.000000000002
6,12,0.99,2.300000001490116,0.5000000014901161,0,0,0,-3.402823466385289e+38,0
6,15,0.99,3.099999976158142,0.5000000014901161,0,0,0,-3.402823466385289e+38,0
6,16,0.99,2.300000001490116,1.299999976158142,0,0,0,-3.402823466385289e+38,0
6,19,0.99,3.099999976158142,1.299999976158142,0,0,0,-3.402823466385289e+38,0
