normal_displacement,normal_x,normal_y,normal_z,id,x,y,z
0,1,0,0,0,0,0,0
-4.974490932843733e-06,1,0,0,1,1,0,0
-4.979355627876592e-06,1,0,0,2,1,0.5,0
0,1,0,0,3,0,0.5,0
0,1,0,0,4,0,0,0.5
-4.970872703119625e-06,1,0,0,5,1,0,0.5
-4.975737454557887e-06,1,0,0,6,1,0.5,0.5
0,1,0,0,7,0,0.5,0.5
-4.974462310888901e-06,1,0,0,8,1,1,0
0,1,0,0,9,0,1,0
-4.970843291648652e-06,1,0,0,10,1,1,0.5
0,1,0,0,11,0,1,0.5
0,1,0,0,12,0,0,1
-4.974534745998034e-06,1,0,0,13,1,0,1
-4.97941357348419e-06,1,0,0,14,1,0.5,1
0,1,0,0,15,0,0.5,1
-4.974506004235988e-06,1,0,0,16,1,1,1
0,1,0,0,17,0,1,1
-5.024308234245295e-06,1,0,0,18,1,0,0
-1e-05,1,0,0,19,2,0,0
-1e-05,1,0,0,20,2,0.28,0
-5.027343322282317e-06,1,0,0,21,1,0.28,0
-5.020966868124931e-06,1,0,0,22,1,0,0.43
-1e-05,1,0,0,23,2,0,0.43
-1e-05,1,0,0,24,2,0.28,0.43
-5.02399431029812e-06,1,0,0,25,1,0.28,0.43
-1e-05,1,0,0,26,2,0.67,0
-5.027953888070865e-06,1,0,0,27,1,0.67,0
-1e-05,1,0,0,28,2,0.67,0.43
-5.024606814466804e-06,1,0,0,29,1,0.67,0.43
-1e-05,1,0,0,30,2,1,0
-5.024220170713854e-06,1,0,0,31,1,1,0
-1e-05,1,0,0,32,2,1,0.43
-5.020875171599953e-06,1,0,0,33,1,1,0.43
-5.024057005505168e-06,1,0,0,34,1,0,1
-1e-05,1,0,0,35,2,0,1
-1e-05,1,0,0,36,2,0.28,1
-5.027103129737428e-06,1,0,0,37,1,0.28,1
-1e-05,1,0,0,38,2,0.67,1
-5.027715480420649e-06,1,0,0,39,1,0.67,1
-1e-05,1,0,0,40,2,1,1
-5.023968739252731e-06,1,0,0,41,1,1,1
