id,x,y,z,displacement_x,displacement_y,displacement_z
1,0,-0.10000000000000001,-0.10000000000000001,0,0,0
2,0.25,-0.10000000000000001,-0.10000000000000001,-0.0002499852178477482,-0.0001263085347328877,-0.0001260926084760968
3,0.5,-0.10000000000000001,-0.10000000000000001,-0.0004398350977291815,-0.0001615978643087579,-0.000160339035053985
4,0.75,-0.10000000000000001,-0.10000000000000001,-0.0005829518325042479,-0.0001616692420616851,-0.000158510711532524
5,1,-0.10000000000000001,-0.10000000000000001,-0.0006210673849392668,-7.984079707772864e-05,-7.423779912916351e-05
6,0,1.1000000000000001,-0.10000000000000001,0,0,0
7,0.25,1.1000000000000001,-0.10000000000000001,-0.0002596688775084346,0.0001321920544119159,-0.0001306832686823581
8,0.5,1.1000000000000001,-0.10000000000000001,-0.0004579046856250012,0.000174981673586514,-0.0001661671260452787
9,0.75,1.1000000000000001,-0.10000000000000001,-0.0006073990661389303,0.0001865705089647377,-0.0001644390936946273
10,1,1.1000000000000001,-0.10000000000000001,-0.0006491243171961393,0.0001173336045459725,-7.804877233391897e-05
11,0,-0.10000000000000001,1.1000000000000001,0,0,0
12,0.25,-0.10000000000000001,1.1000000000000001,-0.0002628940133845187,-0.0001324284185156654,0.000133935634601011
13,0.5,-0.10000000000000001,1.1000000000000001,-0.0004639222698963353,-0.0001693675514124161,0.0001781802860701717
14,0.75,-0.10000000000000001,1.1000000000000001,-0.0006155392620393129,-0.0001695725165083065,0.000191705099266037
15,1,-0.10000000000000001,1.1000000000000001,-0.0006584637986665473,-8.491902040958912e-05,0.0001242153180439264
16,0,1.1000000000000001,1.1000000000000001,0,0,0
17,0.25,1.1000000000000001,1.1000000000000001,-0.000272577279903671,0.0001383119393440587,0.0001385262461723706
18,0.5,1.1000000000000001,1.1000000000000001,-0.0004819899584768919,0.0001827508993305999,0.0001840078161059226
19,0.75,1.1000000000000001,1.1000000000000001,-0.000639981834657392,0.0001944718521414585,0.0001976314016339661
20,1,1.1000000000000001,1.1000000000000001,-0.0006865122312584615,0.0001224067594751028,0.0001280210244711566
21,1,0,0,-0.001068491915052492,-0.001327818122524436,-0.001327957896615876
22,1.25,0,0,-0.002801921485311928,-0.001768137618260227,-0.001757533504296682
23,1.5,0,0,-0.004524778454716659,-0.001658909476124046,-0.001623077268910328
24,1.75,0,0,-0.00588835541551893,-0.001182749361965367,-0.001114127058482326
25,2,0,0,-0.006328660791411277,0.0003,0.0004
26,1,1,0,-0.001095454292998013,0.001409739409548005,-0.001411080553465144
27,1.25,1,0,-0.002935642142450318,0.001921486459941603,-0.00184711048860699
28,1.5,1,0,-0.004744461518098335,0.001936685852990538,-0.001685358500741487
29,1.75,1,0,-0.006155561803590984,0.001621868155025282,-0.001141378358062878
30,2,1,0,-0.006607124883929944,0.0003,0.0004
31,1,0,1,-0.001104415855603632,-0.001438434937706241,0.001437080232419428
32,1.25,0,1,-0.002979974267351994,-0.001887749197206863,0.001962224572515498
33,1.5,0,1,-0.00481741279243726,-0.001742064640350834,0.001993684589387784
34,1.75,0,1,-0.006244320406315467,-0.001219103605819242,0.001699748433527953
35,2,0,1,-0.006699607439322559,0.0003,0.0004
36,1,1,1,-0.00113135339038654,0.001521151362916298,0.001520880138858527
37,1.25,1,1,-0.003113472733763614,0.002041508158289495,0.00205219813980338
38,1.5,1,1,-0.00503621989405433,0.002020539478335553,0.002056631818560065
39,1.75,1,1,-0.006510465806454611,0.001658534349172487,0.001727311154771518
40,2,1,1,-0.006976878167890345,0.0003,0.0004
41,0.125,-0.10000000000000001,-0.10000000000000001,-0.0001197618160318311,-8.046305152439889e-05,-8.056907998824912e-05
42,0.25,0.5,-0.10000000000000001,-0.0002266123428452043,1.045787219458645e-06,-0.0001279397192033788
43,0.125,1.1000000000000001,-0.10000000000000001,-0.0001244868369747272,8.291732703194259e-05,-8.366215527163958e-05
44,0,0.5,-0.10000000000000001,0,0,0
45,0,-0.10000000000000001,0.5,0,0,0
46,0.25,-0.10000000000000001,0.5,-0.0002281405103999659,-0.0001292295186259321,1.394087944505449e-06
47,0.25,1.1000000000000001,0.5,-0.0002373203910345716,0.0001369745852749326,1.394152530479742e-06
48,0,1.1000000000000001,0.5,0,0,0
49,0.125,-0.10000000000000001,1.1000000000000001,-0.0001260605206818033,-8.458643662534584e-05,8.384074740281359e-05
50,0.25,0.5,1.1000000000000001,-0.0002388497982515077,1.045876761269478e-06,0.0001382643553716244
51,0.125,1.1000000000000001,1.1000000000000001,-0.000130785508589131,8.704073592401494e-05,8.693382159417095e-05
52,0,0.5,1.1000000000000001,0,0,0
