stage,time_s,element,integration_point,x_m,y_m,z_m,temperature_k,s11_pa,s22_pa,s33_pa,s12_pa,s13_pa,s23_pa,e11,e22,e33,e12_engineering,e13_engineering,e23_engineering,ee11,ee22,ee33,ee12_engineering,ee13_engineering,ee23_engineering,pe11,pe22,pe33,pe12_engineering,pe13_engineering,pe23_engineering,peeq,ivol_m3
1,0.1,1,1,0.5,0.5,0.5,600,100000000,3.725290298461914e-09,0,-5.212510444641848e-10,-1.04250208892837e-09,1.04250208892837e-09,0.0005,-0.00015,-0.00015,-6.776263578034403e-21,-1.355252715606881e-20,1.355252715606881e-20,0.0005,-0.00015,-0.00015,-6.776263578034403e-21,-1.355252715606881e-20,1.355252715606881e-20,0,0,0,0,0,0,0,1
2,0.2,1,1,0.5,0.5,0.5,600,201980198.0198026,1.490116119384766e-07,1.341104507446289e-07,-1.222892577776912e-09,-2.445785155553824e-09,-3.424099217775354e-09,0.002,-0.0007980198019801974,-0.0007980198019801974,-3.388131789017201e-20,-6.776263578034403e-20,-9.486769009248164e-20,0.001009900990099012,-0.0003029702970297033,-0.0003029702970297033,-1.589760351109986e-20,-3.179520702219971e-20,-4.45132898310796e-20,0.0009900990099009877,-0.0004950495049504941,-0.0004950495049504941,-1.798371437907216e-20,-3.596742875814431e-20,-5.035440026140204e-20,0.0009900990099012098,1
3,0.3,1,1,0.5,0.5,0.5,600,205940594.0594062,-1.788139343261719e-07,-1.192092895507812e-07,4.801942652239001e-09,-7.59811932515803e-10,-3.654661014770575e-09,0.004,-0.001794059405940594,-0.001794059405940594,1.829591166069289e-19,-6.776263578034403e-20,-2.032879073410321e-19,0.001029702970297032,-0.0003089108910891102,-0.0003089108910891097,6.242525447910701e-20,-9.877555122705439e-21,-4.751059319201747e-20,0.002970297029702969,-0.001485148514851484,-0.001485148514851484,1.205338621278219e-19,-5.788508065763858e-20,-1.557773141490146e-19,0.002970297029703191,1
4,0.4,1,1,0.5,0.5,0.5,600,-194059405.9405936,-7.450580596923828e-09,-1.490116119384766e-08,2.716938474382261e-09,5.495200601054415e-09,8.855364052369861e-09,0.002,-0.001194059405940594,-0.001194059405940594,1.558540622947913e-19,1.355252715606881e-20,-4.065758146820642e-20,-0.0009702970297029681,0.0002910891089108904,0.0002910891089108904,3.53202001669694e-20,7.143760781370739e-20,1.151197326808082e-19,0.002970297029702969,-0.001485148514851484,-0.001485148514851484,1.205338621278219e-19,-5.788508065763858e-20,-1.557773141490146e-19,0.002970297029703191,1
5,0.5,1,1,0.5,0.5,0.5,600,-209783354.5730815,-1.490116119384766e-07,-1.490116119384766e-07,-4.484568245976473e-09,4.443497409757941e-09,2.844103301049759e-09,0,-0.0002097833545730817,-0.0002097833545730817,-6.098637220230962e-20,1.219727444046192e-19,-4.065758146820642e-20,-0.001048916772865408,0.000314675031859622,0.000314675031859622,-5.829938719769417e-20,5.77654663268532e-20,3.697334291364686e-20,0.001048916772865408,-0.0005244583864327037,-0.0005244583864327037,-2.686985004615452e-21,6.420727807776606e-20,-7.763092438185327e-20,0.004891677286540752,1
6,0.6000000000000001,1,1,0.5,0.5,0.5,600,-213743750.6126854,2.980232238769531e-08,0,3.886470540643305e-09,1.416060931664338e-09,3.564173430130637e-09,-0.002,0.0007862562493873152,0.0007862562493873146,1.558540622947913e-19,1.219727444046192e-19,6.776263578034403e-20,-0.001068718753063428,0.0003206156259190284,0.0003206156259190284,5.052411702836295e-20,1.84087921116364e-20,4.633425459169824e-20,-0.0009312812469365718,0.0004656406234682867,0.0004656406234682862,1.053299452664283e-19,1.035639522929829e-19,2.142838118864579e-20,0.006871875306342732,1
7,0.7000000000000001,1,1,0.5,0.5,0.5,600,-217704146.6522895,1.192092895507812e-07,5.960464477539062e-08,-1.437074824399942e-09,1.802518539699306e-09,2.495673673416396e-09,-0.004,0.001782295853347711,0.00178229585334771,4.743384504624082e-20,1.761828530288945e-19,1.219727444046192e-19,-0.001088520733261448,0.0003265562199784348,0.0003265562199784343,-1.868197271719925e-20,2.343274101609099e-20,3.244375775441314e-20,-0.002911479266738552,0.001455739633369276,0.001455739633369276,6.611581776344006e-20,1.527501120128035e-19,8.952898665020611e-20,0.008852073326144712,1
8,0.8,1,1,0.5,0.5,0.5,600,219333767.51066,5.21540641784668e-08,6.705522537231445e-08,1.471461092703532e-09,3.215717049474441e-09,3.588924373687039e-09,-0.001,0.0007193337675106607,0.00071933376751066,1.01643953670516e-19,2.303929616531697e-19,1.761828530288945e-19,0.0010966688375533,-0.0003290006512659898,-0.0003290006512659898,1.912899420514591e-20,4.180432164316774e-20,4.665601685793151e-20,-0.0020966688375533,0.00104833441877665,0.00104833441877665,8.251495946537012e-20,1.88588640010002e-19,1.29526836170963e-19,0.009666883755329965,1
9,0.9,1,1,0.5,0.5,0.5,600,227254559.5898678,1.192092895507812e-07,-1.192092895507812e-07,-6.350228862144069e-09,-2.681255214026344e-09,1.23403825808984e-08,0.003,-0.001272745440410133,-0.001272745440410133,-3.320369153236857e-19,1.355252715606881e-20,9.351243737687476e-19,0.001136272797949339,-0.0003408818393848012,-0.0003408818393848025,-8.255297520787291e-20,-3.485631778234248e-20,1.604249735516793e-19,0.001863727202050661,-0.0009318636010253317,-0.0009318636010253304,-2.494839401158128e-19,4.840884493841131e-20,7.746994002170683e-19,0.01362727979493393,1
10,1,1,1,0.5,0.5,0.5,600,-228695063.3603655,-4.470348358154297e-08,-4.470348358154297e-08,-6.09238654270725e-09,8.106848373061033e-09,2.316656429353457e-09,0,-0.0002286950633603668,-0.0002286950633603655,-3.86247023947961e-19,2.303929616531697e-19,8.267041565201971e-19,-0.001143475316801828,0.0003430425950405482,0.0003430425950405482,-7.920102505519426e-20,1.053890288497934e-19,3.011653358159497e-20,0.001143475316801828,-0.0005717376584009153,-0.0005717376584009138,-3.070459988927667e-19,1.250039328033763e-19,7.965876229386022e-19,0.01434753168018276,1
