id,x,y,z,gap,pressure,normal_x,normal_y,normal_z,shear_x,shear_y,shear_z
21,1,0,0,-0.0001567728067682701,166718.3137020845,-15031.54961304784,5.492871239951404,5.492871239950443,0,0,0
26,1,1,0,-0.0001567728067682885,166718.313702093,-15031.54961304762,-5.49287123995342,5.492871239951355,0,0,0
31,1,0,1,-0.000156772806768409,166718.3137020968,-15031.54961304753,5.492871239952581,-5.492871239956793,0,0,0
36,1,1,1,-0.0001567728067684405,166718.3137020983,-15031.54961304747,-5.492871239957861,-5.49287123995706,0,0,0
80,1,0.5,0,-0.0001766638206359616,166718.3137020887,58781.54961304826,4.970325907167515e-12,22.906996540698,0,0,0
81,1,0,0.5,-0.0001766638206359591,166718.3137020906,58781.54961304813,22.90699654069593,1.103206415109526e-11,0,0,0
84,1,1,0.5,-0.0001766638206359703,166718.3137020956,58781.54961304794,-22.90699654068514,7.154277170684509e-12,0,0,0
88,1,0.5,1,-0.0001766638206360261,166718.3137020975,58781.54961304778,1.508815289206561e-12,-22.90699654067793,0,0,0
