step,node,temperature_k,ux_m,uy_m,uz_m,rfl_w,rf_x_n,rf_y_n,rf_z_n
BASE,1,360,-1.4545e-28,-1.471388888888889e-28,-1.468351851851852e-28,-172.3540177418179,178712723.3719209,180293168.916977,179997958.8381963
BASE,2,410,0.00012,-2e-05,3e-05,-84.75700165086872,-179731575.4222236,180504671.014588,179698507.9798807
BASE,3,445,0.00017,9.000000000000001e-05,-4e-05,23.79829630361169,-177322178.6738299,-180747840.4848209,180143132.1662507
BASE,4,385,-4e-05,0.00011,2e-05,-126.1233885360589,177817457.6055296,-180747416.4100257,180171216.1804423
BASE,5,470,3e-05,-5e-05,0.00014,51.97267319626964,178408966.754844,179146296.5812421,-179798384.7909493
BASE,6,430,0.0001,4e-05,0.0001,29.44617289134695,-180449825.5277163,182236798.007085,-180595498.9904092
BASE,7,515,0.00023,0.00016,0.00018,203.2708128646925,-175528759.7430672,-178933917.713677,-178722568.0371192
BASE,8,455,-8.000000000000001e-05,6.999999999999999e-05,0.00011,74.74645267282473,178093191.6345424,-181751759.9113685,-180894363.3462923
D00_PLUS,1,360.001,-2.11718286652192e-34,-2.113570824445168e-34,-2.116136422342936e-34,-172.3524767275864,178712934.8188031,180293380.0500153,179998170.2042373
D00_PLUS,2,410,0.00012,-2e-05,3e-05,-84.75697253607525,-179731786.911557,180504882.4585406,179698719.2946692
D00_PLUS,3,445,0.00017,9.000000000000001e-05,-4e-05,23.79789161320252,-177322390.0648709,-180748051.8424575,180143343.5725872
D00_PLUS,4,385,-4e-05,0.00011,2e-05,-126.1233632340301,177817669.1335765,-180747627.7746918,180171427.6844077
D00_PLUS,5,470,3e-05,-5e-05,0.00014,51.97273220867352,178409178.0912939,179146508.0227745,-179798596.1970213
D00_PLUS,6,430,0.0001,4e-05,0.0001,29.44576823254694,-180450036.9700956,182237009.4480308,-180595710.4104786
D00_PLUS,7,515,0.00023,0.00016,0.00018,203.2703762420086,-175528971.1444815,-178934129.0925583,-178722779.4327294
D00_PLUS,8,455,-8.000000000000001e-05,6.999999999999999e-05,0.00011,74.74604420126009,178093403.0473315,-181751971.2696536,-180894574.715672
D00_MINUS,1,359.999,4.234366371895689e-34,4.227142288414307e-34,4.23227348362473e-34,-172.3555587531477,178712511.9250925,180292957.7839928,179997747.4722094
D00_MINUS,2,410,0.00012,-2e-05,3e-05,-84.75703076611109,-179731363.9329441,180504459.5706893,179698296.665146
D00_MINUS,3,445,0.00017,9.000000000000001e-05,-4e-05,23.79870099357199,-177321967.2828428,-180747629.1272383,180142920.7599682
D00_MINUS,4,385,-4e-05,0.00011,2e-05,-126.1234138385367,177817246.0775367,-180747205.0454136,180171004.6765311
D00_MINUS,5,470,3e-05,-5e-05,0.00014,51.97261418341694,178408755.4184481,179146085.1397636,-179798173.3849315
D00_MINUS,6,430,0.0001,4e-05,0.0001,29.44657754969797,-180449614.0853909,182236586.5661931,-180595287.5703937
D00_MINUS,7,515,0.00023,0.00016,0.00018,203.2712494871683,-175528548.3417068,-178933706.3348496,-178722356.641563
D00_MINUS,8,455,-8.000000000000001e-05,6.999999999999999e-05,0.00011,74.74686114394039,178092980.2218073,-181751548.5531374,-180894151.9769666
D01_PLUS,1,360,-4.222628875828301e-34,-4.218510362537704e-34,-4.219597439818703e-34,-172.3540412917248,178712934.8361976,180293380.3697247,179998170.1456679
D01_PLUS,2,410.001,0.00012,-2e-05,3e-05,-84.75532570877922,-179731786.660288,180504882.1479692,179698719.217604
D01_PLUS,3,445,0.00017,9.000000000000001e-05,-4e-05,23.79832424720133,-177322390.1546273,-180748051.7700381,180143343.3993458
D01_PLUS,4,385,-4e-05,0.00011,2e-05,-126.1238029121912,177817668.8937013,-180747627.6502185,180171427.4672825
D01_PLUS,5,470,3e-05,-5e-05,0.00014,51.97224360068823,178409178.0894337,179146507.9070089,-179798596.0591007
D01_PLUS,6,430,0.0001,4e-05,0.0001,29.44621929425308,-180450036.8352792,182237009.2122216,-180595710.206734
D01_PLUS,7,515,0.00023,0.00016,0.00018,203.2703722163286,-175528971.096279,-178934129.0202169,-178722779.3251995
D01_PLUS,8,455,-8.000000000000001e-05,6.999999999999999e-05,0.00011,74.74601055422394,178093402.9271408,-181751971.1964509,-180894574.6388661
D01_MINUS,1,360,4.210894403808865e-34,4.209881461313572e-34,4.206924420119142e-34,-172.3539941923598,178712511.9076976,180292957.4642829,179997747.5307783
D01_MINUS,2,409.999,0.00012,-2e-05,3e-05,-84.75867759005655,-179731364.1842127,180504459.8812602,179698296.7422108
D01_MINUS,3,445,0.00017,9.000000000000001e-05,-4e-05,23.79826835957312,-177321967.193086,-180747629.1996573,180142920.9332091
D01_MINUS,4,385,-4e-05,0.00011,2e-05,-126.1229741603757,177817246.3174115,-180747205.1698864,180171004.8936557
D01_MINUS,5,470,3e-05,-5e-05,0.00014,51.97310279140224,178408755.4203078,179146085.2555288,-179798173.5228517
D01_MINUS,6,430,0.0001,4e-05,0.0001,29.44612648799186,-180449614.2202069,182236586.8020018,-180595287.7741379
D01_MINUS,7,515,0.00023,0.00016,0.00018,203.2712535126077,-175528548.3899088,-178933706.4071906,-178722356.7490924
D01_MINUS,8,455,-8.000000000000001e-05,6.999999999999999e-05,0.00011,74.74689479121707,178092980.3419975,-181751548.6263396,-180894152.0537719
D02_PLUS,1,360,-4.200892147811053e-34,-4.198111087107219e-34,-4.197674212745399e-34,-172.3544530376415,178712934.7188747,180293380.0902452,179998170.0854978
D02_PLUS,2,410,0.00012,-2e-05,3e-05,-84.75703526354023,-179731786.5631081,180504881.855561,179698719.267965
D02_PLUS,3,445.001,0.00017,9.000000000000001e-05,-4e-05,23.80011606511996,-177322390.3338223,-180748051.4509829,180143343.3602972
D02_PLUS,4,385,-4e-05,0.00011,2e-05,-126.1234259614951,177817669.0947066,-180747627.3649989,180171427.4229002
D02_PLUS,5,470,3e-05,-5e-05,0.00014,51.97222673828605,178409178.0084732,179146507.7850564,-179798596.0111251
D02_PLUS,6,430,0.0001,4e-05,0.0001,29.44572047392651,-180450036.7355756,182237009.1074575,-180595710.2125131
D02_PLUS,7,515,0.00023,0.00016,0.00018,203.2708545427046,-175528971.1103748,-178934128.9406999,-178722779.3323999
D02_PLUS,8,455,-8.000000000000001e-05,6.999999999999999e-05,0.00011,74.74599644263972,178093402.9208264,-181751971.0816386,-180894574.5806219
D02_MINUS,1,360,4.19089282005053e-34,4.1863436403578e-34,4.188426933780655e-34,-172.3535824464431,178712512.0250201,180292957.7437621,179997747.5909481
D02_MINUS,2,410,0.00012,-2e-05,3e-05,-84.75696803864608,-179731364.2813922,180504460.173668,179698296.6918494
D02_MINUS,3,444.999,0.00017,9.000000000000001e-05,-4e-05,23.79647654500518,-177321967.0138905,-180747629.518712,180142920.9722573
D02_MINUS,4,385,-4e-05,0.00011,2e-05,-126.1233511110717,177817246.1164058,-180747205.4551057,180171004.9380377
D02_MINUS,5,470,3e-05,-5e-05,0.00014,51.97311965404493,178408755.501268,179146085.3774809,-179798173.5708268
D02_MINUS,6,430,0.0001,4e-05,0.0001,29.44662530831835,-180449614.3199102,182236586.9067655,-180595287.7683583
D02_MINUS,7,515,0.00023,0.00016,0.00018,203.2707711862316,-175528548.3758126,-178933706.4867072,-178722356.7418915
D02_MINUS,8,455,-8.000000000000001e-05,6.999999999999999e-05,0.00011,74.74690890256075,178092980.3483116,-181751548.7411515,-180894152.1120158
D03_PLUS,1,360,-4.205690279258083e-34,-4.199666893924791e-34,-4.202553880129333e-34,-172.3540286737574,178712934.7106503,180293379.9838985,179998170.0347602
D03_PLUS,2,410,0.00012,-2e-05,3e-05,-84.75741162439955,-179731786.917674,180504882.3186089,179698719.3275685
D03_PLUS,3,445,0.00017,9.000000000000001e-05,-4e-05,23.79833686516871,-177322390.4551758,-180748051.6958872,180143343.6007936
D03_PLUS,4,385.001,-4e-05,0.00011,2e-05,-126.1217783168973,177817669.3535506,-180747627.6816014,180171427.2916618
D03_PLUS,5,470,3e-05,-5e-05,0.00014,51.97225181605414,178409178.1406251,179146507.8776358,-179798596.1157694
D03_PLUS,6,430,0.0001,4e-05,0.0001,29.44573399567402,-180450036.904568,182237009.3497294,-180595710.3215406
D03_PLUS,7,515,0.00023,0.00016,0.00018,203.2703804316945,-175528971.1671241,-178934129.0014845,-178722779.2981728
D03_PLUS,8,455,-8.000000000000001e-05,6.999999999999999e-05,0.00011,74.74651550646281,178093403.2397158,-181751971.1508996,-180894574.5193014
D03_MINUS,1,360,4.220490672333361e-34,4.212993081081515e-34,4.216683760412315e-34,-172.3540068103272,178712512.033245,180292957.8501092,179997747.6416861
D03_MINUS,2,410,0.00012,-2e-05,3e-05,-84.75659167778679,-179731363.9268267,180504459.7106205,179698296.6322462
D03_MINUS,3,445,0.00017,9.000000000000001e-05,-4e-05,23.79825574160574,-177321966.8925374,-180747629.2738082,180142920.7317612
D03_MINUS,4,384.999,-4e-05,0.00011,2e-05,-126.1249987523189,177817245.8575621,-180747205.1385036,180171005.0692765
D03_MINUS,5,470,3e-05,-5e-05,0.00014,51.97309457603625,178408755.3691165,179146085.2849019,-179798173.466183
D03_MINUS,6,430,0.0001,4e-05,0.0001,29.44661178681147,-180449614.1509182,182236586.664494,-180595287.6593313
D03_MINUS,7,515,0.00023,0.00016,0.00018,203.2712452972417,-175528548.3190637,-178933706.425923,-178722356.7761191
D03_MINUS,8,455,-8.000000000000001e-05,6.999999999999999e-05,0.00011,74.74638983873764,178092980.0294224,-181751548.6718909,-180894152.1733367
D04_PLUS,1,360,-4.197481303999904e-34,-4.192506606080016e-34,-4.19521985056611e-34,-172.3540822505873,178712934.5597983,180293379.9861764,179998169.98838
D04_PLUS,2,410,0.00012,-2e-05,3e-05,-84.75745023238485,-179731786.5895419,180504882.136684,179698719.1417144
D04_PLUS,3,445,0.00017,9.000000000000001e-05,-4e-05,23.79784705449071,-177322389.8457636,-180748051.6609926,180143343.3412523
D04_PLUS,4,385,-4e-05,0.00011,2e-05,-126.1238333048104,177817668.7594254,-180747627.5931604,180171427.3783138
