mode	element	hot_node	point	stress_pa	inferred_temperature_k	arithmetic_temperature_k	volume_temperature_k	arithmetic_difference_k	volume_difference_k
small	CAX4T	1	1	-500.0	625.0	625.0	622.2720925593457	0.0	2.7279074406543486
small	CAX4T	1	2	-500.0	625.0	625.0	622.2720925593457	0.0	2.7279074406543486
small	CAX4T	1	3	-500.0	625.0	625.0	622.2720925593457	0.0	2.7279074406543486
small	CAX4T	1	4	-500.0	625.0	625.0	622.2720925593457	0.0	2.7279074406543486
small	CAX4RT	1	1	-445.441851186914	622.2720925593457	625.0	622.2720925593457	-2.7279074406543486	0.0
small	CAX4T	2	1	-500.0	625.0	625.0	629.2364851386395	0.0	-4.236485138639523
small	CAX4T	2	2	-500.0	625.0	625.0	629.2364851386395	0.0	-4.236485138639523
small	CAX4T	2	3	-500.0	625.0	625.0	629.2364851386395	0.0	-4.236485138639523
small	CAX4T	2	4	-500.0	625.0	625.0	629.2364851386395	0.0	-4.236485138639523
small	CAX4RT	2	1	-584.7297027727907	629.2364851386395	625.0	629.2364851386395	4.236485138639523	0.0
small	CAX4T	3	1	-500.0	625.0	625.0	627.5408936764412	0.0	-2.5408936764412147
small	CAX4T	3	2	-500.0	625.0	625.0	627.5408936764412	0.0	-2.5408936764412147
small	CAX4T	3	3	-500.0	625.0	625.0	627.5408936764412	0.0	-2.5408936764412147
small	CAX4T	3	4	-500.0	625.0	625.0	627.5408936764412	0.0	-2.5408936764412147
small	CAX4RT	3	1	-550.8178735288249	627.5408936764412	625.0	627.5408936764412	2.5408936764412147	0.0
small	CAX4T	4	1	-500.0	625.0	625.0	620.9505286255735	0.0	4.049471374426503
small	CAX4T	4	2	-500.0	625.0	625.0	620.9505286255735	0.0	4.049471374426503
small	CAX4T	4	3	-500.0	625.0	625.0	620.9505286255735	0.0	4.049471374426503
small	CAX4T	4	4	-500.0	625.0	625.0	620.9505286255735	0.0	4.049471374426503
small	CAX4RT	4	1	-419.01057251147023	620.9505286255735	625.0	620.9505286255735	-4.049471374426503	0.0
finite	CAX4T	1	1	-500.0	625.0	625.0	622.2720925593457	0.0	2.7279074406543486
finite	CAX4T	1	2	-500.0	625.0	625.0	622.2720925593457	0.0	2.7279074406543486
finite	CAX4T	1	3	-500.0	625.0	625.0	622.2720925593457	0.0	2.7279074406543486
finite	CAX4T	1	4	-500.0	625.0	625.0	622.2720925593457	0.0	2.7279074406543486
finite	CAX4RT	1	1	-445.441851186914	622.2720925593457	625.0	622.2720925593457	-2.7279074406543486	0.0
finite	CAX4T	2	1	-500.0	625.0	625.0	629.2364851386395	0.0	-4.236485138639523
finite	CAX4T	2	2	-500.0	625.0	625.0	629.2364851386395	0.0	-4.236485138639523
finite	CAX4T	2	3	-500.0	625.0	625.0	629.2364851386395	0.0	-4.236485138639523
finite	CAX4T	2	4	-500.0	625.0	625.0	629.2364851386395	0.0	-4.236485138639523
finite	CAX4RT	2	1	-584.7297027727907	629.2364851386395	625.0	629.2364851386395	4.236485138639523	0.0
finite	CAX4T	3	1	-500.0	625.0	625.0	627.5408936764412	0.0	-2.5408936764412147
finite	CAX4T	3	2	-500.0	625.0	625.0	627.5408936764412	0.0	-2.5408936764412147
finite	CAX4T	3	3	-500.0	625.0	625.0	627.5408936764412	0.0	-2.5408936764412147
finite	CAX4T	3	4	-500.0	625.0	625.0	627.5408936764412	0.0	-2.5408936764412147
finite	CAX4RT	3	1	-550.8178735288249	627.5408936764412	625.0	627.5408936764412	2.5408936764412147	0.0
finite	CAX4T	4	1	-500.0	625.0	625.0	620.9505286255735	0.0	4.049471374426503
finite	CAX4T	4	2	-500.0	625.0	625.0	620.9505286255735	0.0	4.049471374426503
finite	CAX4T	4	3	-500.0	625.0	625.0	620.9505286255735	0.0	4.049471374426503
finite	CAX4T	4	4	-500.0	625.0	625.0	620.9505286255735	0.0	4.049471374426503
finite	CAX4RT	4	1	-419.01057251147023	620.9505286255735	625.0	620.9505286255735	-4.049471374426503	0.0
