T,contact_pressure,disp_x,disp_y,id,nodal_area,penetration,x,y,z
800,80494673.710842,0,1.6101592224498e-06,11,1.0471975511966e-06,8.0494673710842e-07,0,0.001,0
800,101592212.42037,2.1478055670493e-06,1.4882828661595e-06,10,6.2831853071796e-06,1.0159221242037e-06,0.001,0.001,0
800,94752180.044401,4.2970128283104e-06,1.5284043633939e-06,12,1.2566370614359e-05,9.4752180044401e-07,0.002,0.001,0
800,104105343.16326,6.4451481139746e-06,1.474244075675e-06,13,1.8849555921539e-05,1.0410534316326e-06,0.003,0.001,0
800,97536938.253138,8.5852713395043e-06,1.51942165981e-06,14,1.1519173063163e-05,9.7536938253138e-07,0.004,0.001,0
