T,id,x,y,z
300,0,0,-0.0001,-0.0001
348.78048780488,1,0.01,-0.0001,-0.0001
348.78048780488,2,0.01,0.0101,-0.0001
300,3,0,0.0101,-0.0001
300,4,0,-0.0001,0.0101
348.78048780488,5,0.01,-0.0001,0.0101
348.78048780488,6,0.01,0.0101,0.0101
300,7,0,0.0101,0.0101
351.21951219512,20,0.009999,0,0
400,21,0.019999,0,0
400,22,0.019999,0.01,0
351.21951219512,23,0.009999,0.01,0
351.21951219512,24,0.009999,0,0.01
400,25,0.019999,0,0.01
400,26,0.019999,0.01,0.01
351.21951219512,27,0.009999,0.01,0.01
