disp_x,disp_y,disp_z,id,x,y,z
0,0,0,0,0,0,0
0.001,0,0,1,1,0,0
0.001,-0.00025,0,2,1,1,0
0,-0.00025,0,3,0,1,0
0,0,-0.00025,4,0,0,1
0.001,0,-0.00025,5,1,0,1
0.001,-0.00025,-0.00025,6,1,1,1
0,-0.00025,-0.00025,7,0,1,1
0.0005,0,0,8,0.5,0,0
0.001,-0.000125,0,9,1,0.5,0
0.0005,-0.00025,0,10,0.5,1,0
0,-0.000125,0,11,0,0.5,0
0,0,-0.000125,12,0,0,0.5
0.001,0,-0.000125,13,1,0,0.5
0.001,-0.00025,-0.000125,14,1,1,0.5
0,-0.00025,-0.000125,15,0,1,0.5
0.0005,0,-0.00025,16,0.5,0,1
0.001,-0.000125,-0.00025,17,1,0.5,1
0.0005,-0.00025,-0.00025,18,0.5,1,1
0,-0.000125,-0.00025,19,0,0.5,1
