T,contact_pressure,disp_x,disp_y,id,nodal_area,penetration,x,y,z
614.75678932785,2547100.2219749,3.2938066712835e-06,0,80,1.2963219806034e-05,2.5471002219749e-08,0.00412,0,0
614.7567907627,2545172.8286605,3.2921896175736e-06,8.2047607999374e-07,81,2.5926433903815e-05,2.5451728286605e-08,0.00412,0.001,0
614.75680452756,2532649.501616,3.2865207793978e-06,1.6413360325354e-06,122,2.5926399104777e-05,2.532649501616e-08,0.00412,0.002,0
614.75686505371,2507500.351635,3.2742433934392e-06,2.461924938649e-06,163,2.59262730345e-05,2.507500351635e-08,0.00412,0.003,0
614.75704968055,2465844.2361049,3.2513986552444e-06,3.2787576711448e-06,204,2.5925923293874e-05,2.4658442361049e-08,0.00412,0.004,0
614.75750803533,2413364.3996226,3.2141740355603e-06,4.0821525212099e-06,245,2.5925108184125e-05,2.4133643996226e-08,0.00412,0.005,0
614.75851403288,2413608.4076008,3.1638970790938e-06,4.850314891105e-06,286,2.5923445447427e-05,2.4136084076008e-08,0.00412,0.006,0
614.76047220474,2557256.2070568,3.1208695523438e-06,5.5405631076993e-06,327,2.5920479951721e-05,2.5572562070568e-08,0.00412,0.007,0
614.76361287686,2243329.5849293,3.1552584861937e-06,6.0815878499419e-06,368,2.5916100209662e-05,2.2433295849293e-08,0.00412,0.008,0
614.76653598035,1643992.4525044,3.442269576363e-06,6.3832187523782e-06,409,2.5912503608822e-05,1.6439924525044e-08,0.00412,0.009,0
614.76745437404,6029728.9198301,4.1918841636911e-06,6.4743885663936e-06,450,1.2956218103976e-05,6.0297289198301e-08,0.00412,0.01,0
