T,contact_pressure,disp_x,disp_y,id,nodal_area,penetration,x,y,z
614.75941114744,3287618.4229849,3.3029270734169e-06,0,80,1.296297000844e-05,3.2876184229868e-08,0.00412,0,0
614.75915572053,3149291.6772288,3.3028215602924e-06,7.9564846109083e-07,81,2.592603766783e-05,3.1492916772691e-08,0.00412,0.001,0
614.7587903681,2953263.2466941,3.2988162784236e-06,1.6004831566985e-06,122,2.5926137304734e-05,2.9532632466321e-08,0.00412,0.002,0
614.7586069282,2860947.0781319,3.2861865960089e-06,2.4077169763946e-06,163,2.5926062050748e-05,2.860947078224e-08,0.00412,0.003,0
614.75854678663,2773126.6375553,3.2620390025712e-06,3.2131873674377e-06,204,2.5925746057707e-05,2.773126637583e-08,0.00412,0.004,0
614.75876548978,2672323.0328555,3.2230309919342e-06,4.0068655795388e-06,245,2.5924953187415e-05,2.6723230328508e-08,0.00412,0.005,0
614.75954681189,2624154.6162325,3.1708157101937e-06,4.7665396132412e-06,286,2.5923302123228e-05,2.6241546162225e-08,0.00412,0.006,0
614.76127915256,2708814.2832588,3.1262473498714e-06,5.4490843423052e-06,327,2.5920350452412e-05,2.7088142832189e-08,0.00412,0.007,0
614.76421786025,2369271.38962,3.1601093876634e-06,5.9835579059421e-06,368,2.5915972439117e-05,2.3692713895583e-08,0.00412,0.008,0
614.76712116846,1760849.7505802,3.4488554337356e-06,6.2778553927968e-06,409,2.591229716119e-05,1.7608497505899e-08,0.00412,0.009,0
614.7681076665,5617608.2555511,4.2163732808806e-06,6.3544229196616e-06,450,1.2956095161644e-05,5.6176082554381e-08,0.00412,0.01,0
