disp_x,disp_y,disp_z,id,x,y,z
0,0,0,0,0,0,0
0.004,0,0,1,1,0,0
0.004,-0.0016620073367529,0,2,1,1,0
0,-0.0016620073366281,0,3,0,1,0
0,0,-0.0016620073366281,4,0,0,1
0.004,0,-0.0016620073367529,5,1,0,1
0.004,-0.0016620073367406,-0.0016620073367406,6,1,1,1
0,-0.0016620073366622,-0.0016620073366622,7,0,1,1
0.0019999999999779,0,0,8,0.5,0,0
0.004,-0.00083100366837054,0,9,1,0.5,0
0.001999999999969,-0.0016620073367149,0,10,0.5,1,0
0,-0.00083100366832276,0,11,0,0.5,0
0,0,-0.00083100366832276,12,0,0,0.5
0.004,0,-0.00083100366837054,13,1,0,0.5
0.004,-0.0016620073367447,-0.00083100366836954,14,1,1,0.5
0,-0.001662007336649,-0.00083100366833294,15,0,1,0.5
0.001999999999969,0,-0.0016620073367149,16,0.5,0,1
0.004,-0.00083100366836954,-0.0016620073367447,17,1,0.5,1
0.0019999999999795,-0.001662007336716,-0.001662007336716,18,0.5,1,1
0,-0.00083100366833294,-0.001662007336649,19,0,0.5,1
