disp_x,disp_y,disp_z,id,x,y,z
0,0,0,0,0,0,0
0.001,0,0,1,1,0,0
0.001,0.001,0,2,1,1,0
0,0.001,0,3,0,1,0
0,0,0.001,4,0,0,1
0.001,0,0.001,5,1,0,1
0.001,0.001,0.001,6,1,1,1
0,0.001,0.001,7,0,1,1
0.0005,0,0,8,0.5,0,0
0.001,0.0005,0,9,1,0.5,0
0.0005,0.001,0,10,0.5,1,0
0,0.0005,0,11,0,0.5,0
0,0,0.0005,12,0,0,0.5
0.001,0,0.0005,13,1,0,0.5
0.001,0.001,0.0005,14,1,1,0.5
0,0.001,0.0005,15,0,1,0.5
0.0005,0,0.001,16,0.5,0,1
0.001,0.0005,0.001,17,1,0.5,1
0.0005,0.001,0.001,18,0.5,1,1
0,0.0005,0.001,19,0,0.5,1
