creep_q0,creep_q1,creep_q2,creep_q3,id,plastic_q0,plastic_q1,plastic_q2,plastic_q3,stress_q0,stress_q1,stress_q2,stress_q3,x,y,z
1.176884487059e-06,8.9558893111789e-07,1.1658914440782e-06,8.8620583963796e-07,48,0.00069370675191235,0.00062819344312081,0.00069130714069183,0.00062575221983308,11262590.19402,10269662.848814,11229412.045682,10235754.82656,0.00426375,-0.000875,0
8.0439629805003e-07,6.4124692360204e-07,7.9224900734098e-07,6.3101235487978e-07,49,0.00060378291583497,0.00055417958456935,0.00060043412975115,0.00055089918449569,9963864.9659408,9241983.4569277,9916762.479683,9195917.6997862,0.00454925,-0.000875,0
1.1299263411071e-06,8.7051871911634e-07,1.0988889698529e-06,8.4390906967292e-07,50,0.00068317116637327,0.00062156689093099,0.00067619573220003,0.00061448986074307,11135767.63887,10174249.30727,11037007.408119,10073483.276885,0.00426375,-0.000625,0
7.824967960652e-07,6.2739245234732e-07,7.4801283357014e-07,5.9825340460159e-07,51,0.00059766539898497,0.00054983712868986,0.00058787788695635,0.00054025481066156,9865885.664317,9158534.9881311,9726616.8894755,9022293.4075297,0.00454925,-0.000625,0
1.0324588514856e-06,8.1537373103411e-07,9.8667863964655e-07,7.7580386151783e-07,52,0.00066041539505698,0.00060644425007468,0.00064941977217087,0.00059537984395735,10854088.432137,9960453.0746221,10692962.99347,9796596.1321082,0.00426375,-0.000375,0
7.3027454726143e-07,5.9241831942581e-07,6.7889833566067e-07,5.4876793448101e-07,53,0.00058258867158408,0.0005385965739321,0.00056731973919112,0.00052367546843574,9629946.0478577,8947960.685544,9401074.9979312,8724136.2975971,0.00454925,-0.000375,0
9.0782279771716e-07,7.4069617361523e-07,8.4770593674281e-07,6.8867114937273e-07,54,0.00062834175090162,0.00058444329172675,0.00061364616619276,0.00056987544726385,10457952.454332,9650468.5012016,10207606.078446,9399601.7777217,0.00426375,-0.000125,0
6.5810199527149e-07,5.4353829051272e-07,5.9909888695664e-07,4.9295670424356e-07,55,0.00056027896592742,0.0005224444945776,0.00054092985156554,0.00050364515475613,9278895.0303589,8620740.7233526,8994094.002852,8340055.3837843,0.00454925,-0.000125,0
7.5530863669211e-07,6.4045831533399e-07,7.117417572009e-07,6.0124289960832e-07,56,0.00058846454127872,0.00055559137134033,0.00057178582379414,0.00053943627242855,9856209.732819,9145231.0804622,9736832.9669605,9008177.1773594,0.00426375,0.000125,0
5.6783719967071e-07,4.8552158160205e-07,5.1582292990372e-07,4.4018579488067e-07,57,0.00053127722725237,0.00050147865417,0.0005123888472126,0.00048329528942401,8771802.0704929,8223132.7045597,8445344.2571334,7900044.172924,0.00454925,0.000125,0
6.2644224604601e-07,5.5204042461886e-07,5.7456525440741e-07,5.0711793051619e-07,58,0.00053881665934925,0.00051931453370325,0.00052678906727429,0.00050765330493419,9463513.6623601,8821282.2330999,8986993.755765,8363998.172895,0.00426375,0.000375,0
4.8358207290902e-07,4.3139020948845e-07,4.4044626333014e-07,3.9339849380911e-07,59,0.00049787900033269,0.00047905937821328,0.00048230860361645,0.000464239123856,8305130.8532874,7826268.0988882,7909980.2123545,7442332.5720597,0.00454925,0.000375,0
4.8333927413847e-07,4.5289901757211e-07,4.5066708881006e-07,4.2283006092012e-07,60,0.00050115427098986,0.00048825549392277,0.00048883066935676,0.00047647506266951,8197810.0397236,8008588.7111469,7844710.6112323,7673547.0546671,0.00426375,0.000625,0
4.0646606246604e-07,3.8234568712095e-07,3.7653779205194e-07,3.5539267313661e-07,61,0.00046605036345817,0.00045929295938696,0.00045251668893174,0.0004466299504284,7769723.6552174,7350127.2676743,7477422.8087265,7068022.5346954,0.00454925,0.000625,0
3.9987105585043e-07,3.8006643153601e-07,3.8270939838009e-07,3.6386961138465e-07,62,0.00046709178040187,0.00045927273679368,0.00045191901299293,0.00044490963748597,7316671.6055671,7199442.1158721,7535786.0793092,7394871.6649354,0.00426375,0.000875,0
3.3789879189909e-07,3.4007234538918e-07,3.1942930217823e-07,3.2269997732079e-07,63,0.00043936423650224,0.00044012238881235,0.00042879255788813,0.00043028478490592,6931172.9661528,6949044.1185306,6744283.5803451,6772898.0214279,0.00454925,0.000875,0
3.3531423530924e-07,3.3000789459054e-07,3.0393159099295e-07,3.0028727317523e-07,64,0.00043027818489788,0.00042750670803844,0.00042539173131042,0.00042258398029382,7304033.6488213,7139210.0389302,6443534.0641275,6322223.2460723,0.00426375,0.001125,0
2.9532240908584e-07,3.0684394321814e-07,2.7990309369369e-07,2.9226423233038e-07,65,0.00041311259681067,0.00042088883481669,0.00040450175020904,0.00041283493507293,6669009.1674997,6747258.4898732,6503779.5095089,6601868.2963161,0.00454925,0.001125,0
2.7911721100938e-07,2.7471696074501e-07,2.729304492896e-07,2.6925887351703e-07,66,0.00041455389223958,0.00041106943679941,0.00040115266770687,0.0003983563332746,5739256.9038454,5830294.9806328,6148075.3785762,6223483.7348607,0.00426375,0.001375,0
2.5630026507342e-07,2.7631251771572e-07,2.4545812735003e-07,2.657103057946e-07,67,0.00039098807077012,0.00040186886278969,0.00038374817772789,0.00039514151572308,6249477.8372653,6532491.7514318,6117702.5662955,6412111.4293987,0.00454925,0.001375,0
2.577315531822e-07,2.5203800417193e-07,2.3902386268309e-07,2.3458753249714e-07,68,0.00038948040320785,0.00038966256150418,0.00038280484396074,0.00038324705394501,6104250.184069,5966213.001152,5593431.2190095,5477340.5806613,0.00426375,0.001625,0
2.2756625132631e-07,2.4905956586793e-07,2.1918472798508e-07,2.4084764311491e-07,69,0.00037555364124004,0.00038437007994336,0.00036964808384324,0.00037884305274314,5630567.9511689,6213874.022026,5500100.7107029,6101032.381445,0.00454925,0.001625,0
2.2795538011164e-07,2.2492839822924e-07,2.1738313299168e-07,2.1489364942881e-07,70,0.00037873355825199,0.00037604122448295,0.00037363260556987,0.00037114655113385,5087206.6617499,5365657.7237451,4782583.4707502,5083565.1287722,0.00426375,0.001875,0
2.0948541136494e-07,2.2544639387095e-07,2.018783093088e-07,2.1806150276683e-07,71,0.00035983880911203,0.00036955781855968,0.00035500725430761,0.00036506275382563,5553011.790672,5863047.1995804,5435900.0293112,5760461.4619215,0.00454925,0.001875,0
2.1205563012283e-07,2.0772087328904e-07,2.0800199468786e-07,2.0382992461929e-07,72,0.00036840702380099,0.00036621740386074,0.00036047354491184,0.00035880058606363,4954024.3732152,4977075.8149701,5210227.5303118,5213364.6975151,0.00426375,0.002125,0
1.898961145003e-07,2.0493444112746e-07,1.8514581393919e-07,2.0023060625457e-07,73,0.0003506338535935,0.00035767534121564,0.00034719241313085,0.00035446918314983,5055314.2475961,5552297.4860642,4947342.5525678,5458460.7779086,0.00454925,0.002125,0
