T,disp_x,disp_y,disp_z,id,x,y,z
300,0,0,0,0,0,-0.0001,-0.0001
300,-1.0872516643139e-06,-9.2317720199764e-08,1.2938053488928e-20,1,0.01,-0.0001,-0.0001
300,-5.2219144752409e-07,3.2755454925021e-09,7.2112279622266e-21,2,0.01,0.005,-0.0001
300,0,0,0,3,0,0.005,-0.0001
300,0,0,0,4,0,-0.0001,0.0101
300,-1.0872516643139e-06,-9.2317720199748e-08,1.2933270772485e-20,5,0.01,-0.0001,0.0101
300,-5.2219144752409e-07,3.2755454925248e-09,7.1934925582171e-21,6,0.01,0.005,0.0101
300,0,0,0,7,0,0.005,0.0101
300,-1.0909636832325e-06,9.9450058559606e-08,-5.4977181210336e-21,8,0.01,0.0101,-0.0001
300,0,0,0,9,0,0.0101,-0.0001
300,-1.0909636832326e-06,9.9450058559652e-08,-3.2734236355626e-21,10,0.01,0.0101,0.0101
300,0,0,0,11,0,0.0101,0.0101
300,-1.1597788558984e-06,1.996247830444e-06,-9.2335827184104e-21,12,0.01,0,0
300,-2e-06,2e-06,0,13,0.02,0,0
300,-2e-06,2e-06,0,14,0.02,0.01,0
300,-1.1638255383039e-06,1.9963736265024e-06,1.284723691149e-20,15,0.01,0.01,0
300,-1.1597788558984e-06,1.996247830444e-06,-8.7004018888671e-21,16,0.01,0,0.01
300,-2e-06,2e-06,0,17,0.02,0,0.01
300,-2e-06,2e-06,0,18,0.02,0.01,0.01
300,-1.1638255383039e-06,1.9963736265023e-06,1.1143484907415e-20,19,0.01,0.01,0.01
300,0,0,0,20,0,0.0199,-0.0001
300,-1.0870783580916e-06,3.898725252571e-09,-9.6267614495479e-08,21,0.01,0.0199,-0.0001
300,-1.0911740701729e-06,3.8982734390765e-09,-9.5520152957397e-08,22,0.01,0.0301,-0.0001
300,0,0,0,23,0,0.0301,-0.0001
300,0,0,0,24,0,0.0199,0.005
300,-5.2042167343333e-07,3.1224791979156e-09,-9.6159733763768e-11,25,0.01,0.0199,0.005
300,-5.2396920884177e-07,3.122436962709e-09,2.6609343023911e-11,26,0.01,0.0301,0.005
300,0,0,0,27,0,0.0301,0.005
300,0,0,0,28,0,0.0199,0.0101
300,-1.0870309723344e-06,3.7829807837821e-09,9.6028850046069e-08,29,0.01,0.0199,0.0101
300,-1.0911418109017e-06,3.7872913272365e-09,9.560763702765e-08,30,0.01,0.0301,0.0101
300,0,0,0,31,0,0.0301,0.0101
300,-1.1598335988915e-06,1.9962766011679e-06,1.5435010889092e-11,32,0.01,0.02,0
300,-2e-06,2e-06,0,33,0.02,0.02,0
300,-2e-06,2e-06,0,34,0.02,0.03,0
300,-1.1638065965267e-06,1.9962785548479e-06,-1.225308868012e-10,35,0.01,0.03,0
300,-1.1597878501641e-06,1.9963999979625e-06,2.0908441863284e-10,36,0.01,0.02,0.01
300,-2e-06,2e-06,0,37,0.02,0.02,0.01
300,-2e-06,2e-06,0,38,0.02,0.03,0.01
300,-1.163775285476e-06,1.9963969749769e-06,4.4889586195443e-11,39,0.01,0.03,0.01
