T,disp_x,disp_y,id,x,y,z
751.10749927407,0,0,0,0,0,0
750.98345449254,1.5201059051014e-07,0,1,0.000103,0,0
750.98351954666,1.5188363593619e-07,8.1403728439909e-07,2,0.000103,0.001,0
751.10756438934,0,8.1403712639254e-07,3,0,0.001,0
750.69408622827,3.036862418128e-07,0,4,0.000206,0,0
750.69415113972,3.0343308736302e-07,8.1403770253605e-07,5,0.000206,0.001,0
750.22304225534,4.5479056507498e-07,0,6,0.000309,0,0
750.22310693452,4.5441251360123e-07,8.1403857227916e-07,7,0.000309,0.001,0
749.56826959289,6.0505442970835e-07,0,8,0.000412,0,0
749.56833394915,6.0455339051663e-07,8.1404020009727e-07,9,0.000412,0.001,0
748.72941306797,7.5420604051513e-07,0,10,0.000515,0,0
748.72947701042,7.5358452148667e-07,8.1404301227423e-07,11,0.000515,0.001,0
747.70666952821,9.0197310311385e-07,0,12,0.000618,0,0
747.70673296604,9.0123419417142e-07,8.1404755002506e-07,13,0.000618,0.001,0
746.50052308695,1.0480836589603e-06,0,14,0.000721,0,0
746.50058592951,1.0472310096499e-06,8.1405446264437e-07,15,0.000721,0.001,0
745.11165647359,1.1922665519203e-06,0,16,0.000824,0,0
745.11171863052,1.1913043439593e-06,8.1406449928889e-07,17,0.000824,0.001,0
743.54091410023,1.334251757649e-06,0,18,0.000927,0,0
743.54097548155,1.3331846728704e-06,8.1407849945592e-07,19,0.000927,0.001,0
741.78928411392,1.4737706518826e-06,0,20,0.00103,0,0
741.78934463012,1.4726038358846e-06,8.1409738219956e-07,21,0.00103,0.001,0
739.85788852539,1.610556247889e-06,0,22,0.001133,0,0
739.85794808752,1.6092952696689e-06,8.1412213414493e-07,23,0.001133,0.001,0
737.74797714644,1.7443434167502e-06,0,24,0.001236,0,0
737.74803566622,1.7429942245967e-06,8.1415379637658e-07,25,0.001236,0.001,0
735.46092345832,1.8748690972531e-06,0,26,0.001339,0,0
735.46098084823,1.8734379711846e-06,8.141934502876e-07,27,0.001339,0.001,0
732.99822150753,2.0018724989892e-06,0,28,0.001442,0,0
732.99827768097,2.000366000038e-06,8.1424220248489e-07,29,0.001442,0.001,0
730.3614833619,2.1250953006652e-06,0,30,0.001545,0,0
730.36153823325,2.1235202173303e-06,8.1430116885205e-07,31,0.001545,0.001,0
727.55243687099,2.2442818447752e-06,0,32,0.001648,0,0
727.55249035583,2.2426451369845e-06,8.1437145787736e-07,33,0.001648,0.001,0
724.57292358394,2.3591793293035e-06,0,34,0.001751,0,0
724.57297559914,2.3574880702421e-06,8.1445415335864e-07,35,0.001751,0.001,0
721.42489673651,2.4695379968359e-06,0,36,0.001854,0,0
721.42494720043,2.4677993130148e-06,8.1455029660026e-07,37,0.001854,0.001,0
718.1104192532,2.5751113212818e-06,0,38,0.001957,0,0
718.11046808585,2.5733323312343e-06,8.1466086822035e-07,39,0.001957,0.001,0
714.63166172969,2.6756561922906e-06,0,40,0.00206,0,0
714.6317088529,2.6738439442931e-06,8.1478676968874e-07,41,0.00206,0.001,0
710.99090037319,2.7709330973705e-06,0,42,0.002163,0,0
710.99094571084,2.7690945065945e-06,8.1492880471971e-07,43,0.002163,0.001,0
707.19051488596,2.8607063016569e-06,0,44,0.002266,0,0
707.19055836419,2.85884808717e-06,8.1508766064912e-07,45,0.002266,0.001,0
703.23298628208,2.9447440252398e-06,0,46,0.002369,0,0
703.23302782947,2.9428726472869e-06,8.1526388993488e-07,47,0.002369,0.001,0
699.12089463084,3.0228186179204e-06,0,48,0.002472,0,0
699.1209341787,3.0209402159379e-06,8.1545789193512e-07,49,0.002472,0.001,0
694.85691672269,3.0947067312379e-06,0,50,0.002575,0,0
694.85695420523,3.0928270630881e-06,8.1566989513908e-07,51,0.002575,0.001,0
690.44382365476,3.1601894875784e-06,0,52,0.002678,0,0
690.44385900942,3.1583138705369e-06,8.1589994005246e-07,53,0.002678,0.001,0
685.88447833463,3.2190526461493e-06,0,54,0.002781,0,0
685.88451150229,3.2171859002363e-06,8.1614786296477e-07,55,0.002781,0.001,0
681.1818329015,3.2710867655822e-06,0,56,0.002884,0,0
681.18186382676,3.2692331598839e-06,8.1641328084075e-07,57,0.002884,0.001,0
