contact_pressure,id,nodal_area,pair_b_tangential_force_y,penetration,x,y,z
83245.886580974,32,2.5e-05,0.0020780162616812,8.3245886579064e-08,0.01,0.02,0
83212.039723696,35,2.5e-05,0.0020774691244355,8.321203972151e-08,0.01,0.03,0
83246.282411789,36,2.5e-05,0.0020780519231669,8.3246282411658e-08,0.01,0.02,0.01
83212.519885224,39,2.5e-05,0.0020774728416109,8.321251988423e-08,0.01,0.03,0.01
