contact_pressure,id,nodal_area,penetration,x,y,z
10301084.624497,8,2.519682835199e-05,1.0301084624493e-06,0.01,0,0
10326542.957037,11,2.5196527055256e-05,1.0326542957042e-06,0.01,0.01,0
10301084.624497,12,2.5196828351989e-05,1.030108462451e-06,0.01,0,0.01
10326542.957019,15,2.5196527055256e-05,1.0326542957007e-06,0.01,0.01,0.01
