time,axial_creep,axial_displacement,axial_stress,effective_creep,hoop_creep,hoop_stress,radial_creep,radial_stress
0,0,0,0,0,0,0,0,0
10,9.99910572316e-06,5.0998618853375e-07,99998012.740091,9.99910572316e-06,-4.99955286158e-06,993.62995425454,-4.99955286158e-06,993.62995425533
20,1.9998209148428e-05,5.1998525876527e-07,99998007.633361,1.9998209148428e-05,-9.9991045742142e-06,996.18331970862,-9.9991045742142e-06,996.18331970941
30,2.9997312567788e-05,5.2998436209928e-07,99998007.620229,2.9997312567788e-05,-1.4998656283894e-05,996.18988533318,-1.4998656283894e-05,996.18988533691
40,3.9996415987132e-05,5.399834655184e-07,99998007.620196,3.9996415987132e-05,-1.9998207993566e-05,996.18990223855,-1.9998207993566e-05,996.18990223482
50,4.9995519406477e-05,5.4998256893775e-07,99998007.620195,4.9995519406477e-05,-2.4997759703238e-05,996.189902246,-2.4997759703238e-05,996.18990224972
60,5.9994622825821e-05,5.5998167235709e-07,99998007.620195,5.9994622825821e-05,-2.9997311412911e-05,996.18990226835,-2.9997311412911e-05,996.18990226835
70,6.9993726245166e-05,5.6998077577644e-07,99998007.620195,6.9993726245166e-05,-3.4996863122583e-05,996.18990225187,-3.4996863122583e-05,996.18990224894
80,7.999282966451e-05,5.7997987919578e-07,99998007.620195,7.999282966451e-05,-3.9996414832255e-05,996.18990226835,-3.9996414832255e-05,996.18990226835
90,8.9991933083854e-05,5.8997898261512e-07,99998007.620195,8.9991933083854e-05,-4.4995966541927e-05,996.18990225933,-4.4995966541927e-05,996.18990226011
100,9.9991036503199e-05,5.9997808603447e-07,99998007.620195,9.9991036503199e-05,-4.9995518251599e-05,996.18990227423,-4.9995518251599e-05,996.18990227501
