T,contact_pressure,disp_x,disp_y,id,nodal_area,penetration,x,y,z
300,1100000000,1.1e-05,0,5,3.1730085801257e-06,1.1e-05,0.00101,0,0
300,1100000000,1.1e-05,1e-05,6,3.1730085801257e-06,1.1e-05,0.00101,0.001,0
