T,disp_x,disp_y,id,x,y,z
751.10757192205,0,0,0,0,0,0
750.9835271289,1.5199144007277e-07,0,1,0.000103,0,0
750.9835923298,1.5186456023591e-07,8.1421173349536e-07,2,0.000103,0.001,0
751.10763718441,0,8.1421157355209e-07,3,0,0.001,0
750.69415883753,3.0364794049688e-07,0,4,0.000206,0,0
750.69422389503,3.0339493508179e-07,8.142121560987e-07,5,0.000206,0.001,0
750.2231148205,4.547331121008e-07,0,6,0.000309,0,0
750.22317964453,4.543552831981e-07,8.1421303293695e-07,7,0.000309,0.001,0
749.56834209677,6.0497782394418e-07,0,8,0.000412,0,0
749.56840659622,6.0447707973623e-07,8.1421467024234e-07,9,0.000412,0.001,0
748.72948549336,7.5411028050039e-07,0,10,0.000515,0,0
748.7295495769,7.5348912737723e-07,8.1421749392909e-07,11,0.000515,0.001,0
747.70674185795,9.018581870927e-07,0,12,0.000618,0,0
747.70680543429,9.0111971311567e-07,8.1422204473088e-07,13,0.000618,0.001,0
746.50059530396,1.0479495849238e-06,0,14,0.000721,0,0
746.50065828199,1.0470974374059e-06,8.1422897135811e-07,15,0.000721,0.001,0
745.11172856088,1.1921133176561e-06,0,16,0.000824,0,0
745.1117908498,1.1911516757107e-06,8.142390222878e-07,17,0.000824,0.001,0
743.54098604093,1.3340793607986e-06,0,18,0.000927,0,0
743.54104755031,1.3330129032852e-06,8.1425303625052e-07,19,0.000927,0.001,0
741.78935589128,1.4735790900038e-06,0,20,0.00103,0,0
741.78941653117,1.4724129591831e-06,8.1427193145692e-07,21,0.00103,0.001,0
739.85796012281,1.6103455185234e-06,0,22,0.001133,0,0
739.85801980384,1.6090852797001e-06,8.1429669362476e-07,23,0.001133,0.001,0
737.7480485475,1.7441135174942e-06,0,24,0.001236,0,0
737.74810718095,1.7427651149223e-06,8.1432836288288e-07,25,0.001236,0.001,0
735.46099464678,1.8746200258314e-06,0,26,0.001339,0,0
735.46105214473,1.8731897351709e-06,8.1436801963916e-07,27,0.001339,0.001,0
732.99829246734,2.001604253328e-06,0,28,0.001442,0,0
732.99834874277,2.0000986309539e-06,8.1441676950782e-07,29,0.001442,0.001,0
730.36155407722,2.1248078789641e-06,0,30,0.001545,0,0
730.36160904412,2.1232337084505e-06,8.1447572739757e-07,31,0.001545,0.001,0
727.55250732621,2.2439752455759e-06,0,32,0.001648,0,0
727.55256089978,2.2423394816947e-06,8.1454600086766e-07,33,0.001648,0.001,0
724.57299376368,2.3588535515536e-06,0,34,0.001751,0,0
724.57304586042,2.3571632621444e-06,8.1462867286254e-07,35,0.001751,0.001,0
721.42496662565,2.4691930399463e-06,0,36,0.001854,0,0
721.42501716355,2.4674553460292e-06,8.1472478393897e-07,37,0.001854,0.001,0
718.11048883689,2.5747471851771e-06,0,38,0.001957,0,0
718.1105377356,2.5729691996899e-06,8.1483531410113e-07,39,0.001957,0.001,0
714.63173099333,2.6752728774535e-06,0,40,0.00206,0,0
714.63177817437,2.6734616430043e-06,8.1496116436102e-07,41,0.00206,0.001,0
710.9909693025,2.7705306048813e-06,0,42,0.002163,0,0
710.99101468943,2.7686930309135e-06,8.15103138144e-07,43,0.002163,0.001,0
707.19058346694,2.8602846332332e-06,0,44,0.002266,0,0
707.1906269856,2.858427433008e-06,8.152619226637e-07,45,0.002266,0.001,0
703.23305450104,2.944303183282e-06,0,46,0.002369,0,0
703.23309607974,2.9424328110933e-06,8.1543807040002e-07,47,0.002369,0.001,0
699.12096247441,3.0223586055721e-06,0,48,0.002472,0,0
699.1210020442,3.0204811946299e-06,8.1563198082878e-07,49,0.002472,0.001,0
694.85698417781,3.0942275524738e-06,0,50,0.002575,0,0
694.85702167271,3.0923488539228e-06,8.1584388257479e-07,51,0.002575,0.001,0
690.44389070872,3.1596911473321e-06,0,52,0.002678,0,0
690.44392606596,3.1578164709231e-06,8.1607381618971e-07,53,0.002678,0.001,0
685.88454497506,3.2185351504947e-06,0,54,0.002781,0,0
685.88457813537,3.2166693074893e-06,8.1632161778898e-07,55,0.002781,0.001,0
681.18189911636,3.2705501219786e-06,0,56,0.002884,0,0
681.18193002424,3.2686973709382e-06,8.1658690380672e-07,57,0.002884,0.001,0
676.33899184232,3.3155315805157e-06,0,58,0.002987,0,0
676.3390204463,3.3136955766802e-06,8.1686905712707e-07,59,0.002987,0.001,0
671.35894568916,3.3532801587175e-06,0,60,0.00309,0,0
671.3589719421,3.3514639076771e-06,8.1716721479983e-07,61,0.00309,0.001,0
666.24496419468,3.3836017541208e-06,0,62,0.003193,0,0
666.24498805409,3.381807570378e-06,8.174802574255e-07,63,0.003193,0.001,0
661.00032899324,3.4063076759247e-06,0,64,0.003296,0,0
661.00035042151,3.4045371466982e-06,8.1780680010323e-07,65,0.003296,0.001,0
655.62839683205,3.4212147872816e-06,0,66,0.003399,0,0
655.62841579684,3.4194687415455e-06,8.1814518464907e-07,67,0.003399,0.001,0
650.13259651083,3.4281456429944e-06,0,68,0.003502,0,0
650.13261298528,3.426424125494e-06,8.1849347282961e-07,69,0.003502,0.001,0
644.51642574651,3.4269286222604e-06,0,70,0.003605,0,0
644.51643970962,3.4252308726181e-06,8.1884944103947e-07,71,0.003605,0.001,0
638.78344796558,3.417398055507e-06,0,72,0.003708,0,0
638.78345940243,3.4157224943905e-06,8.1921057870774e-07,73,0.003708,0.001,0
632.93728902629,3.3993943433929e-06,0,74,0.003811,0,0
632.93729792833,3.3977385716397e-06,8.1957409563706e-07,75,0.003811,0.001,0
626.98163387358,3.3727640657726e-06,0,76,0.003914,0,0
626.98164023886,3.3711248858322e-06,8.1993694399474e-07,77,0.003914,0.001,0
620.92022312962,3.3373600836822e-06,0,78,0.004017,0,0
620.92022696277,3.3357335409929e-06,8.2029584390176e-07,79,0.004017,0.001,0
614.75684962288,3.2930416640616e-06,0,80,0.00412,0,0
614.75685093507,3.2914230262252e-06,8.2064721955261e-07,81,0.00412,0.001,0
750.9838022731,1.5140719300177e-07,1.6327108557582e-06,82,0.000103,0.002,0
751.10784730724,0,1.632722893057e-06,83,0,0.002,0
750.69443341941,3.0248284335319e-07,1.6326829328855e-06,84,0.000206,0.002,0
750.22338848669,4.5299302288857e-07,1.6326380579754e-06,85,0.000309,0.002,0
749.56861448947,6.0267132780288e-07,1.6325769479175e-06,86,0.000412,0.002,0
748.72975625348,7.5124865926838e-07,1.6325008498334e-06,87,0.000515,0.002,0
747.70701062603,8.9845535022859e-07,1.6324114154289e-06,88,0.000618,0.002,0
746.50086172063,1.0440219746795e-06,1.6323106582332e-06,89,0.000721,0.002,0
745.11199226712,1.1876797924897e-06,1.6322009247725e-06,90,0.000824,0.002,0
743.54124667836,1.3291610589162e-06,1.632084867555e-06,91,0.000927,0.002,0
741.7896131024,1.4681992742862e-06,1.6319654167514e-06,92,0.00103,0.002,0
739.85821355128,1.6045294039036e-06,1.6318457496184e-06,93,0.001133,0.002,0
737.74829783841,1.7378880818266e-06,1.6317292573791e-06,94,0.001236,0.002,0
735.46123944703,1.8680138053406e-06,1.6316195095386e-06,95,0.001339,0.002,0
732.99853242601,1.9946471238034e-06,1.6315202157352e-06,96,0.001442,0.002,0
730.36178884601,2.1175308239625e-06,1.6314351852977e-06,97,0.001545,0.002,0
727.55273655994,2.2364101129966e-06,1.631368284729e-06,98,0.001648,0.002,0
724.57321712079,2.3510328000532e-06,1.6313233933695e-06,99,0.001751,0.002,0
721.42518376881,2.461149476761e-06,1.6313043575257e-06,100,0.001854,0.002,0
718.11069943366,2.5665136970116e-06,1.6313149433674e-06,101,0.001957,0.002,0
714.63193471687,2.6668821561757e-06,1.6313587889106e-06,102,0.00206,0.002,0
710.99116583228,2.7620148698246e-06,1.63143935541e-06,103,0.002163,0.002,0
707.19077248964,2.8516753519547e-06,1.631559878471e-06,104,0.002266,0.002,0
703.23323571136,2.9356307926487e-06,1.6317233191729e-06,105,0.002369,0.002,0
699.12113557603,3.0136522350586e-06,1.6319323154571e-06,106,0.002472,0.002,0
694.85714888438,3.0855147515554e-06,1.6321891339897e-06,107,0.002575,0.002,0
690.44404674486,3.1509976188682e-06,1.6324956226677e-06,108,0.002678,0.002,0
685.88469207746,3.209884492041e-06,1.6328531639208e-06,109,0.002781,0.002,0
681.18203703491,3.2619635770687e-06,1.633262629005e-06,110,0.002884,0.002,0
676.33912034125,3.3070278021528e-06,1.6337243336276e-06,111,0.002987,0.002,0
671.35906454827,3.3448749876223e-06,1.6342379955331e-06,112,0.00309,0.002,0
666.24507321055,3.3753080146764e-06,1.6348026951023e-06,113,0.003193,0.002,0
661.00042798044,3.3981349931332e-06,1.6354168404838e-06,114,0.003296,0.002,0
655.62848562447,3.4131694281705e-06,1.636078138937e-06,115,0.003399,0.002,0
650.1326749629,3.4202303853862e-06,1.636783575262e-06,116,0.003502,0.002,0
644.51649373456,3.4191426521788e-06,1.6375293953669e-06,117,0.003605,0.002,0
638.7835053891,3.4097368915734e-06,1.6383110874034e-06,118,0.003708,0.002,0
632.93733580931,3.3918497837627e-06,1.6391233464662e-06,119,0.003811,0.002,0
626.98166996613,3.3653241565259e-06,1.6399600143529e-06,120,0.003914,0.002,0
620.92024850924,3.3300091351887e-06,1.6408140485993e-06,121,0.004017,0.002,0
614.75686429653,3.2857604398927e-06,1.6416778281114e-06,122,0.00412,0.002,0
750.98419756637,1.5038490656921e-07,2.463019953159e-06,123,0.000103,0.003,0
751.10824287373,0,2.4630759934338e-06,124,0,0.003,0
750.69482807494,3.0044390483941e-07,2.4628896355733e-06,125,0.000206,0.003,0
750.22378210288,4.4994711966204e-07,2.462678925965e-06,126,0.000309,0.003,0
749.56900665849,5.9863266674738e-07,2.4623891037946e-06,127,0.000412,0.003,0
748.73014656436,7.4623593060717e-07,2.4620231011601e-06,128,0.000515,0.003,0
747.70739866528,8.9249163212827e-07,2.4615849561209e-06,129,0.000618,0.003,0
746.50124707225,1.0371345998526e-06,2.461079659978e-06,130,0.000721,0.003,0
745.11237451253,1.1799001828016e-06,2.4605130789155e-06,131,0.000824,0.003,0
743.54162539619,1.3205245305038e-06,2.4598918931756e-06,132,0.000927,0.003,0
741.7899878684,1.458744814653e-06,2.4592235387214e-06,133,0.00103,0.003,0
739.85858393819,1.5942994221074e-06,2.4585161464165e-06,134,0.001133,0.003,0
737.74866341593,1.7269281327767e-06,2.4577784768742e-06,135,0.001236,0.003,0
735.46159978185,1.8563722892255e-06,2.4570198502757e-06,136,0.001339,0.003,0
732.99888708187,1.9823749617301e-06,2.4562500709476e-06,137,0.001442,0.003,0
730.36213738387,2.1046811109895e-06,2.4554793467245e-06,138,0.001545,0.003,0
727.55307853827,2.2230377498735e-06,2.4547182032634e-06,139,0.001648,0.003,0
724.57355209589,2.3371941051428e-06,2.4539773935723e-06,140,0.001751,0.003,0
