contact_pressure,id,nodal_area,penetration,x,y,z
0,20,-8.3379971027822e-06,-5.0473136986961e-06,0.009999,0,0
0,23,-8.3379971027822e-06,-5.0473136986979e-06,0.009999,0.01,0
0,24,-8.3379971027822e-06,-5.0473136986961e-06,0.009999,0,0.01
0,27,-8.3379971027822e-06,-5.0473136986944e-06,0.009999,0.01,0.01
740722.05142952,31,3.3351990203589e-05,2.470455460286e-12,0.009999,0.005,0
740722.57162687,32,3.3351990203589e-05,2.4704571952477e-12,0.009999,0,0.005
740722.57178024,35,3.3351990203589e-05,2.4704571957595e-12,0.009999,0.01,0.005
740721.01092046,39,3.3351990203589e-05,2.4704519899816e-12,0.009999,0.005,0.01
