T,disp_x,disp_y,disp_z,id,x,y,z
600,0,0,0,0,0,0,0
600,0.0019999999993462,0,0,1,1,0,0
600,0.0019999999995172,-0.00074727986786192,0,2,1,1,0
600,0,-0.00074727986734889,0,3,0,1,0
600,0,0,-0.00074727986734889,4,0,0,1
600,0.0019999999995172,0,-0.00074727986786192,5,1,0,1
600,0.001999999999638,-0.00074727986786598,-0.00074727986786598,6,1,1,1
600,0,-0.00074727986748898,-0.00074727986748898,7,0,1,1
600,0.004,0,0,8,2,0,0
600,0.004,-0.00074727986826081,0,9,2,1,0
600,0.004,0,-0.00074727986826081,10,2,0,1
600,0.004,-0.00074727986817877,-0.00074727986817877,11,2,1,1
