time,axial_creep,axial_displacement,axial_plastic,axial_stress,effective_creep,effective_plastic,hoop_creep,hoop_plastic,hoop_stress,radial_creep,radial_plastic,radial_stress
0,0,0,0,0,0,0,0,0,0,0,0,0
0.1,6.338105485511e-07,2e-07,0,39877141.97923,6.338105485511e-07,0,-3.1690527427555e-07,0,6506.8148995493,-3.1690527427555e-07,0,6506.8148995486
0.2,5.5429076475763e-06,4e-07,0,78899381.188462,5.5429076475763e-06,0,-2.7714538237882e-06,0,13271.196629543,-2.7714538237882e-06,0,13271.196629543
0.3,2.1063169428769e-05,6e-07,0,115798626.50317,2.1063169428769e-05,0,-1.0531584714385e-05,0,18767.314874927,-1.0531584714385e-05,0,18767.314874924
0.4,5.4243528340126e-05,8e-07,0,149151294.34408,5.4243528340126e-05,0,-2.7121764170063e-05,0,0.020179875195026,-2.7121764170063e-05,0,0.020179873332381
0.5,0.00011053870107434,1e-06,0,177892259.80205,0.00011053870107434,0,-5.5269350537172e-05,0,0.028193853795528,-5.5269350537172e-05,0,0.028193851932883
0.6,0.00019056113216323,1.2e-06,9.3454136997367e-06,200018690.82742,0.00019056113216323,9.3454136997367e-06,-9.5280566081616e-05,-4.6727068498684e-06,1.7303397131941e-05,-9.5280566081616e-05,-4.6727068498684e-06,1.7306124233712e-05
0.7,0.00027086837207659,1.4e-06,0.00012785309681816,200255706.26217,0.00027086837207659,0.00012785309681816,-0.0001354341860383,-6.392654840908e-05,0.06853250529394,-0.0001354341860383,-6.392654840908e-05,0.068532499417852
0.8,0.00035146041569402,1.6e-06,0.00024607879620669,200492157.66103,0.00035146041569402,0.00024607879620669,-0.00017573020784701,-0.00012303939810334,0.068613072723529,-0.00017573020784701,-0.00012303939810334,0.068613077447008
0.9,0.00043233725390017,1.8e-06,0.00036402252075489,200728045.1102,0.00043233725390017,0.00036402252075489,-0.00021616862695009,-0.00018201126037744,0.068693429231644,-0.00021616862695009,-0.00018201126037744,0.068693436682224
1,0.00051349887359505,2e-06,0.00048168428343307,200963368.63564,0.00051349887359505,0.00048168428343307,-0.00025674943679753,-0.00024084214171653,0.068773630430175,-0.00025674943679753,-0.00024084214171653,0.068773633368219
