disp_x,disp_y,disp_z,id,x,y,z
0,0,0,0,0,0,0
0.002,0,0,1,1,0,0
0.002,0.00075,0,2,1,1,0
0,0.00075,0,3,0,1,0
0,0,0.00075,4,0,0,1
0.002,0,0.00075,5,1,0,1
0.002,0.00075,0.00075,6,1,1,1
0,0.00075,0.00075,7,0,1,1
0.001,0,0,8,0.5,0,0
0.002,0.000375,0,9,1,0.5,0
0.001,0.00075,0,10,0.5,1,0
0,0.000375,0,11,0,0.5,0
0,0,0.000375,12,0,0,0.5
0.002,0,0.000375,13,1,0,0.5
0.002,0.00075,0.000375,14,1,1,0.5
0,0.00075,0.000375,15,0,1,0.5
0.001,0,0.00075,16,0.5,0,1
0.002,0.000375,0.00075,17,1,0.5,1
0.001,0.00075,0.00075,18,0.5,1,1
0,0.000375,0.00075,19,0,0.5,1
