combined_hoop,combined_rr,combined_rz,combined_zz,effective_creep,effective_plastic,elastic_hoop,elastic_rr,elastic_rz,elastic_zz,id,sample_time,stress_hoop,stress_rr,stress_rz,stress_zz,x,y,z
-0.00040184176508645,-0.0030443768269064,0.0010903935863053,0.0034462185919929,4.5146614097844e-07,0.0041099787666004,0.00051503761491461,-2.4224458591027e-05,0.00023284167144864,0.0013955136700187,0,0.05,296889651.4879,213926255.56396,35821795.607483,432347506.11931,0.0105375,0.000475,0
-0.00067890529583632,-0.0026898816534023,-0.0015870660386814,0.0033687869492387,4.5151486825356e-07,0.0041147974044623,0.00052045255931592,0.00011197857480632,-0.00034776670826865,0.0014332262349448,1,0.05,318414705.55634,255572554.09333,-53502570.50287,458841424.88386,0.0115375,0.000475,0
-0.0006687070727332,-0.0030261988448348,0.001340785929295,0.003694905917568,4.5457077181041e-07,0.0043468702215428,0.00051358041428637,6.1970892300764e-05,0.00027879810431113,0.0014518201646468,3,0.05,312939848.87874,243461460.88096,42892016.047866,457284425.85728,0.0115375,0.001475,0
-0.00041831741085147,-0.003272127125194,-0.00094985377031392,0.0036904445360455,4.5420939104961e-07,0.0043188219693925,0.0005260629911168,-2.6982949528013e-05,-0.00019189215164956,0.0014248811287057,2,0.05,302928287.51349,217844296.64506,-29521869.484548,441208000.98871,0.0105375,0.001475,0
-0.00069449501043579,-0.0071343687325329,0.0026948634085802,0.0078288637429687,9.7806654207053e-07,0.0095643993824223,0.00094581728192405,0.00032401374352138,0.00027035660043329,0.0017979896290861,0,0.1,499489657.35733,403827574.52616,41593323.143583,630593095.38226,0.0105375,0.000475,0
-0.0013869108200713,-0.0062155326281125,-0.0038809460800795,0.0076024434481839,9.7753682604176e-07,0.0095307507380273,0.0010392448759972,0.00057497015708075,-0.00039964547528608,0.0019318031094802,1,0.1,569039766.60241,497612886.76914,-61483919.274782,706356417.90752,0.0115375,0.000475,0
-0.0013542475639619,-0.0069888721055562,0.003227298049097,0.0083431196695183,9.87434453777e-07,0.0099929780592801,0.0010138558662394,0.00049668025449976,0.00031626533718491,0.0019458344156532,3,0.1,554789810.54362,475224331.81447,48656205.720756,698171125.83807,0.0115375,0.001475,0
-0.00072617771111578,-0.0076501654693496,-0.0023107682827357,0.0083763431804654,9.8716324292375e-07,0.0099955540869946,0.00096542086349586,0.00032514724106832,-0.00021923823221397,0.0018453220555304,2,0.1,510359766.70258,411856132.48297,-33728958.80215,645729180.86175,0.0105375,0.001475,0
-0.00094440903071083,-0.011220992408627,0.0043321479364144,0.012165401439338,1.5878526027262e-06,0.015009579553964,0.0013335725209506,0.00066968624831394,0.00028853864121555,0.0022133568257304,0,0.15,691697571.87643,589561222.24003,44390560.187008,827049003.38103,0.0105375,0.000475,0
-0.002059836747369,-0.0097211247290633,-0.0062094967104666,0.011780961476433,1.5857920884234e-06,0.014929151580104,0.0015238429431317,0.0010293009371395,-0.00042456452599789,0.0024478949254394,1,0.15,811480314.98683,735396929.44963,-65317619.384291,953642158.41884,0.0115375,0.000475,0
