time,reaction_x,reaction_y,reaction_z
0,0,0,0
0.25,-28.234355086532,-3.2210345501937e-14,5.2485793489154e-14
0.3125,-34.1164557843,3.4424685324552e-12,-2.637556839602e-12
0.375,-39.99853669059,3.6524672175631e-12,-2.7539637237339e-12
0.4375,-45.880597554378,3.820721516945e-12,9.7061247927854e-13
0.5,-51.762638206159,1.7500750848498e-11,-2.7521318557433e-12
0.625,-63.526656531986,-1.1290968160438e-13,7.7715611723761e-16
0.75,-75.290594428134,-2.481292948886e-12,-4.4797499043625e-13
0.875,-87.054445078036,-7.9658502016855e-14,1.3522516439934e-13
1,-98.818211493863,3.4972025275692e-14,-1.7308376953906e-13
