contact_pressure,disp_x,disp_y,disp_z,id,x,y,z
0,0,0,0,0,0,0,0
0,-5.0037990238749e-06,-1.2595966826991e-06,-5.067485185828e-07,1,1,0,0
0,-4.9260980756256e-06,-6.8265842004246e-07,-6.1024341886778e-07,2,1,0.5,0
0,0,0,0,3,0,0.5,0
0,0,0,0,4,0,0,1
0,-5.0067420615395e-06,-1.2600265901994e-06,5.0780907003068e-07,5,1,0,1
0,-4.926153264365e-06,-6.8275537159847e-07,6.0982591240325e-07,6,1,0.5,1
0,0,0,0,7,0,0.5,1
0,-2.5625372765446e-06,-1.0158537309065e-06,-6.2818448982462e-07,8,0.5,0,0
0,-4.9260858176408e-06,-9.5712220109739e-07,-5.5892088372895e-07,9,1,0.25,0
0,-2.3043320063742e-06,-4.2942158098467e-07,-6.4576117267008e-07,10,0.5,0.5,0
0,0,0,0,11,0,0.25,0
0,0,0,0,12,0,0,0.5
0,-4.9952132571178e-06,-1.2263295527256e-06,3.4994816435814e-10,13,1,0,0.5
0,-4.8777437287778e-06,-6.6107782677116e-07,-2.1432080288858e-10,14,1,0.5,0.5
0,0,0,0,15,0,0.5,0.5
0,-2.5632575713413e-06,-1.0155245263631e-06,6.2817485822604e-07,16,0.5,0,1
0,-4.9278660128809e-06,-9.5731899559571e-07,5.5938115903336e-07,17,1,0.25,1
0,-2.3041759415909e-06,-4.2874257696214e-07,6.454955446216e-07,18,0.5,0.5,1
0,0,0,0,19,0,0.25,1
0,-4.8500208310419e-06,6.411906030913e-09,-6.1573757133868e-07,20,1,1,0
0,0,0,0,21,0,1,0
0,-4.8462186107523e-06,6.429197996945e-09,6.1289346347147e-07,22,1,1,1
0,0,0,0,23,0,1,1
0,-4.8605452029688e-06,-3.2631638230363e-07,-6.1765817250899e-07,24,1,0.75,0
0,-2.2787900784867e-06,9.4737241605315e-10,-6.612552545649e-07,25,0.5,1,0
0,0,0,0,26,0,0.75,0
0,-4.7944309065872e-06,6.0512733943787e-09,-1.1771125073537e-09,27,1,1,0.5
0,0,0,0,28,0,1,0.5
0,-4.8585786436308e-06,-3.2626954579234e-07,6.1598765185797e-07,29,1,0.75,1
0,-2.277441113647e-06,1.4013854961793e-09,6.6070764346609e-07,30,0.5,1,1
0,0,0,0,31,0,0.75,1
0,-4.9142247144706e-06,6.9384993654652e-07,-6.0072758719205e-07,32,1,1.5,0
0,0,0,0,33,0,1.5,0
0,-4.9108425353599e-06,6.9404490184342e-07,5.9768221677211e-07,34,1,1.5,1
0,0,0,0,35,0,1.5,1
0,-4.8616881444925e-06,3.3797169733873e-07,-6.1284427749373e-07,36,1,1.25,0
0,-2.2997308879884e-06,4.3234957432291e-07,-6.4980436994849e-07,37,0.5,1.5,0
0,0,0,0,38,0,1.25,0
0,-4.8944699884004e-06,6.7345722749626e-07,-1.3280482152833e-09,39,1,1.5,0.5
0,0,0,0,40,0,1.5,0.5
0,-4.8574739076932e-06,3.3807702601804e-07,6.0975657046455e-07,41,1,1.25,1
0,-2.2982987828849e-06,4.3215771962245e-07,6.4909278563525e-07,42,0.5,1.5,1
0,0,0,0,43,0,1.25,1
0,-5.0470043512436e-06,1.2791761918086e-06,-5.1341984427029e-07,44,1,2,0
0,0,0,0,45,0,2,0
0,-5.0455324289156e-06,1.2792158700842e-06,5.1119746371543e-07,46,1,2,1
0,0,0,0,47,0,2,1
0,-4.9368819731591e-06,9.7194810616886e-07,-5.5713545919875e-07,48,1,1.75,0
0,-2.5814861863217e-06,1.0189354185878e-06,-6.3126206544786e-07,49,0.5,2,0
0,0,0,0,50,0,1.75,0
0,-5.0216334804296e-06,1.2478547997342e-06,-1.0690110763797e-09,51,1,2,0.5
0,0,0,0,52,0,2,0.5
0,-4.9346482772921e-06,9.7202807561651e-07,5.5447532676494e-07,53,1,1.75,1
0,-2.5804022324127e-06,1.0184861648022e-06,6.307104857492e-07,54,0.5,2,1
0,0,0,0,55,0,1.75,1
5171.8643308245,-4.9932130100344e-06,0,0,56,1,0,0
0,-1e-05,0,0,57,2,0,0
0,-1e-05,1.5394589902384e-06,0,58,2,1.2,0
5046.4268188439,-4.8489610675094e-06,1.5125146158376e-06,0,59,1,1.2,0
5169.7927315792,-4.9965766371721e-06,0,1.2534029470578e-06,60,1,0,1
0,-1e-05,0,1.2701233836251e-06,61,2,0,1
0,-1e-05,1.543871137389e-06,1.271650418373e-06,62,2,1.2,1
5050.010339527,-4.8442135661175e-06,1.5172670893754e-06,1.2906168090518e-06,63,1,1.2,1
0,-7.4888503969981e-06,0,0,64,1.5,0,0
0,-1e-05,7.5026844000865e-07,0,65,2,0.6,0
0,-7.43096060289e-06,1.52652716211e-06,0,66,1.5,1.2,0
5108.6290401007,-4.9002662172863e-06,7.6616335242163e-07,0,67,1,0.6,0
5043.8293956354,-4.9966707727042e-06,0,6.2963319364596e-07,68,1,0,0.5
0,-1e-05,0,6.3430197564757e-07,69,2,0,0.5
0,-1e-05,1.5406970510135e-06,6.3692240264991e-07,70,2,1.2,0.5
5142.7817717077,-4.8421676120764e-06,1.5153055492997e-06,6.4242743546129e-07,71,1,1.2,0.5
0,-7.4903663846618e-06,0,1.2622219435594e-06,72,1.5,0,1
0,-1e-05,7.4924753116197e-07,1.273088406715e-06,73,2,0.6,1
0,-7.4286335002758e-06,1.5308565402797e-06,1.2805752466968e-06,74,1.5,1.2,1
5108.2821909598,-4.8994714393917e-06,7.6412748336282e-07,1.2749542256681e-06,75,1,0.6,1
0,-1e-05,2.5540801275787e-06,0,76,2,2,0
5102.1330918311,-5.0176283769965e-06,2.4815266607328e-06,0,77,1,2,0
0,-1e-05,2.5641587638075e-06,1.2594480998011e-06,78,2,2,1
5102.9713350862,-5.0163104800079e-06,2.4959808304221e-06,1.2515715862318e-06,79,1,2,1
0,-1e-05,2.0548888211649e-06,0,80,2,1.6,0
0,-7.4976828501075e-06,2.5508360540068e-06,0,81,1.5,2,0
5055.2985675645,-4.9301452624996e-06,1.9975185783374e-06,0,82,1,1.6,0
0,-1e-05,2.5564475828558e-06,6.2953274064049e-07,83,2,2,0.5
5021.7290969188,-5.0150622298018e-06,2.4808429362165e-06,6.2916026709332e-07,84,1,2,0.5
0,-1e-05,2.0633620635024e-06,1.2669761946022e-06,85,2,1.6,1
0,-7.4963148395032e-06,2.5638956644989e-06,1.2534865050498e-06,86,1.5,2,1
5054.0333053858,-4.9272201349701e-06,2.0080538738137e-06,1.2733006116471e-06,87,1,1.6,1
