time,T_center,T_clad_inner,T_fuel_surface,T_mid_ref,u_clad_inner,u_fuel_outer,u_z_fuel_top
0,0,0,0,0,0,0,0
0.05,606.89803826792,600.68698344774,600.78235600758,605.36155969181,6.7063152867105e-09,1.5424302202722e-07,4.8813130538229e-07
0.1,613.85156575285,601.37390481026,601.54940652526,610.75017255098,1.3411679664628e-08,3.0887799322164e-07,9.7868954073446e-07
0.15,620.86066221727,602.0607639153,602.30109440464,616.16571818281,2.0116083691147e-08,4.6389995070847e-07,1.471666167652e-06
0.2,627.92540205497,602.74756059822,603.037363565,621.60807294452,2.6819517844582e-08,6.1930387094481e-07,1.9670523428009e-06
0.25,635.04585424121,603.4342947026,603.75815900855,627.07710994937,3.352197246956e-08,7.7508467012967e-07,2.4648389170571e-06
0.3,642.2232012789,604.12106926902,604.46350522108,632.57350360903,4.0225540175526e-08,9.312584361137e-07,2.9652569863083e-06
0.35,649.47654651667,604.80903581968,605.1693473774,638.1152446962,4.6947357985057e-08,1.0885347733533e-06,3.4703357328137e-06
0.4,656.8351813866,605.49563854687,605.90739164215,643.73239749496,5.3650277080971e-08,1.2481794596465e-06,3.9823446957633e-06
0.45,664.2681521098,606.18213759443,606.64532411614,649.39334404873,6.0352205753526e-08,1.408876630357e-06,4.4984960131508e-06
0.5,671.77605345267,606.8685319606,607.38314372473,655.09835482906,6.7053134392988e-08,1.5706325188751e-06,5.0188180660514e-06
0.55,679.35948339285,607.55481508347,608.12084399695,660.84770492913,6.8778400835591e-08,1.7335482980876e-06,5.5429608853998e-06
0.6,687.01901941781,608.2409884216,608.85842626745,666.64165347336,6.865535922236e-08,1.8975701338271e-06,6.0711920714532e-06
0.65,694.75586924832,608.92705882447,609.59589714287,672.48068196943,6.9035154317125e-08,2.0626543379886e-06,6.6041778010775e-06
0.7,702.56974060472,609.6132638518,610.33349395318,678.36489747157,2.2420553952982e-07,2.2241923022465e-06,7.1508502799746e-06
0.75,710.46154822042,610.29942618788,611.07103964548,684.29456971758,3.8635449175619e-07,2.3863923433954e-06,7.7034134289218e-06
0.8,718.43185247543,610.98551806594,611.80850625134,690.2699364542,5.4956959144834e-07,2.5496574853687e-06,8.2604575714948e-06
0.85,726.48124185926,611.67153890117,612.54589310738,696.29126262046,7.1385515961961e-07,2.7139922164488e-06,8.8219784828478e-06
0.9,734.61030488991,612.35748812579,613.28319956801,702.35881294724,8.7921570451689e-07,2.8794011875404e-06,9.3879757027778e-06
0.95,742.81963116217,613.04336503694,614.0204248511,708.47285280006,1.045657160998e-06,3.0458903074517e-06,9.9584777222373e-06
1,751.10981101406,613.72916892698,614.75756816929,714.63364781889,1.2131854699935e-06,3.213465490615e-06,1.0533513066184e-05
