T,contact_pressure,disp_x,disp_y,id,nodal_area,penetration,x,y,z
614.75684962288,2601374.5842535,3.2930416640616e-06,0,80,1.296321963976e-05,4.6347823842779e-10,0.00412,0,0
614.75685093507,2599888.3968331,3.2914230262252e-06,8.2064721955261e-07,81,2.5926433567589e-05,4.6321344936905e-10,0.00412,0.001,0
614.75686429653,2586871.8465296,3.2857604398927e-06,1.6416778281114e-06,122,2.5926398806775e-05,4.6089433398999e-10,0.00412,0.002,0
614.756924231,2561436.9627112,3.2734908082422e-06,2.4624384617633e-06,163,2.5926272778343e-05,4.56362685523e-10,0.00412,0.003,0
614.75710888528,2521376.7002275,3.2506497518374e-06,3.2794419813716e-06,204,2.5925923090274e-05,4.4922528209051e-10,0.00412,0.004,0
614.75756816929,2465123.1143611,3.213465490615e-06,4.083007837334e-06,245,2.5925108939253e-05,4.3920276820864e-10,0.00412,0.005,0
614.75857024452,2441080.7684534,3.1633025641614e-06,4.8513966711025e-06,286,2.5923447087279e-05,4.3491922357942e-10,0.00412,0.006,0
614.76052585383,2646343.4923688,3.1198585374904e-06,5.5418812420368e-06,327,2.5920477263386e-05,4.7149019889034e-10,0.00412,0.007,0
614.76370013573,2407474.7754383,3.153921920742e-06,6.0829317673825e-06,368,2.591610296501e-05,4.289317558239e-10,0.00412,0.008,0
614.76666237598,1440247.1877967,3.4432736245427e-06,6.3851932104774e-06,409,2.591252954605e-05,2.5660404062575e-10,0.00412,0.009,0
614.76764164212,6382969.0202832,4.1885088274021e-06,6.4779046869809e-06,450,1.2956231288561e-05,1.1372323137804e-09,0.00412,0.01,0
