T,contact_pressure,disp_x,disp_y,id,nodal_area,penetration,x,y,z
614.75681787533,2546725.3490991,3.2938021322288e-06,0,80,1.2963219479536e-05,2.5467253490991e-08,0.00412,0,0
614.75674291381,2544823.8241546,3.2921935789236e-06,8.204499290404e-07,81,2.5926433517212e-05,2.5448238241546e-08,0.00412,0.001,0
614.75674856839,2532167.433411,3.2865353514453e-06,1.6413024498572e-06,122,2.5926398927579e-05,2.532167433411e-08,0.00412,0.002,0
614.75683287751,2507341.6670246,3.274254091446e-06,2.4618783415717e-06,163,2.5926272567666e-05,2.5073416670246e-08,0.00412,0.003,0
614.7570588383,2467057.2707279,3.2513852089319e-06,3.2786822720551e-06,204,2.5925922238993e-05,2.4670572707279e-08,0.00412,0.004,0
614.7575500531,2416802.1252542,3.2141337541671e-06,4.0820263720848e-06,245,2.5925106763461e-05,2.4168021252542e-08,0.00412,0.005,0
614.75856224564,2414964.5993171,3.1638917864872e-06,4.8501379643492e-06,286,2.5923445073962e-05,2.4149645993171e-08,0.00412,0.006,0
614.7604995271,2547488.3674448,3.1209907660425e-06,5.5404018602744e-06,327,2.5920482348267e-05,2.5474883674448e-08,0.00412,0.007,0
614.7636186068,2245570.1699768,3.1553231250935e-06,6.0815631194925e-06,368,2.5916100377e-05,2.2455701699768e-08,0.00412,0.008,0
614.76655295827,1649255.0111966,3.4422229687308e-06,6.3830445465998e-06,409,2.5912492031192e-05,1.6492550111966e-08,0.00412,0.009,0
614.76743303371,6024571.5308175,4.1916712994421e-06,6.4734463433487e-06,450,1.2956208222473e-05,6.0245715308175e-08,0.00412,0.01,0
